state,quintile,n,o1_mean_delta,o1_eventday,mean_natural_matched
R01,Q1,8963,-0.9374739217966532,0.16705289014064276,-6.401358198622755
R01,Q2,1551,1.4100059105876157,1.932072348533429,-14.574072640980832
R01,Q3,1180,1.084055426445691,1.0501815221341744,-13.108192203224565
R01,Q4,635,1.2893220695099061,2.9744463196588122,-13.649746371516994
R01,Q5,193,2.9011783118130894,2.9916326329519576,-16.382938868719368
R05,Q1,1002,1.6326404738113223,2.316843242116643,-12.633155026643193
R05,Q2,703,1.02807372568884,2.5830291773109946,-13.755850984725985
R05,Q3,1594,1.515231263704544,1.4541653439412308,-13.769299813805548
R05,Q4,1732,-0.21220177280754812,0.9682342814882876,-11.859837784909862
R05,Q5,7559,-1.0711611599919657,-0.27637310890017197,-5.707084992642247
