episode_id,ts_code,signal_date,exit_type,exit_date,exit_i,exec_raw,exec_slip,pnl0,pnl_recomputed,diff
1,603799.SH,2020-02-07,TAKE_PROFIT_DYN,2020-02-11,22,49.35,49.300650000000005,33960.558155580016,33960.558155580016,0.0
2,000697.SZ,2020-02-06,TAKE_PROFIT_DYN,2020-02-25,32,11.94,11.92806,80189.77936950006,80189.77936950006,0.0
3,603663.SH,2020-02-06,TAKE_PROFIT_DYN,2020-02-25,32,13.98,13.96602,46537.822837440064,46537.822837440064,0.0
4,300681.SZ,2020-02-06,TAKE_PROFIT_DYN,2020-02-27,34,35.77,35.734230000000004,42991.24182192003,42991.24182192003,0.0
5,002042.SZ,2020-02-06,TAKE_PROFIT_DYN,2020-02-28,35,7.25,7.24275,18581.873255279992,18581.873255279992,0.0
6,000007.SZ,2020-02-06,TAKE_PROFIT_DYN,2020-03-03,37,9.17,9.16083,50234.38755426003,50234.38755426003,0.0
7,601228.SH,2020-02-28,TAKE_PROFIT_DYN,2020-03-03,37,3.49,3.48651,15999.655532400007,15999.655532400007,0.0
8,300633.SZ,2020-02-20,TAKE_PROFIT_DYN,2020-03-04,38,28.4,28.371599999999997,50676.727289400005,50676.727289400005,0.0
9,002953.SZ,2020-02-28,TAKE_PROFIT_DYN,2020-03-04,38,20.64,20.61936,32156.017649280024,32156.017649280024,0.0
10,600545.SH,2020-02-28,TAKE_PROFIT_DYN,2020-03-04,38,6.0,5.994,19382.596633799985,19382.596633799985,0.0
11,600869.SH,2020-02-06,TAKE_PROFIT_DYN,2020-03-05,39,4.62,4.61538,30165.72670188002,30165.72670188002,0.0
12,600015.SH,2020-02-28,TAKE_PROFIT_DYN,2020-03-05,39,7.25,7.24275,6692.225151599996,6692.225151599996,0.0
13,600167.SH,2020-02-28,TAKE_PROFIT_DYN,2020-03-05,39,12.370000000000001,12.35763,18089.604688320018,18089.604688320018,0.0
14,600309.SH,2020-02-28,TAKE_PROFIT_DYN,2020-03-05,39,52.660000000000004,52.60734,22687.231185360026,22687.231185360026,0.0
15,603816.SH,2020-02-28,TAKE_PROFIT_DYN,2020-03-05,39,44.6,44.5554,16980.97420512003,16980.97420512003,0.0
16,000918.SZ,2020-02-06,TAKE_PROFIT_DYN,2020-03-06,40,5.3,5.2947,45725.14070136007,45725.14070136007,0.0
17,600278.SH,2020-02-06,TAKE_PROFIT_DYN,2020-03-06,40,11.17,11.15883,68617.5413868,68617.5413868,0.0
18,603239.SH,2020-02-06,TAKE_PROFIT_DYN,2020-03-06,40,12.34,12.32766,51608.21392728001,51608.21392728001,0.0
