anchor_day,n,n_failure,n_recovery,failure_component,recovery_component
45,1,1,0,3.4699857593151258,0.0
46,2,2,0,-0.11591187257130994,0.0
47,5,4,1,-4.102534319844212,-1.3265695716425436
49,4,1,3,4.332660021810303,-6.122584216174784
50,1,1,0,-2.782354899763135,0.0
51,19,15,4,-5.332562209978904,-3.5064023257676173
52,8,7,1,-5.168709458277369,-1.0845087728921912
53,1,1,0,13.030962814884404,0.0
54,2,2,0,-6.810150847257164,0.0
56,11,8,3,-4.894161929922635,-3.6709195464874385
58,11,9,2,7.608642294715491,-4.255535057503769
59,3,2,1,-5.522853827008238,-4.869098365290115
60,1,1,0,20.187170709878025,0.0
65,4,2,2,5.257366170024534,-7.6773477003577515
66,1,1,0,-0.8345974769070406,0.0
70,1,1,0,-2.232760284329542,0.0
71,3,3,0,16.097318880644952,0.0
72,2,2,0,19.887028283631185,0.0
73,2,2,0,-4.481101520504451,0.0
74,9,7,2,0.7391270860290425,-2.8363068282336292
75,20,12,8,-0.6558825324708171,-4.5482995297019455
76,80,43,37,-1.8728282663771836,-7.022523255116179
77,4,3,1,-5.127633971260944,-4.979020451787165
78,2,2,0,-3.0999310316396933,0.0
79,3,2,1,-3.425202097417001,-3.048424079446796
80,4,4,0,-8.067048314944554,0.0
81,1,1,0,-7.78480329982769,0.0
83,2,1,1,-4.75437007691844,-5.667414455765422
86,1,1,0,-9.879582654873266,0.0
87,1,1,0,-10.065972544669396,0.0
88,1,1,0,-14.603810804252651,0.0
89,2,2,0,-3.838909706277379,0.0
90,4,4,0,-9.227495847090722,0.0
91,7,6,1,-6.725066970778141,-1.8397646046450191
92,3,1,2,-2.7098167262690525,-6.914636920252515
93,2,2,0,-1.9527778222568237,0.0
96,2,1,1,-1.2579124248814209,-4.3773979495881115
99,1,1,0,-0.7649573453477636,0.0
102,1,1,0,-2.499449733909959,0.0
106,3,3,0,-6.146396356646861,0.0
109,1,1,0,-15.821614657485226,0.0
115,2,1,1,-4.241945129414736,-6.333403290824912
118,1,1,0,8.330746397060238,0.0
119,1,1,0,3.342366475426062,0.0
135,1,1,0,-4.7182622581805616,0.0
144,1,0,1,0.0,-7.826814988268943
148,1,1,0,-13.923783808585434,0.0
150,1,1,0,0.4297253907553013,0.0
155,1,1,0,-6.918000330672902,0.0
157,2,2,0,-1.899104800871334,0.0
158,1,1,0,-3.420857693628351,0.0
164,1,1,0,-12.172197111677416,0.0
165,4,4,0,-2.446227315193081,0.0
166,2,2,0,9.452087212401263,0.0
167,6,4,2,1.194412058195527,-3.7287878208304703
168,9,6,3,2.368454213650379,-3.8996126680130083
169,5,4,1,6.9174431751373735,-1.7006789281759342
172,2,2,0,10.594702893949881,0.0
173,1,1,0,9.812623730591552,0.0
174,2,2,0,1.4222306178511555,0.0
178,2,1,1,0.0672440683955546,-9.443962276198146
179,6,4,2,-2.0544508351698156,-3.2019286686369504
180,5,4,1,-1.53449074645997,-3.1175041559121204
181,5,5,0,5.862427162225491,0.0
182,3,2,1,0.7513113984847242,-7.25141999084758
183,2,2,0,13.20273799966689,0.0
186,2,2,0,1.1904175425755827,0.0
187,1,0,1,0.0,-3.6325084135075745
188,4,4,0,-3.441977481377928,0.0
189,2,1,1,13.543419743610489,-5.087165525845754
190,4,4,0,2.8475747402856206,0.0
191,1,1,0,-2.451591078255145,0.0
192,6,6,0,7.167731047912818,0.0
193,8,7,1,-3.53495443498943,-1.597410921006746
194,15,12,3,2.3313758564446823,-2.0959161168214027
195,7,6,1,2.0018166426696475,-2.0618545017433396
196,14,9,5,1.3574262649505802,-3.803624579681462
197,9,8,1,-3.9179252732958156,-1.8003268360969926
198,33,26,7,-0.45422654492487113,-3.114910238317917
199,51,38,13,-2.5386772326920513,-4.1944691738747215
200,4,4,0,5.606384148218823,0.0
201,1,1,0,13.374094582290354,0.0
202,3,3,0,14.819527319392103,0.0
204,1,1,0,-7.592314380408933,0.0
206,3,2,1,-1.448488968006816,-2.149437051724093
207,1,1,0,6.540853399429672,0.0
208,5,5,0,9.71027095313118,0.0
210,6,5,1,1.9348156627413673,-3.4327745120504485
211,2,2,0,-5.622296597221666,0.0
212,3,3,0,5.060285182450358,0.0
215,2,1,1,7.652853379649265,-4.147769408304212
216,3,3,0,0.01055999083535871,0.0
217,6,6,0,-7.702501638504135,0.0
218,13,12,1,4.218813262037319,-0.35410847850521765
219,4,2,2,2.4814487912358034,-8.81129481926712
221,1,1,0,-5.782294406335074,0.0
224,2,2,0,6.625130212368685,0.0
225,7,7,0,8.79457371755836,0.0
226,14,12,2,11.270721372327554,-2.0059880467860833
227,14,14,0,6.701430110883883,0.0
228,28,21,7,5.6739006710385045,-3.063128745565886
229,10,8,2,-0.9998300718098658,-0.9844289600902784
230,2,2,0,15.540062328776472,0.0
231,19,17,2,4.822305079103575,-0.33670302416066383
232,20,14,6,7.682501528862483,-1.8073434698658708
233,4,3,1,5.819019677084464,-4.549028731516401
234,6,6,0,4.17557317856141,0.0
235,12,10,2,2.4913086383190617,-1.3132913366038859
236,14,12,2,5.020845897186225,-3.112730445791457
237,49,47,2,3.49938010114423,-0.887265358036893
238,20,16,4,1.6971210381307795,-2.314206684697145
239,38,28,10,-0.9592130767073567,-3.743857389987558
240,5,3,2,2.922157225413126,-4.0235990473427545
241,4,4,0,11.37030997521264,0.0
242,2,2,0,8.472463866562242,0.0
243,2,1,1,2.2144121190682604,-2.376675027649899
244,11,9,2,-0.7179900935045738,-1.1928164329683684
245,28,19,9,0.4950511311840856,-4.455125787574664
246,147,118,29,-1.3485305606829485,-2.705356459599208
247,82,55,27,-0.44331207009858997,-3.6219612636067704
248,56,33,23,-3.5304503374303464,-5.943075482007898
249,26,16,10,-1.032041176804,-6.541393708615619
250,115,80,35,-3.896579129958025,-4.274277653653466
251,24,18,6,-1.6184787686977906,-3.173479812767857
252,1,1,0,4.5081833942784275,0.0
253,2,1,1,-3.0791255542772227,-8.762796229316328
254,3,2,1,6.345827751113069,-6.251035769737395
257,2,2,0,-2.580105031745166,0.0
258,23,22,1,-0.6632967649081158,-0.7363020110845989
259,24,20,4,-0.14742393801349615,-2.2258171235842297
260,16,12,4,0.0008781732018373622,-3.8304476405743557
261,17,17,0,-3.355764163997807,0.0
262,75,53,22,-3.7167265152237157,-3.7327925682468526
263,48,22,26,-2.426676277805173,-7.595979634900837
264,20,10,10,-2.6494174627060985,-8.434679851916709
265,38,26,12,-5.0327309206954824,-5.535722965432273
266,132,69,63,-4.470343528275698,-7.883888616825454
267,22,11,11,-2.0385246630444764,-7.127306362188651
268,34,10,24,-1.5482863075999638,-11.193671551375393
