TPR,FPR,precision
0.25,0.0,1.0
0.25,0.05,0.8962370183878074
0.25,0.1,0.8119832186061667
0.25,0.2,0.6834779031096787
0.25,0.3,0.5900896900808099
0.25,0.5,0.4634429850052308
0.25,1.0,0.3016113170436493
0.25,break_even,0.7618967855573984
0.5,0.0,1.0
0.5,0.05,0.9452795296125943
0.5,0.1,0.8962370183878074
0.5,0.2,0.8119832186061667
0.5,0.3,0.7422093153133028
0.5,0.5,0.6333598093725179
0.5,1.0,0.4634429850052308
0.5,break_even,0.7618967855573984
0.75,0.0,1.0
0.75,0.05,0.962841917150999
0.75,0.1,0.9283463466881918
0.75,0.2,0.866274606370497
0.75,0.3,0.8119832186061667
0.75,0.5,0.7215418953972371
0.75,1.0,0.5643844665691502
0.75,break_even,0.7618967855573984
1.0,0.0,1.0
1.0,0.05,0.9718701248049921
1.0,0.1,0.9452795296125943
1.0,0.2,0.8962370183878074
1.0,0.3,0.8520323118348506
1.0,0.5,0.7755300525189652
1.0,1.0,0.6333598093725179
1.0,break_even,0.7618967855573984
