test_year,model,target,auc,n,n_pos,tpr,fpr,precision,specificity,predicted_positive_rate,tp,fp,tn,fn
2021,M0,T50,0.6591914722445696,653,565,0.7982300884955752,0.5909090909090909,0.8966202783300199,0.4090909090909091,0.7702909647779479,451,52,36,114
2021,M0,T75,0.6591914722445696,653,565,0.9433628318584071,0.8409090909090909,0.8780889621087314,0.1590909090909091,0.9295558958652373,533,74,14,32
2021,M0,T90,0.6591914722445696,653,565,0.9787610619469026,0.9090909090909091,0.8736176935229067,0.09090909090909091,0.9693721286370597,553,80,8,12
2021,M1,T50,0.5837087691069992,653,565,0.8690265486725663,0.8295454545454546,0.8705673758865248,0.17045454545454544,0.8637059724349158,491,73,15,74
2021,M1,T75,0.5837087691069992,653,565,0.9362831858407079,0.9318181818181818,0.8657937806873978,0.06818181818181818,0.9356814701378254,529,82,6,36
2021,M1,T90,0.5837087691069992,653,565,0.9823008849557522,0.9772727272727273,0.8658346333853354,0.022727272727272728,0.9816232771822359,555,86,2,10
2022,M0,T50,0.7305830731129536,1551,1255,0.8286852589641435,0.5743243243243243,0.859504132231405,0.42567567567567566,0.7801418439716312,1040,170,126,215
2022,M0,T75,0.7305830731129536,1551,1255,0.9227091633466136,0.831081081081081,0.8247863247863247,0.16891891891891891,0.9052224371373307,1158,246,50,97
2022,M0,T90,0.7305830731129536,1551,1255,0.9760956175298805,0.9459459459459459,0.813953488372093,0.05405405405405406,0.970341715022566,1225,280,16,30
2022,M1,T50,0.7118472057715085,1551,1255,0.8892430278884462,0.7128378378378378,0.8409947249434815,0.28716216216216217,0.8555770470664088,1116,211,85,139
2022,M1,T75,0.7118472057715085,1551,1255,0.9537848605577689,0.831081081081081,0.8295218295218295,0.16891891891891891,0.9303675048355899,1197,246,50,58
2022,M1,T90,0.7118472057715085,1551,1255,0.9856573705179282,0.8851351351351351,0.8252168112074717,0.11486486486486487,0.9664732430689877,1237,262,34,18
2023,M0,T50,0.6532852695395708,376,359,0.871866295264624,0.8235294117647058,0.9571865443425076,0.17647058823529413,0.8696808510638298,313,14,3,46
2023,M0,T75,0.6532852695395708,376,359,0.9136490250696379,0.9411764705882353,0.9534883720930233,0.058823529411764705,0.9148936170212766,328,16,1,31
2023,M0,T90,0.6532852695395708,376,359,0.9637883008356546,0.9411764705882353,0.9558011049723757,0.058823529411764705,0.9627659574468085,346,16,1,13
2023,M1,T50,0.7224315910208094,376,359,0.9220055710306406,0.7647058823529411,0.9622093023255814,0.23529411764705882,0.9148936170212766,331,13,4,28
2023,M1,T75,0.7224315910208094,376,359,0.958217270194986,0.8235294117647058,0.9608938547486033,0.17647058823529413,0.9521276595744681,344,14,3,15
2023,M1,T90,0.7224315910208094,376,359,0.9860724233983287,0.8235294117647058,0.9619565217391305,0.17647058823529413,0.9787234042553191,354,14,3,5
2024,M0,T50,0.8096620494781993,3341,1881,0.6528442317916002,0.1910958904109589,0.8148639681486397,0.8089041095890411,0.4510625561209219,1228,279,1181,653
2024,M0,T75,0.8096620494781993,3341,1881,0.7974481658692185,0.3561643835616438,0.7425742574257426,0.6438356164383562,0.6046093983837174,1500,520,940,381
2024,M0,T90,0.8096620494781993,3341,1881,0.9548112706007443,0.7239726027397261,0.6295127935506485,0.276027397260274,0.8539359473211613,1796,1057,403,85
2024,M1,T50,0.8068190921471383,3341,1881,0.5842636895268474,0.136986301369863,0.8460354118552733,0.863013698630137,0.3888057467824005,1099,200,1260,782
2024,M1,T75,0.8068190921471383,3341,1881,0.7129186602870813,0.23356164383561645,0.7972651605231866,0.7664383561643836,0.5034420832086202,1341,341,1119,540
2024,M1,T90,0.8068190921471383,3341,1881,0.8245614035087719,0.39246575342465756,0.730225988700565,0.6075342465753425,0.6357378030529781,1551,573,887,330
