fold,test_year,model,target,train_threshold
1,2021,M0,T50,0.7925628709463527
1,2021,M0,T75,0.7725491473348765
1,2021,M0,T90,0.759122168618589
1,2021,M1,T50,0.8131062529010249
1,2021,M1,T75,0.770837954048884
1,2021,M1,T90,0.6955434286721801
2,2022,M0,T50,0.7097530731173067
2,2022,M0,T75,0.6677695332612512
2,2022,M0,T90,0.6381630848392258
2,2022,M1,T50,0.7142012469474487
2,2022,M1,T75,0.6728469424446174
2,2022,M1,T90,0.6289199410714784
3,2023,M0,T50,0.6800326951844721
3,2023,M0,T75,0.6179694113242302
3,2023,M0,T90,0.5602255457913994
3,2023,M1,T50,0.6806721417701466
3,2023,M1,T75,0.6232561623889867
3,2023,M1,T90,0.559544761569215
4,2024,M0,T50,0.7195003900664032
4,2024,M0,T75,0.6491786740364512
4,2024,M0,T90,0.580581483195469
4,2024,M1,T50,0.7202452247111302
4,2024,M1,T75,0.6569442163615957
4,2024,M1,T90,0.5883112697120418
