year,sample,n,ret_mean,ret_median,win_rate,mae_p50,mae_p10,mae_p5,mfe_p50,hold_med,under_med,giveback_med
2020,PRIMARY,33,6.710317477794578,5.218510332201447,87.87878787878788,-6.9491054890197805,-23.561489372773263,-27.466261961035478,8.108341874575654,25.0,5.0,2.163493682365442
2020,SECONDARY,8963,4.3948262721549,4.622564805351908,76.07943768827403,-8.326967150496555,-26.915265730209963,-33.6141606776987,6.726985998056634,26.0,14.0,2.14957468068643
2021,PRIMARY,58,4.515692118563896,5.403603499759667,75.86206896551724,-12.135940982094823,-35.73026679761783,-43.53123901002144,8.146034125123924,29.5,20.5,2.3315274504256127
2021,SECONDARY,10532,5.81185021383857,5.699831265705118,81.65590581086214,-6.7599067599067535,-22.032807922304077,-29.045875950191135,7.767929471152901,23.0,10.0,1.9282525357715872
2022,PRIMARY,59,4.745674535365534,4.74708231806275,71.1864406779661,-12.093508732164192,-29.438440474889884,-32.85208130769732,7.143020271694334,34.0,23.0,2.5253625984633072
2022,SECONDARY,15514,5.8302520727112235,6.175054825019056,80.61106097718191,-8.786865308604435,-29.24579687799063,-36.47562982922214,7.712957137434461,25.0,13.0,1.6787926614152764
2023,PRIMARY,45,2.1272890035194645,3.6254689430868456,68.88888888888889,-11.474293496765398,-34.32879764204759,-39.409070854285815,4.8137048137048,43.0,26.0,2.13060650402383
2023,SECONDARY,15487,3.1786299289850137,4.638768688162549,74.72073351843481,-7.819453273998711,-36.398911903523185,-45.54528622110215,6.125758299671347,26.0,15.0,1.794343176715003
2024,PRIMARY,50,6.317667839564754,6.405456947530031,80.0,-9.485215733276139,-23.369730281258935,-26.475477833882103,8.148647727538993,24.5,11.0,1.2707593162525148
2024,SECONDARY,13576,6.008720788435749,5.742587033723382,74.46228638774308,-12.10802197188422,-34.42385792303018,-41.6483507141423,7.795001038197125,26.0,18.0,2.227399562932402
2025,PRIMARY,34,8.412792348167166,5.364355292224216,88.23529411764706,-8.711221836216904,-27.627410678800448,-31.525946533736207,7.1072130729580625,21.0,12.0,1.3749402991897801
2025,SECONDARY,14728,8.169093679377825,6.8404764777036,88.7289516567083,-5.58891657792755,-18.568053742193886,-24.121267547972117,8.566289775342796,21.0,5.0,1.6247686088863653
2026,PRIMARY,20,1.0287789823222224,1.4133863710598358,55.00000000000001,-13.223116836550775,-27.124601237027264,-35.30299487746295,10.078877351604632,25.5,9.5,8.450910478492396
2026,SECONDARY,10246,2.748420126467417,3.1585941164997253,63.214913136833886,-13.588845860703147,-33.40594857935898,-39.36216287779863,6.780874396425718,28.0,20.0,3.450527652724033
