ts_code,signal_date,entry_date,exit_date,exit_type,levels_used,hold_days,total_cost,proceeds,pnl,return_pct
000651.SZ,2020-03-19,2020-03-20,2020-04-13,TAKE_PROFIT_DYN,2,15,393537.33511091996,428031.00054,34493.66542908002,8.76502998612771
600030.SH,2020-03-16,2020-03-17,2020-04-14,TAKE_PROFIT_DYN,2,19,396941.61999492,401765.4618705,4823.841875580023,1.2152522266729697
300750.SZ,2020-02-28,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,31,575698.61673324,569829.9884112001,-5868.628322039847,-1.0193924653390611
601318.SH,2020-02-28,2020-03-02,2020-04-17,TAKE_PROFIT_DYN,4,33,778492.8685333799,768019.31681508,-10473.55171829986,-1.3453625770562572
600036.SH,2020-03-19,2020-03-20,2020-04-27,TAKE_PROFIT_DYN,1,25,199911.62351160002,221269.07923020003,21357.455718600017,10.683448687695108
002475.SZ,2020-03-17,2020-03-18,2020-04-28,TAKE_PROFIT_DYN,1,28,198369.68271119997,227971.90501488,29602.222303680028,14.92275528149982
000858.SZ,2020-03-17,2020-03-18,2020-04-28,TAKE_PROFIT_DYN,2,28,391140.31804847997,496072.96350696,104932.64545848005,26.82736619482785
000063.SZ,2020-03-17,2020-03-18,2020-05-07,TAKE_PROFIT_DYN,1,32,197178.1830018,203566.15605401996,6387.973052219953,3.2396956676295363
000725.SZ,2020-03-16,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,35,399666.04916237993,418098.48629669996,18432.437134320033,4.611959703094805
002506.SZ,2020-03-26,2020-03-27,2020-05-21,TAKE_PROFIT_DYN,3,35,599592.69157788,560475.1663574401,-39117.525220439886,-6.524016348081019
600519.SH,2020-03-18,2020-03-19,2020-06-01,TAKE_PROFIT_DYN,1,48,199048.53716747998,277769.17130148003,78720.63413400005,39.54846152311298
000002.SZ,2020-03-18,2020-03-19,2020-06-02,TAKE_PROFIT_DYN,2,49,397292.06108591997,415890.48488832,18598.423802400008,4.681297620587952
002714.SZ,2020-05-11,2020-05-12,2020-06-18,TAKE_PROFIT_DYN,1,27,196597.45205099997,123175.14951204,-73422.30253895996,-37.346517858183255
000063.SZ,2020-05-25,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,17,197992.20759317998,214535.32346646,16543.11587328001,8.355437860095789
002415.SZ,2020-05-25,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,17,199121.62916645998,213368.96393352002,14247.334767060034,7.15509150196319
600703.SH,2020-06-15,2020-06-16,2020-07-06,TAKE_PROFIT_DYN,1,12,198348.65624573999,229161.21259680003,30812.556351060048,15.534542524394753
600030.SH,2020-09-07,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,18,197919.11559419995,204532.96733496,6613.851740760059,3.3416942678344705
300059.SZ,2020-09-09,2020-09-10,2020-10-12,TAKE_PROFIT_DYN,1,16,198772.18933571997,206827.77223296004,8055.582897240063,4.052671012057143
600276.SH,2020-09-17,2020-09-18,2020-10-12,TAKE_PROFIT_DYN,1,10,198970.4388672,214816.68650178,15846.24763458001,7.964121567403469
000063.SZ,2020-09-10,2020-09-11,2020-10-13,TAKE_PROFIT_DYN,1,16,198189.4558644,214374.68712360002,16185.231259200023,8.16654508112372
000651.SZ,2020-09-28,2020-09-29,2020-10-14,TAKE_PROFIT_DYN,1,5,197829.0021708,212047.95450527998,14218.952334479982,7.18749636223901
600036.SH,2020-09-30,2020-10-09,2020-10-16,TAKE_PROFIT_DYN,1,5,196807.71670559997,212925.96681408,16118.250108480017,8.189846606772502
002456.SZ,2020-09-01,2020-09-02,2020-10-28,TAKE_PROFIT_DYN,4,34,796670.74855368,799289.52564474,2618.77709105995,0.3287151054327302
300136.SZ,2020-10-12,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,19,396198.684882,411065.40815496,14866.723272960051,3.7523403888601528
600030.SH,2020-10-26,2020-10-27,2020-11-23,TAKE_PROFIT_DYN,2,19,395587.9161234,416231.71239924,20643.796275840024,5.218510332201447
000661.SZ,2020-09-16,2020-09-17,2020-12-01,TAKE_PROFIT_DYN,2,47,373024.51616430003,411688.99644246,38664.48027815996,10.365131138225253
600745.SH,2020-09-08,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,4,57,784651.6203926399,795769.4944794601,11117.874086820171,1.4169185149017833
601012.SH,2020-11-13,2020-11-16,2020-12-09,TAKE_PROFIT_DYN,2,17,388590.10816626,433553.49841410003,44963.39024784003,11.570904483395198
300122.SZ,2020-11-11,2020-11-12,2020-12-21,TAKE_PROFIT_DYN,2,27,381826.59510995995,464278.94051580003,82452.34540584008,21.594186068179752
