ts_code,stock_name,entry_date,exit_date,date,pstar_adj,adjT,pstar_raw,executable_threshold,daily_open,daily_high,daily_low,daily_close,limit_down_px,limit_up_px,high_ge_threshold,high_ge_threshold_exact,legal_exit_hit,gap_to_threshold,eod_bb_upper,eod_upper_touch
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-02-22,1675.672,17.8294,93.984,93.99,74.42,74.76,73.08,73.57,60.02,90.04,False,False,False,-19.23,93.189,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-02-23,1693.979,17.8294,95.01,95.02,74.0,75.1,73.68,74.44,58.86,88.28,False,False,False,-19.92,93.602,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-02-24,1702.323,17.8294,95.478,95.48,74.35,74.35,72.6,72.78,59.55,89.33,False,False,False,-21.13,93.979,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-02-27,1704.546,17.8294,95.603,95.61,72.55,73.23,72.12,72.32,58.22,87.34,False,False,False,-22.38,93.853,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-02-28,1701.147,17.8294,95.412,95.42,72.48,72.87,71.18,72.7,57.86,86.78,False,False,False,-22.55,93.396,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-01,1683.279,17.8294,94.41,94.42,72.5,73.2,71.9,72.67,58.16,87.24,False,False,False,-21.22,92.333,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-02,1658.403,17.8294,93.015,93.02,72.56,72.72,70.75,70.85,58.14,87.2,False,False,False,-20.3,91.117,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-03,1639.707,17.8294,91.966,91.97,70.89,72.1,70.64,71.79,56.68,85.02,False,False,False,-19.87,89.932,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-06,1620.4,17.8294,90.884,90.89,71.79,72.62,70.15,72.5,57.43,86.15,False,False,False,-18.27,88.811,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-07,1603.283,17.8294,89.924,89.93,72.0,72.66,71.21,71.29,58.0,87.0,False,False,False,-17.27,87.939,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-08,1586.381,17.8294,88.976,88.98,71.14,71.6,69.65,70.62,57.03,85.55,False,False,False,-17.38,87.038,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-09,1562.543,17.8294,87.639,87.64,70.74,70.8,68.9,69.05,56.5,84.74,False,False,False,-16.84,85.872,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-10,1541.171,17.8294,86.44,86.44,68.6,70.47,67.99,68.74,55.24,82.86,False,False,False,-15.97,84.715,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-13,1513.908,17.8294,84.911,84.92,68.18,68.84,66.79,67.28,54.99,82.49,False,False,False,-16.08,83.39,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-14,1482.079,17.8294,83.126,83.13,67.5,67.65,64.55,65.8,53.82,80.74,False,False,False,-15.48,81.868,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-15,1453.235,17.8294,81.508,81.51,66.33,67.69,65.6,65.61,52.64,78.96,False,False,False,-13.82,80.327,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-16,1420.959,17.8294,79.698,79.7,64.49,65.59,63.51,63.7,52.49,78.73,False,False,False,-14.11,78.894,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-17,1400.562,17.8294,78.554,78.56,64.48,64.48,62.0,62.0,50.96,76.44,False,False,False,-14.08,77.978,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-20,1404.215,17.8294,78.758,78.76,62.14,65.5,61.38,64.2,49.6,74.4,False,False,False,-13.26,77.541,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-21,1395.684,17.8294,78.28,78.28,64.25,67.13,63.7,66.61,51.36,77.04,False,False,False,-11.15,76.842,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-22,1386.138,17.8294,77.744,77.75,67.0,68.9,66.46,67.75,53.29,79.93,False,False,False,-8.85,76.32,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-23,1370.961,17.8294,76.893,76.9,67.0,68.77,66.7,67.65,54.2,81.3,False,False,False,-8.13,75.554,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-24,1360.957,17.8294,76.332,76.34,67.59,68.77,66.66,68.13,54.12,81.18,False,False,False,-7.57,75.059,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-27,1351.873,17.8294,75.823,75.83,67.87,69.29,67.78,68.38,54.5,81.76,False,False,False,-6.54,74.616,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-28,1340.536,17.8294,75.187,75.19,68.2,69.06,67.7,67.8,54.7,82.06,False,False,False,-6.13,74.031,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-29,1327.464,17.8294,74.454,74.46,67.8,69.48,67.76,68.46,54.24,81.36,False,False,False,-4.98,73.425,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-30,1321.597,17.8294,74.125,74.13,68.14,68.99,67.3,68.66,54.77,82.15,False,False,False,-5.14,73.154,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-03-31,1311.75,17.8294,73.572,73.58,68.81,70.85,68.52,69.7,54.93,82.39,False,False,False,-2.73,72.798,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-03,1299.749,17.8294,72.899,72.9,69.59,69.98,67.77,69.0,55.76,83.64,False,False,False,-2.92,72.147,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-04,1291.196,17.8294,72.419,72.42,68.3,68.63,65.98,67.34,55.2,82.8,False,False,False,-3.79,71.595,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-06,1281.911,17.8294,71.899,71.9,67.0,67.96,64.35,67.25,53.87,80.81,False,False,False,-3.94,71.135,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-07,1278.074,17.8294,71.684,71.69,67.3,68.63,66.8,67.12,53.8,80.7,False,False,False,-3.06,70.938,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-10,1274.821,17.8294,71.501,71.51,69.05,70.31,67.67,70.18,53.7,80.54,False,False,False,-1.2,71.19,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-11,1283.107,17.8294,71.966,71.97,69.5,69.98,68.62,68.86,56.14,84.22,False,False,False,-1.99,71.343,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-12,1286.404,17.8294,72.151,72.16,68.48,68.56,66.66,66.8,55.09,82.63,False,False,False,-3.6,71.345,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-13,1286.058,17.8294,72.131,72.14,66.17,67.29,65.76,66.1,53.44,80.16,False,False,False,-4.85,71.333,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-14,1281.294,17.8294,71.864,71.87,66.2,70.6,66.12,68.9,52.88,79.32,False,False,False,-1.27,71.28,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-17,1266.319,17.8294,71.024,71.03,68.35,69.68,68.35,68.97,55.12,82.68,False,False,False,-1.35,70.613,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-18,1258.445,17.8294,70.583,70.59,68.95,70.2,67.81,67.86,55.18,82.76,False,False,False,-0.39,70.17,True
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-19,1257.182,17.8294,70.512,70.52,68.1,68.36,66.88,67.42,54.29,81.43,False,False,False,-2.16,70.12,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-20,1257.289,17.8294,70.518,70.52,67.3,67.3,64.1,64.54,53.94,80.9,False,False,False,-3.22,70.52,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-21,1266.348,17.8294,71.026,71.03,64.7,66.36,62.73,62.78,51.63,77.45,False,False,False,-4.67,71.168,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-24,1280.275,17.8294,71.807,71.81,62.77,63.49,61.46,62.02,50.22,75.34,False,False,False,-8.32,71.689,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-25,1291.477,17.8294,72.435,72.44,62.01,62.35,59.42,60.38,49.62,74.42,False,False,False,-10.09,72.285,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-26,1305.944,17.8294,73.247,73.25,60.66,67.22,60.01,66.79,48.3,72.46,False,False,False,-6.03,72.222,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-27,1303.373,17.8294,73.102,73.11,66.4,67.78,65.61,66.67,53.43,80.15,False,False,False,-5.33,72.085,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-28,1300.062,17.8294,72.917,72.92,66.99,67.69,64.83,65.55,53.34,80.0,False,False,False,-5.23,71.89,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-04,1292.64,17.8294,72.5,72.51,65.13,66.15,64.92,65.18,52.44,78.66,False,False,False,-6.36,71.507,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-05,1286.848,17.8294,72.176,72.18,64.98,65.15,63.51,64.1,52.14,78.22,False,False,False,-7.03,71.224,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-08,1285.424,17.8294,72.096,72.1,65.0,65.32,62.55,63.93,51.28,76.92,False,False,False,-6.78,71.127,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-09,1283.814,17.8294,72.005,72.01,63.65,63.86,62.3,62.69,51.14,76.72,False,False,False,-8.15,71.083,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-10,1283.481,17.8294,71.987,71.99,63.1,66.47,62.56,64.96,50.15,75.23,False,False,False,-5.52,70.953,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-11,1269.536,17.8294,71.205,71.21,64.7,68.5,64.31,68.0,51.97,77.95,False,False,False,-2.71,70.535,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-12,1266.322,17.8294,71.024,71.03,67.9,68.69,66.9,66.91,54.4,81.6,False,False,False,-2.34,70.241,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-15,1266.573,17.8294,71.038,71.04,67.79,70.75,67.43,70.36,53.53,80.29,False,False,False,-0.29,70.869,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-16,1280.88,17.8294,71.841,71.85,70.3,71.12,69.62,70.25,56.29,84.43,False,False,False,-0.73,71.462,False
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-17,1286.574,17.8294,72.16,72.17,70.7,71.3,68.51,69.06,56.2,84.3,False,False,False,-0.87,71.489,False
