round,ts_code,stock_name,episode_key,role,signal_date,entry_date,entry_price_raw,shares,gross_amount,cumulative_avg_cost,frozen_exit_date,frozen_return_pct,frozen_pnl,adj_ret_pct,adj_pnl,crossed_ca,first_legal_exit_current_data
59,300014.SZ,亿纬锂能,300014.SZ|2023-02-21,L1,2023-02-20,2023-02-21,74.474,2600,193633.44,74.494,2023-11-06,-28.57,-281657.0,-28.38,-279777.0,True,2023-11-06
59,300014.SZ,亿纬锂能,300014.SZ|2023-02-21,L2,2023-02-22,2023-02-23,74.074,2700,199999.8,74.29,2023-11-06,-28.57,-281657.0,-28.38,-279777.0,True,2023-11-06
59,300014.SZ,亿纬锂能,300014.SZ|2023-02-21,L3,2023-03-17,2023-03-20,62.202,3200,199046.85,69.745,2023-11-06,-28.57,-281657.0,-28.38,-279777.0,True,2023-11-06
59,300014.SZ,亿纬锂能,300014.SZ|2023-02-21,L4,2023-04-20,2023-04-21,64.765,3000,194294.1,68.45,2023-11-06,-28.57,-281657.0,-28.38,-279777.0,True,2023-11-06
59,300014.SZ,亿纬锂能,300014.SZ|2023-02-21,L5,2023-04-24,2023-04-25,62.072,3200,198630.43,67.065,2023-11-06,-28.57,-281657.0,-28.38,-279777.0,True,2023-11-06
5,002714.SZ,牧原股份,002714.SZ|2020-05-12,L1,2020-05-11,2020-05-12,115.615,1700,196546.35,115.646,2020-07-06,-25.08,-49309.0,27.94,54932.0,True,2020-06-18
65,000628.SZ,高新发展,000628.SZ|2024-04-01,L1,2024-03-29,2024-04-01,76.406,2600,198656.46,76.426,2024-05-21,-22.19,-131450.0,-22.19,-131450.0,False,2024-05-21
65,000628.SZ,高新发展,000628.SZ|2024-04-01,L2,2024-04-02,2024-04-03,72.763,2700,196459.26,74.57,2024-05-21,-22.19,-131450.0,-22.19,-131450.0,False,2024-05-21
65,000628.SZ,高新发展,000628.SZ|2024-04-01,L3,2024-04-10,2024-04-11,57.958,3400,197056.86,68.084,2024-05-21,-22.19,-131450.0,-22.19,-131450.0,False,2024-05-21
93,688525.SH,佰维存储,688525.SH|2026-07-16,L1,2026-07-15,2026-07-16,300.3,600,180180.0,300.378,2026-08-25,-19.37,-71017.0,-19.37,-71017.0,False,
93,688525.SH,佰维存储,688525.SH|2026-07-16,L2,2026-07-17,2026-07-20,266.266,700,186386.2,282.047,2026-08-25,-19.37,-71017.0,-19.37,-71017.0,False,
37,300750.SZ,宁德时代,300750.SZ|2021-12-21,L1,2021-12-20,2021-12-21,606.606,300,181981.8,606.764,2022-06-02,-18.13,-97948.0,-18.13,-97948.0,False,2022-06-02
37,300750.SZ,宁德时代,300750.SZ|2021-12-21,L2,2021-12-24,2021-12-27,574.774,300,172432.26,590.844,2022-06-02,-18.13,-97948.0,-18.13,-97948.0,False,2022-06-02
37,300750.SZ,宁德时代,300750.SZ|2021-12-21,L3,2022-02-10,2022-03-08,464.444,400,185777.59,540.332,2022-06-02,-18.13,-97948.0,-18.13,-97948.0,False,2022-06-02
17,002475.SZ,立讯精密,002475.SZ|2021-01-29,L1,2021-01-28,2021-01-29,51.501,3800,195705.51,51.515,2021-04-19,-17.8,-140638.0,-17.8,-140638.0,False,2021-04-19
17,002475.SZ,立讯精密,002475.SZ|2021-01-29,L2,2021-03-09,2021-03-10,45.535,4300,195802.61,48.347,2021-04-19,-17.8,-140638.0,-17.8,-140638.0,False,2021-04-19
17,002475.SZ,立讯精密,002475.SZ|2021-01-29,L3,2021-03-11,2021-03-12,42.412,4700,199338.14,46.172,2021-04-19,-17.8,-140638.0,-17.8,-140638.0,False,2021-04-19
17,002475.SZ,立讯精密,002475.SZ|2021-01-29,L4,2021-03-15,2021-03-16,38.258,5000,191291.1,43.952,2021-04-19,-17.8,-140638.0,-17.8,-140638.0,False,2021-04-19
92,600487.SH,亨通光电,600487.SH|2026-07-07,L1,2026-07-06,2026-07-07,84.685,2300,194774.58,84.707,2026-08-18,-17.72,-69195.0,-17.72,-69195.0,False,2026-08-18
92,600487.SH,亨通光电,600487.SH|2026-07-07,L2,2026-07-08,2026-07-09,78.258,2500,195645.45,81.359,2026-08-18,-17.72,-69195.0,-17.72,-69195.0,False,2026-08-18
62,002594.SZ,比亚迪,002594.SZ|2023-08-15,L1,2023-08-14,2023-08-15,246.066,800,196852.66,246.13,2024-03-12,-13.94,-123488.0,-13.94,-123488.0,False,2024-03-12
