case,target_date,low_raw,high_raw,brute_first_tick,found,analytic_executable,consistent_100pct
300014.SZ|2023-02-21,2023-04-18,67.81,70.2,,False,70.59,True
300014.SZ|2023-02-21,2023-05-15,67.43,70.75,,False,71.04,True
300014.SZ|2023-02-21,2023-08-04,58.92,60.88,,False,61.03,True
300750.SZ|2021-12-21,2022-02-07,574.18,609.98,,False,613.24,True
002594.SZ|2023-08-15,2023-10-18,244.0,251.0,,False,251.94,True
600745.SH|2020-09-09,2020-10-12,122.0,126.95,,False,132.25,True
600745.SH|2020-09-09,2020-11-10,113.0,117.33,,False,119.12,True
000858.SZ|2022-03-04,2022-04-14,162.93,173.0,,False,173.12,True
000858.SZ|2022-03-04,2022-04-15,168.6,174.0,,False,174.63,True
601318.SH|2023-11-10,2023-12-29,40.05,40.44,,False,40.45,True
600519.SH|2023-10-16,2023-12-29,1720.0,1749.58,1737.93,True,1737.93,True
002714.SZ|2020-05-12,2020-06-02,119.99,124.99,,False,125.54,True
002714.SZ|2020-05-12,2020-06-18,70.28,73.18,72.62,True,72.62,True
