case,target_date,S,T,analytic_pstar_adjusted,adj_factor,analytic_pstar_raw,executable_tick_threshold,daily_high_raw,daily_low_raw,gap_high_minus_thr,trigger_yes_no
300014.SZ|2023-02-21,2023-04-18,23065.181603999994,28006741.390515186,1258.4453890852362,17.8294,70.58259891444672,70.59,70.2,67.81,-0.39,False
300014.SZ|2023-02-21,2023-05-15,22175.316249999996,25914300.711419977,1266.5728094909705,17.8294,71.03844265600472,71.04,70.75,67.43,-0.29,False
300014.SZ|2023-02-21,2023-08-04,19583.359649999995,20196732.165977065,1090.9253496596293,17.877,61.023960936377996,61.03,60.88,58.92,-0.15,False
300750.SZ|2021-12-21,2022-02-07,10827.36692,6177106.642189067,615.6889753753293,1.004,613.236031250328,613.24,609.98,574.18,-3.26,False
002594.SZ|2023-08-15,2023-10-18,4711.27925,1168570.4317449373,258.2312854885918,1.025,251.93296145228473,251.94,251.0,244.0,-0.94,False
600745.SH|2020-09-09,2020-10-12,4913.993088,1272711.0945767916,281.8509144102822,2.1312,132.24986599581558,132.25,126.95,122.0,-5.3,False
600745.SH|2020-09-09,2020-11-10,4261.696704000001,958814.6137171108,253.86510942816668,2.1312,119.11838843288601,119.12,117.33,113.0,-1.79,False
000858.SZ|2022-03-04,2022-04-14,54037.144000000015,153852960.54565665,3068.486826973428,17.725,173.11632310146277,173.12,173.0,162.93,-0.12,False
000858.SZ|2022-03-04,2022-04-15,54157.14225000002,154568409.1018797,3095.314538982426,17.725,174.62987525993938,174.63,174.0,168.6,-0.63,False
601318.SH|2023-11-10,2023-12-29,2118.48881,236251.86906129558,115.03085224460878,2.8438,40.449698377033826,40.45,40.44,40.05,-0.01,False
600519.SH|2023-10-16,2023-12-29,249455.695984,3276091123.13822,13655.931137864689,7.8576,1737.9264836419122,1737.93,1749.58,1720.0,11.65,True
002714.SZ|2020-05-12,2020-06-02,16949.875395,15133206.444444094,952.674835502519,7.5891,125.5319913431789,125.54,124.99,119.99,-0.55,False
002714.SZ|2020-05-12,2020-06-18,17035.292233,15280357.828043032,941.1064096329187,12.9598,72.6173559493911,72.62,73.18,70.28,0.56,True
