case,target_date,f_sign_changes_in_window,unique_root_in_window,note
300014.SZ|2023-02-21,2023-04-18,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
300014.SZ|2023-02-21,2023-05-15,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
300014.SZ|2023-02-21,2023-08-04,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
300750.SZ|2021-12-21,2022-02-07,0,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
002594.SZ|2023-08-15,2023-10-18,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
600745.SH|2020-09-09,2020-10-12,0,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
600745.SH|2020-09-09,2020-11-10,0,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
000858.SZ|2022-03-04,2022-04-14,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
000858.SZ|2022-03-04,2022-04-15,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
601318.SH|2023-11-10,2023-12-29,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
600519.SH|2023-10-16,2023-12-29,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
002714.SZ|2020-05-12,2020-06-02,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
002714.SZ|2020-05-12,2020-06-18,1,True,"f(p)=p-Upper(p) 在 [low-1, high+1] 采样201点; 交点<=1 即唯一"
