case,target_date,analytic_root,numerical_root,max_abs_error,error_tolerance_ok
300014.SZ|2023-02-21,2023-04-18,1258.4453890852362,1258.4453890852183,1.7962520360015333e-11,True
300014.SZ|2023-02-21,2023-05-15,1266.5728094909705,1266.5728094909773,6.821210263296962e-12,True
300014.SZ|2023-02-21,2023-08-04,1090.9253496596293,1090.925349659623,6.366462912410498e-12,True
300750.SZ|2021-12-21,2022-02-07,615.6889753753293,615.6889753753321,2.8421709430404007e-12,True
002594.SZ|2023-08-15,2023-10-18,258.2312854885918,258.2312854885936,1.7621459846850485e-12,True
600745.SH|2020-09-09,2020-10-12,281.8509144102822,281.85091441028317,9.663381206337363e-13,True
600745.SH|2020-09-09,2020-11-10,253.86510942816668,253.86510942816557,1.1084466677857563e-12,True
000858.SZ|2022-03-04,2022-04-14,3068.486826973428,3068.486826973469,4.092726157978177e-11,True
000858.SZ|2022-03-04,2022-04-15,3095.314538982426,3095.314538982444,1.8189894035458565e-11,True
601318.SH|2023-11-10,2023-12-29,115.03085224460878,115.03085224460915,3.694822225952521e-13,True
600519.SH|2023-10-16,2023-12-29,13655.931137864689,13655.93113786503,3.41970007866621e-10,True
002714.SZ|2020-05-12,2020-06-02,952.674835502519,952.6748355025284,9.322320693172514e-12,True
002714.SZ|2020-05-12,2020-06-18,941.1064096329187,941.1064096329155,3.183231456205249e-12,True
