case,target_date,lookback_date,close_raw,adj_factor,close_adjusted
300014.SZ|2023-02-21,2023-04-18,2023-04-17,68.97,17.8294,1229.693718
300014.SZ|2023-02-21,2023-04-18,2023-04-14,68.9,17.8294,1228.44566
300014.SZ|2023-02-21,2023-04-18,2023-04-13,66.1,17.8294,1178.52334
300014.SZ|2023-02-21,2023-04-18,2023-04-12,66.8,17.8294,1191.0039199999999
300014.SZ|2023-02-21,2023-04-18,2023-04-11,68.86,17.8294,1227.7324839999999
300014.SZ|2023-02-21,2023-04-18,2023-04-10,70.18,17.8294,1251.267292
300014.SZ|2023-02-21,2023-04-18,2023-04-07,67.12,17.8294,1196.7093280000001
300014.SZ|2023-02-21,2023-04-18,2023-04-06,67.25,17.8294,1199.02715
300014.SZ|2023-02-21,2023-04-18,2023-04-04,67.34,17.8294,1200.6317960000001
300014.SZ|2023-02-21,2023-04-18,2023-04-03,69.0,17.8294,1230.2286
300014.SZ|2023-02-21,2023-04-18,2023-03-31,69.7,17.8294,1242.70918
300014.SZ|2023-02-21,2023-04-18,2023-03-30,68.66,17.8294,1224.166604
300014.SZ|2023-02-21,2023-04-18,2023-03-29,68.46,17.8294,1220.600724
300014.SZ|2023-02-21,2023-04-18,2023-03-28,67.8,17.8294,1208.83332
300014.SZ|2023-02-21,2023-04-18,2023-03-27,68.38,17.8294,1219.174372
300014.SZ|2023-02-21,2023-04-18,2023-03-24,68.13,17.8294,1214.7170219999998
300014.SZ|2023-02-21,2023-04-18,2023-03-23,67.65,17.8294,1206.15891
300014.SZ|2023-02-21,2023-04-18,2023-03-22,67.75,17.8294,1207.94185
300014.SZ|2023-02-21,2023-04-18,2023-03-21,66.61,17.8294,1187.616334
300014.SZ|2023-02-21,2023-05-15,2023-05-12,66.91,17.8294,1192.965154
300014.SZ|2023-02-21,2023-05-15,2023-05-11,68.0,17.8294,1212.3992
300014.SZ|2023-02-21,2023-05-15,2023-05-10,64.96,17.8294,1158.1978239999999
300014.SZ|2023-02-21,2023-05-15,2023-05-09,62.69,17.8294,1117.725086
300014.SZ|2023-02-21,2023-05-15,2023-05-08,63.93,17.8294,1139.833542
300014.SZ|2023-02-21,2023-05-15,2023-05-05,64.1,17.8294,1142.8645399999998
300014.SZ|2023-02-21,2023-05-15,2023-05-04,65.18,17.8294,1162.120292
300014.SZ|2023-02-21,2023-05-15,2023-04-28,65.55,17.8294,1168.71717
300014.SZ|2023-02-21,2023-05-15,2023-04-27,66.67,17.8294,1188.686098
300014.SZ|2023-02-21,2023-05-15,2023-04-26,66.79,17.8294,1190.825626
300014.SZ|2023-02-21,2023-05-15,2023-04-25,60.38,17.8294,1076.539172
300014.SZ|2023-02-21,2023-05-15,2023-04-24,62.02,17.8294,1105.779388
300014.SZ|2023-02-21,2023-05-15,2023-04-21,62.78,17.8294,1119.329732
300014.SZ|2023-02-21,2023-05-15,2023-04-20,64.54,17.8294,1150.709476
300014.SZ|2023-02-21,2023-05-15,2023-04-19,67.42,17.8294,1202.058148
300014.SZ|2023-02-21,2023-05-15,2023-04-18,67.86,17.8294,1209.903084
300014.SZ|2023-02-21,2023-05-15,2023-04-17,68.97,17.8294,1229.693718
300014.SZ|2023-02-21,2023-05-15,2023-04-14,68.9,17.8294,1228.44566
300014.SZ|2023-02-21,2023-05-15,2023-04-13,66.1,17.8294,1178.52334
300014.SZ|2023-02-21,2023-08-04,2023-08-03,59.16,17.877,1057.60332
300014.SZ|2023-02-21,2023-08-04,2023-08-02,58.27,17.877,1041.69279
300014.SZ|2023-02-21,2023-08-04,2023-08-01,58.8,17.877,1051.1676
300014.SZ|2023-02-21,2023-08-04,2023-07-31,59.23,17.877,1058.8547099999998
300014.SZ|2023-02-21,2023-08-04,2023-07-28,58.53,17.877,1046.34081
300014.SZ|2023-02-21,2023-08-04,2023-07-27,58.38,17.877,1043.65926
300014.SZ|2023-02-21,2023-08-04,2023-07-26,56.76,17.877,1014.6985199999999
300014.SZ|2023-02-21,2023-08-04,2023-07-25,56.87,17.877,1016.6649899999999
300014.SZ|2023-02-21,2023-08-04,2023-07-24,54.64,17.877,976.79928
300014.SZ|2023-02-21,2023-08-04,2023-07-21,55.92,17.877,999.68184
300014.SZ|2023-02-21,2023-08-04,2023-07-20,55.66,17.877,995.0338199999999
