year,horizon,panic_n,nonpanic_n,delta_pp,spearman
2020,5,0,198,,0.0845
2021,5,46,195,0.8011,0.1346
2022,5,51,176,-0.1508,-0.07
2023,5,52,186,0.2354,-0.0212
2024,5,38,164,0.2391,-0.0445
2020,10,0,198,,-0.0434
2021,10,46,195,1.4885,0.1722
2022,10,51,176,1.1251,-0.0101
2023,10,52,186,0.1542,-0.0532
2024,10,36,161,0.0291,-0.0254
2020,20,0,198,,-0.0903
2021,20,46,195,1.8077,0.1376
2022,20,51,176,1.2461,0.0063
2023,20,52,186,0.4224,-0.0392
2024,20,35,153,-0.501,0.0285
2020,40,0,198,,-0.1288
2021,40,46,195,3.6689,0.3202
2022,40,51,176,2.4146,0.0547
2023,40,52,186,-1.3425,-0.1276
2024,40,32,139,1.8779,0.1072
