date,day_idx,old_signalrow_cluster_id,new_calendar_cluster_id
2021-01-28,261,0,0
2021-01-29,262,0,0
2021-02-03,265,1,1
2021-02-04,266,1,1
2021-02-05,267,1,1
2021-03-09,284,2,2
2021-03-24,295,3,3
2021-03-30,299,4,4
2021-04-12,307,5,5
2021-04-13,308,5,5
2021-04-23,316,6,6
2021-04-26,317,6,6
2021-04-27,318,6,6
2021-04-28,319,6,6
2021-04-30,321,7,7
2021-05-06,322,7,7
2021-05-07,323,7,7
2021-05-10,324,7,7
2021-06-11,348,8,8
2021-06-15,349,8,8
2021-06-16,350,8,8
2021-06-29,359,9,9
2021-07-01,361,10,10
2021-07-02,362,10,10
2021-07-08,366,11,11
2021-07-15,371,12,12
2021-07-19,373,13,13
2021-07-23,377,14,14
2021-07-26,378,14,14
2021-07-27,379,14,14
2021-07-28,380,14,14
2021-08-17,394,15,15
2021-08-30,403,16,16
2021-09-16,416,17,17
2021-09-17,417,17,17
2021-09-24,420,18,18
2021-09-27,421,18,18
2021-09-28,422,18,18
2021-09-29,423,18,18
2021-10-12,427,19,19
2021-10-27,438,20,20
2021-10-28,439,20,20
2021-12-06,466,21,21
2021-12-07,467,21,21
2021-12-20,476,22,22
2021-12-24,480,23,23
2022-01-05,487,24,24
2022-01-07,489,25,25
2022-01-14,494,26,26
2022-01-20,498,27,27
2022-01-21,499,27,27
2022-01-24,500,27,27
2022-01-25,501,27,27
2022-01-27,503,28,28
2022-03-07,525,29,29
2022-03-08,526,29,29
2022-03-09,527,29,29
2022-03-14,530,30,30
2022-03-15,531,30,30
2022-04-11,548,31,31
2022-04-15,552,32,32
2022-04-21,556,33,33
2022-04-22,557,33,33
2022-04-25,558,33,33
2022-04-26,559,33,33
2022-06-22,596,34,34
2022-07-05,605,35,35
2022-07-06,606,35,35
2022-07-11,609,36,36
2022-07-12,610,36,36
2022-07-15,613,37,37
2022-08-02,625,38,38
2022-08-03,626,38,38
2022-08-24,641,39,39
2022-08-25,642,39,39
2022-08-26,643,39,39
2022-08-31,646,40,40
2022-09-01,647,40,40
2022-09-15,656,41,41
2022-09-16,657,41,41
2022-09-19,658,41,41
2022-09-23,662,42,42
2022-09-26,663,42,42
2022-09-28,665,43,43
2022-09-29,666,43,43
2022-10-10,668,44,44
2022-10-28,682,45,45
2022-11-25,702,46,46
2022-11-28,703,46,46
2022-12-12,713,47,47
2022-12-13,714,47,47
2022-12-16,717,48,48
2022-12-19,718,48,48
2022-12-20,719,48,48
2022-12-21,720,48,48
2022-12-22,721,48,48
2022-12-23,722,48,48
2023-02-16,755,49,49
2023-02-17,756,49,49
2023-02-27,762,50,50
2023-03-07,768,51,51
2023-03-10,771,52,52
2023-03-13,772,52,52
2023-03-14,773,52,52
2023-03-16,775,53,53
2023-03-20,777,54,54
2023-03-29,784,55,55
2023-04-18,797,56,56
2023-04-19,798,56,56
2023-04-20,799,56,56
2023-04-21,800,56,56
2023-04-24,801,56,56
2023-04-25,802,56,56
2023-06-06,829,57,57
2023-06-07,830,57,57
2023-06-08,831,57,57
2023-06-20,839,58,58
2023-06-21,840,58,58
2023-06-26,841,58,58
2023-07-20,859,59,59
2023-07-21,860,59,59
2023-08-07,871,60,60
2023-08-09,873,61,61
2023-08-11,875,62,62
2023-08-14,876,62,62
2023-08-15,877,62,62
2023-08-16,878,62,62
2023-08-18,880,63,63
2023-08-21,881,63,63
2023-08-22,882,63,63
2023-08-23,883,63,63
2023-08-24,884,63,63
2023-08-25,885,63,63
2023-10-09,910,64,64
2023-10-10,911,64,64
2023-10-13,914,65,65
2023-10-18,917,66,66
2023-10-19,918,66,66
2023-10-20,919,66,66
2023-10-23,920,66,66
2023-11-30,948,67,67
2023-12-05,951,68,68
2023-12-07,953,69,69
2023-12-08,954,69,69
2023-12-18,960,70,70
2023-12-20,962,71,71
2023-12-22,964,72,72
2023-12-25,965,72,72
2023-12-26,966,72,72
2024-01-08,974,73,73
2024-01-17,981,74,74
2024-01-18,982,74,74
2024-01-19,983,74,74
2024-01-22,984,74,74
2024-01-31,991,75,75
2024-03-25,1023,76,76
2024-03-27,1025,77,77
2024-04-08,1031,78,78
2024-04-10,1033,79,79
2024-04-15,1036,80,80
2024-04-16,1037,80,80
2024-05-23,1061,81,81
2024-05-24,1062,81,81
2024-05-28,1064,82,82
2024-06-03,1068,83,83
2024-06-04,1069,83,83
2024-06-05,1070,83,83
2024-06-06,1071,83,83
2024-06-20,1080,84,84
2024-06-24,1082,85,85
2024-06-25,1083,85,85
2024-07-08,1092,86,86
2024-07-24,1104,87,87
2024-08-05,1112,88,88
2024-08-20,1123,89,89
2024-08-21,1124,89,89
2024-08-22,1125,89,89
2024-08-23,1126,89,89
2024-08-27,1128,90,90
2024-09-13,1141,91,91
2024-09-18,1142,91,91
2024-11-15,1179,92,92
2024-11-18,1180,92,92
2024-11-22,1184,93,93
2024-12-17,1201,94,94
2024-12-23,1205,95,95
2024-12-24,1206,95,95
2024-12-25,1207,95,95
