signal_date,cluster_id,cluster_day,first_day
2021-01-28,0,1,True
2021-02-04,1,2,False
2021-03-09,2,1,True
2021-03-24,3,1,True
2021-04-12,5,1,True
2021-04-23,6,1,True
2021-04-30,7,1,True
2021-06-11,8,1,True
2021-06-29,9,1,True
2021-07-08,11,1,True
2021-07-15,12,1,True
2021-07-23,14,1,True
2021-08-17,15,1,True
2021-08-30,16,1,True
2021-09-16,17,1,True
2021-09-27,18,2,False
2021-10-12,19,1,True
2021-10-27,20,1,True
2021-12-06,21,1,True
2021-12-20,22,1,True
2022-01-05,24,1,True
2022-01-14,26,1,True
2022-01-21,27,2,False
2022-03-07,29,1,True
2022-03-14,30,1,True
2022-04-11,31,1,True
2022-04-21,33,1,True
2022-06-22,34,1,True
2022-07-05,35,1,True
2022-07-12,36,2,False
2022-08-02,38,1,True
2022-08-24,39,1,True
2022-08-31,40,1,True
2022-09-15,41,1,True
2022-09-23,42,1,True
2022-10-10,44,1,True
2022-10-28,45,1,True
2022-11-25,46,1,True
2022-12-12,47,1,True
2022-12-19,48,2,False
2023-02-16,49,1,True
2023-02-27,50,1,True
2023-03-07,51,1,True
2023-03-14,52,3,False
2023-03-29,55,1,True
2023-04-18,56,1,True
2023-04-25,56,6,False
2023-06-06,57,1,True
2023-06-20,58,1,True
2023-07-20,59,1,True
2023-08-07,60,1,True
2023-08-14,62,2,False
2023-08-21,63,2,False
2023-10-09,64,1,True
2023-10-18,66,1,True
2023-11-30,67,1,True
2023-12-07,69,1,True
2023-12-18,70,1,True
2023-12-25,72,2,False
2024-01-08,73,1,True
2024-01-17,74,1,True
2024-01-31,75,1,True
2024-03-25,76,1,True
2024-04-08,78,1,True
2024-04-15,80,1,True
2024-05-23,81,1,True
2024-06-03,83,1,True
2024-06-20,84,1,True
2024-07-08,86,1,True
2024-07-24,87,1,True
2024-08-05,88,1,True
2024-08-20,89,1,True
2024-08-27,90,1,True
2024-09-13,91,1,True
2024-11-15,92,1,True
2024-11-22,93,1,True
2024-12-17,94,1,True
2024-12-24,95,2,False
