feature,importance,task,model
csi300_ret_20,0.022638870817930014,NEW_ENTRY_Y1,xgb
market_up_ratio,0.01599798263137835,NEW_ENTRY_Y1,xgb
market_down_ratio,0.014132303221114428,NEW_ENTRY_Y1,xgb
log_amount,0.010356126580648972,NEW_ENTRY_Y1,xgb
ret_1d,0.009083850267529225,NEW_ENTRY_Y1,xgb
distance_52w_high,0.007170965677292296,NEW_ENTRY_Y1,xgb
daily_bb_signal_count,0.007048700298032307,NEW_ENTRY_Y1,xgb
csi1000_ret_5,0.006947706459839953,NEW_ENTRY_Y1,xgb
distance_ma10,0.006741616130827843,NEW_ENTRY_Y1,xgb
drawdown_60,0.0053889768581584455,NEW_ENTRY_Y1,xgb
realized_vol_20,0.004898653341416726,NEW_ENTRY_Y1,xgb
realized_vol_10,0.004560811008791266,NEW_ENTRY_Y1,xgb
distance_ma60,0.0035159415902175973,NEW_ENTRY_Y1,xgb
gap_pct,0.002388012176657828,NEW_ENTRY_Y1,xgb
distance_ma5,0.0005886086100352461,NEW_ENTRY_Y1,xgb
ret_5d,0.00048146021474493317,NEW_ENTRY_Y1,xgb
signal_count_last_20d,1.640247182308485e-05,NEW_ENTRY_Y1,xgb
days_since_first_signal,0.0,NEW_ENTRY_Y1,xgb
amount_percentile,0.0,NEW_ENTRY_Y1,xgb
signal_role,0.0,NEW_ENTRY_Y1,xgb
level_no,0.0,NEW_ENTRY_Y1,xgb
amount_ratio_5_20,-0.0005051539995556631,NEW_ENTRY_Y1,xgb
volume_ratio_5_20,-0.000716032407648326,NEW_ENTRY_Y1,xgb
drawdown_20,-0.0009040997229873948,NEW_ENTRY_Y1,xgb
distance_to_lower_band,-0.0014577871959300826,NEW_ENTRY_Y1,xgb
ret_10d,-0.001674612304300016,NEW_ENTRY_Y1,xgb
bb_z,-0.002405546680870252,NEW_ENTRY_Y1,xgb
ret_20d,-0.0025457026195049083,NEW_ENTRY_Y1,xgb
bb_width,-0.005454931838301702,NEW_ENTRY_Y1,xgb
csi300_ret_5,-0.0062001830455511,NEW_ENTRY_Y1,xgb
atr14_pct,-0.008350010147705112,NEW_ENTRY_Y1,xgb
daily_range_pct,-0.008363774769512,NEW_ENTRY_Y1,xgb
distance_ma20,-0.00915272114376262,NEW_ENTRY_Y1,xgb
ret_3d,-0.01153058523848256,NEW_ENTRY_Y1,xgb
csi1000_ret_20,-0.0228381217869734,NEW_ENTRY_Y1,xgb
bb_z,0.0,NEW_ENTRY_Y6,rf
days_since_first_signal,0.0,NEW_ENTRY_Y6,rf
log_amount,0.0,NEW_ENTRY_Y6,rf
amount_percentile,0.0,NEW_ENTRY_Y6,rf
volume_ratio_5_20,0.0,NEW_ENTRY_Y6,rf
amount_ratio_5_20,0.0,NEW_ENTRY_Y6,rf
signal_role,0.0,NEW_ENTRY_Y6,rf
level_no,0.0,NEW_ENTRY_Y6,rf
signal_count_last_20d,0.0,NEW_ENTRY_Y6,rf
daily_range_pct,0.0,NEW_ENTRY_Y6,rf
csi300_ret_5,0.0,NEW_ENTRY_Y6,rf
csi300_ret_20,0.0,NEW_ENTRY_Y6,rf
csi1000_ret_5,0.0,NEW_ENTRY_Y6,rf
csi1000_ret_20,0.0,NEW_ENTRY_Y6,rf
market_up_ratio,0.0,NEW_ENTRY_Y6,rf
market_down_ratio,0.0,NEW_ENTRY_Y6,rf
gap_pct,0.0,NEW_ENTRY_Y6,rf
bb_width,0.0,NEW_ENTRY_Y6,rf
distance_to_lower_band,0.0,NEW_ENTRY_Y6,rf
ret_5d,0.0,NEW_ENTRY_Y6,rf
distance_ma5,0.0,NEW_ENTRY_Y6,rf
distance_ma10,0.0,NEW_ENTRY_Y6,rf
distance_ma20,0.0,NEW_ENTRY_Y6,rf
distance_ma60,0.0,NEW_ENTRY_Y6,rf
ret_1d,0.0,NEW_ENTRY_Y6,rf
ret_3d,0.0,NEW_ENTRY_Y6,rf
ret_10d,0.0,NEW_ENTRY_Y6,rf
realized_vol_20,0.0,NEW_ENTRY_Y6,rf
ret_20d,0.0,NEW_ENTRY_Y6,rf
drawdown_20,0.0,NEW_ENTRY_Y6,rf
drawdown_60,0.0,NEW_ENTRY_Y6,rf
distance_52w_high,0.0,NEW_ENTRY_Y6,rf
atr14_pct,0.0,NEW_ENTRY_Y6,rf
realized_vol_10,0.0,NEW_ENTRY_Y6,rf
daily_bb_signal_count,0.0,NEW_ENTRY_Y6,rf
