date,ts_code,kind,action
2022-04-14,300122.SZ,BAD_VETO,vetoed
2022-06-23,002241.SZ,BAD_VETO,vetoed
2022-07-12,002594.SZ,BAD_VETO,vetoed
2022-08-31,300274.SZ,BAD_VETO,vetoed
2022-12-30,002709.SZ,BAD_VETO,vetoed
2023-05-09,688981.SH,BAD_VETO,vetoed
2023-06-07,300750.SZ,BAD_VETO,vetoed
2023-06-26,300418.SZ,BAD_VETO,vetoed
2023-07-20,300308.SZ,BAD_VETO,vetoed
2023-07-20,000063.SZ,BAD_VETO,vetoed
2023-07-31,600276.SH,BAD_VETO,vetoed
2023-09-07,002475.SZ,BAD_VETO,vetoed
2024-03-27,603019.SH,BAD_VETO,vetoed
2024-03-29,000628.SZ,BAD_VETO,vetoed
2024-11-27,600418.SH,BAD_VETO,vetoed
