date,kind,order,n,action,ts_code
2022-03-10,ADD_RANK,"['000858.SZ', '300014.SZ']",2.0,reordered,
2022-04-14,BAD_VETO,,,vetoed,300122.SZ
2022-04-26,ADD_RANK,"['601012.SH', '300014.SZ', '300274.SZ']",3.0,reordered,
2022-06-23,BAD_VETO,,,vetoed,002241.SZ
2022-07-12,BAD_VETO,,,vetoed,002594.SZ
2022-08-31,BAD_VETO,,,vetoed,300274.SZ
2022-12-30,BAD_VETO,,,vetoed,002709.SZ
2023-05-09,BAD_VETO,,,vetoed,688981.SH
2023-06-07,BAD_VETO,,,vetoed,300750.SZ
2023-06-26,BAD_VETO,,,vetoed,300418.SZ
2023-07-20,BAD_VETO,,,vetoed,300308.SZ
2023-07-20,BAD_VETO,,,vetoed,000063.SZ
2023-07-31,BAD_VETO,,,vetoed,600276.SH
2023-09-07,BAD_VETO,,,vetoed,002475.SZ
2024-03-27,BAD_VETO,,,vetoed,603019.SH
2024-03-29,BAD_VETO,,,vetoed,000628.SZ
2024-11-27,BAD_VETO,,,vetoed,600418.SH
