date,ts_code,name,c0_entry,c0_exit,c0_pnl,c0_ret,c0_hold,in_c0
2022-04-14,300122.SZ,智飞生物,2022-04-15,2022-06-15,-77538.79,-10.03,39.0,True
2022-06-23,002241.SZ,歌尔股份,2022-06-24,2022-08-01,3628.54,1.82,26.0,True
2022-07-12,002594.SZ,比亚迪,2022-07-13,2022-10-18,-19150.34,-2.04,63.0,True
2022-08-31,300274.SZ,阳光电源,2022-09-01,2022-10-12,44445.71,11.52,23.0,True
2022-12-30,002709.SZ,天赐材料,2023-01-03,2023-01-30,54524.13,13.81,14.0,True
2023-05-09,688981.SH,中芯国际,2023-05-10,2023-06-05,13026.1,6.55,18.0,True
2023-06-07,300750.SZ,宁德时代,2023-06-08,2023-06-16,17456.16,9.11,6.0,True
2023-06-26,300418.SZ,昆仑万维,2023-06-27,2023-08-14,-33448.63,-8.51,34.0,True
2023-07-20,300308.SZ,中际旭创,2023-07-21,2023-09-28,31937.43,5.48,49.0,True
2023-07-20,000063.SZ,中兴通讯,,,,,,False
2023-07-31,600276.SH,恒瑞医药,,,,,,False
2023-09-07,002475.SZ,立讯精密,,,,,,False
2024-03-27,603019.SH,中科曙光,2024-03-28,2024-06-18,-6624.5,-1.67,52.0,True
2024-03-29,000628.SZ,高新发展,2024-04-01,2024-05-20,-142719.91,-24.09,30.0,True
2024-11-27,600418.SH,江淮汽车,2024-11-28,2024-12-30,24327.26,12.33,22.0,True
