label,total,cagr,maxdd,sharpe,trades,win_rate,avg_pnl,med_pnl,hold_days,sum_pnl,tag,mode
2022|c0,94.87,25.06,-23.36,0.989,61,80.33,13008.09,13393.85,23.9,793493.29,2022,c0
2022|bad20,102.53,26.69,-23.7,1.024,58,79.31,15248.48,13497.03,24.3,884411.95,2022,bad20
2022|madd,89.78,23.95,-23.08,0.958,61,78.69,12461.61,13264.54,23.9,760158.07,2022,madd
2022|mcombined,101.03,26.37,-23.38,1.017,58,79.31,14927.84,13497.03,24.3,865814.45,2022,mcombined
2023|c0,136.97,24.24,-23.36,1.044,83,78.31,12424.35,13393.85,24.4,1031220.87,2023,c0
2023|bad20,127.78,23.01,-23.36,0.999,82,78.05,12258.29,13561.68,24.7,1005179.54,2023,bad20
2023|madd,136.97,24.24,-23.36,1.044,83,78.31,12424.35,13393.85,24.4,1031220.87,2023,madd
2023|mcombined,127.78,23.01,-23.36,0.999,82,78.05,12258.29,13561.68,24.7,1005179.54,2023,mcombined
2024|c0,178.56,22.93,-23.36,1.043,101,79.21,11274.52,13132.75,24.8,1138726.41,2024,c0
2024|bad20,199.76,24.76,-23.36,1.118,102,80.39,12736.37,13198.64,24.4,1299109.85,2024,bad20
2024|madd,178.56,22.93,-23.36,1.043,101,79.21,11274.52,13132.75,24.8,1138726.41,2024,madd
2024|mcombined,199.76,24.76,-23.36,1.118,102,80.39,12736.37,13198.64,24.4,1299109.85,2024,mcombined
CONCAT|c0,178.56,22.93,-23.36,1.043,101,79.21,11274.52,13132.75,24.8,1138726.41,CONCAT,c0
CONCAT|bad20,188.92,23.83,-23.7,1.069,98,79.59,13504.21,13198.64,24.8,1323412.14,CONCAT,bad20
CONCAT|madd,181.16,23.16,-23.08,1.052,101,78.22,10944.47,13026.1,24.8,1105391.2,CONCAT,madd
CONCAT|mcombined,186.22,23.6,-23.38,1.062,98,79.59,13314.44,13198.64,24.8,1304814.64,CONCAT,mcombined
