seed,veto_count,final_equity,ret_pct,delta_c0
2026,7,2812095.9065426784,0.9495762918636519,26451.815860815812
2027,17,2855707.831711208,2.5151720301854974,70063.74102934543
2028,17,2653588.5965891923,-4.740573088084132,-132055.49409267027
2029,11,2738134.0613977183,-1.705531207057931,-47510.029284144286
2030,15,3193247.807703608,14.632297011136597,407603.71702174563
2031,13,2910049.5989656528,4.46595129291405,124405.5082837902
2032,12,2995251.6217700574,7.524562516415645,209607.5310881948
2033,15,3153539.7626943933,13.206844091934155,367895.67201253073
2034,8,2762658.9945000876,-0.8251268085058494,-22985.096181774978
2035,15,2452752.686723163,-11.950248959378563,-332891.40395869967
2036,11,2673195.258479968,-4.036726464017503,-112448.83220189437
2037,10,3344885.4009126825,20.075834960450045,559241.31023082
2038,21,3097802.474267948,11.20596793503783,312158.3835860854
2039,9,2495925.7810702873,-10.400406519292948,-289718.3096115752
2040,12,2781375.5619774414,-0.1532330967441098,-4268.528704421129
2041,12,2491977.154550563,-10.542155658493202,-293666.9361312995
2042,7,2767479.786245748,-0.6520683850774533,-18164.304436114617
2043,21,2419410.3558247625,-13.147183306086108,-366233.73485710006
2044,18,2775431.343392023,-0.3666206793610849,-10212.747289839666
2045,16,2575478.974751737,-7.544578886913078,-210165.11593012558
2046,17,2533326.1698980527,-9.057794627383576,-252317.92078380985
2047,14,2918639.3009846574,4.774307340541872,132995.21030279482
2048,13,2863492.088976957,2.7946139478298937,77847.99829509435
2049,14,2622126.6035842644,-5.870006424890151,-163517.48709759815
2050,15,2906879.609674533,4.352153938050085,121235.51899267035
2051,10,2485194.435189973,-10.78564402742298,-300449.65549188945
2052,24,2702602.7372204834,-2.9810467797791285,-83041.35346137919
2053,10,2576686.044268428,-7.501247094430019,-208958.04641343467
2054,12,2959552.237886098,6.243013879122894,173908.14720423566
2055,14,2574165.803111063,-7.591719569567646,-211478.2875707997
2056,16,2441786.3417140725,-12.343922546243924,-343857.74896779004
2057,14,2708519.1721614273,-2.7686565838910493,-77124.91852043523
2058,9,3308703.6725732135,18.776970957668816,523059.5818913509
2059,15,2655108.4836691385,-4.686011664209833,-130535.60701272404
2060,16,3177438.843647247,14.064781436938055,391794.7529653846
2061,13,2468958.8217378883,-11.368475606891215,-316685.2689439743
2062,17,2667222.1663172767,-4.251150560142047,-118421.9243645859
2063,17,3055439.8337422684,9.685219442170956,269795.74306040583
2064,15,2880864.8946550116,3.4182688410076434,95220.80397314904
2065,8,2744812.398115023,-1.46579000179613,-40831.69256683951
2066,15,2615969.7477062535,-6.091027333433563,-169674.342975609
2067,12,2626658.691805317,-5.707311978883467,-158985.39887654549
2068,15,3374323.4668844775,21.13261267553097,588679.376202615
2069,14,2921934.321490733,4.892593108529875,136290.2308088704
2070,13,2428363.121639944,-12.825793870690216,-357280.9690419184
2071,18,2919386.631106817,4.801135251711841,133742.5404249546
2072,8,2806796.6660124124,0.7593423510672492,21152.57533054985
2073,17,2830075.882723448,1.5950275984721873,44431.792041585315
2074,13,2703519.433315993,-2.9481389112335443,-82124.65736586973
2075,11,2768300.9818633725,-0.622588825202175,-17343.10881849006
2076,16,2842168.9563415074,2.029148872561426,56524.86565964483
2077,15,2699738.2631063233,-3.0838766468013312,-85905.82757553924
2078,9,3010804.368821398,8.082880325333353,225160.27813953534
2079,10,3126929.3072787076,12.25157290331753,341285.2165968451
2080,13,2721847.195356128,-2.2902026694342936,-63796.895325734746
2081,14,2775791.273479188,-0.3536997865460578,-9852.81720267469
2082,12,2590818.836974308,-6.9939032900597775,-194825.25370755466
2083,13,2703169.9992751176,-2.960683013405241,-82474.0914067449
2084,12,2490805.168176598,-10.584228024373877,-294838.92250526464
2085,15,2462912.4254658925,-11.585531198889543,-322731.66521597
2086,21,2354182.405816063,-15.488758463762963,-431461.68486579973
2087,14,2619780.438730277,-5.954229849621084,-165863.65195158543
2088,6,2772068.3891731314,-0.4873451549012531,-13575.701508731116
2089,12,3066198.137771658,10.071424703114973,280554.0470897956
2090,12,3039265.9953936115,9.10460548639822,253621.90471174894
2091,13,2741726.6319364533,-1.5765638866901743,-43917.45874540927
2092,19,2674677.0584564586,-3.983532303950632,-110967.03222540393
2093,14,2653172.3118562466,-4.755517019160549,-132471.778825616
2094,8,2649200.078302098,-4.89811361172009,-136444.01237976458
2095,18,2988843.4246121924,7.294518873033473,203199.33393032989
2096,22,2884739.755393492,3.557369911077668,99095.6647116295
2097,9,2721632.486916473,-2.297910346103149,-64011.60376538942
2098,13,2742330.7292442527,-1.5548777958568238,-43313.361437609885
2099,12,2518872.5975732473,-9.576653887730346,-266771.4931086153
2100,18,3109161.267570118,11.61372976434565,323517.1768882554
2101,16,2432267.002532243,-12.685651025257894,-353377.08814961975
2102,21,2632183.4265493127,-5.508983170028237,-153460.6641325499
2103,15,2605396.8736998215,-6.47057596427979,-180247.21698204102
2104,11,2749909.2172163124,-1.2828226543758925,-35734.87346555013
2105,18,2232362.883802827,-19.861877141081752,-553281.2068790356
2106,17,2741712.136825754,-1.5770842371092386,-43931.95385610871
2107,14,2500427.0163215925,-10.238819643698827,-285217.07436027005
2108,15,3136612.1256103376,12.59917001251103,350968.03492847504
2109,11,2780307.905265148,-0.19156020090881354,-5336.185416714754
2110,23,2871820.4409548775,3.0935879627006058,86176.35027301498
2111,5,2776930.7093591187,-0.3127959293827476,-8713.381322743837
2112,17,2579157.0915637384,-7.412540597301531,-206486.99911812413
2113,11,2523745.5141382376,-9.401724269790623,-261898.57654362498
2114,16,2495307.2633327977,-10.42261027962108,-290336.8273490649
2115,10,2855515.1426698132,2.508254813372357,69871.05198795069
2116,10,2711781.7652934287,-2.6515349048181536,-73862.32538843388
2117,12,2596842.0535554867,-6.77767981049443,-188802.03712637583
2118,6,2932579.6320010372,5.274742089654683,146935.5413191747
2119,14,2314090.384753508,-16.927995486061143,-471553.7059283545
2120,10,2938681.337743014,5.493783199837687,153037.24706115155
2121,12,2778427.068950333,-0.25907910330937867,-7217.021731529385
2122,25,2824841.151463569,1.4071094334277223,39197.06078170659
2123,13,2883006.063227113,3.4951332394160373,97361.97254525032
2124,14,2759090.678692177,-0.9532234242884186,-26553.411989685614
2125,11,2666343.9167615734,-4.282678261711714,-119300.17392028915
2126,14,2976465.8253733777,6.850183601337467,190821.7346915151
2127,18,2701846.2720869477,-3.0082026226976866,-83797.81859491486
2128,13,2604858.7433413127,-6.48989395110765,-180785.3473405498
2129,16,2548288.398102282,-8.520675465094364,-237355.69257958047
2130,22,2319331.4210724826,-16.739850979858563,-466312.66960937995
