entry,ts_code,name,exit,pnl,ret
2020-03-02,601318.SH,中国平安,2020-03-05,9537.83,4.87
2020-03-13,601318.SH,中国平安,2020-04-14,-5811.13,-1.49
2020-03-02,300750.SZ,宁德时代,2020-04-15,-5868.63,-1.02
2020-03-17,000725.SZ,京东方A,2020-05-11,21556.67,8.8
2020-05-12,002714.SZ,牧原股份,2020-06-02,13132.75,6.68
2020-05-26,000063.SZ,中兴通讯,2020-06-16,13264.54,6.7
2020-05-26,002415.SZ,海康威视,2020-06-18,15035.55,7.55
2020-06-16,600703.SH,三安光电,2020-07-06,27340.42,13.78
2020-09-02,002456.SZ,欧菲光,2020-10-12,-24873.98,-3.12
2020-09-08,600030.SH,中信证券,2020-10-12,5560.24,2.81
2020-10-13,300136.SZ,信维通信,2020-11-09,8640.82,2.18
2020-10-26,000661.SZ,长春高新,2020-11-30,22939.94,14.1
2020-09-09,600745.SH,*ST闻泰,2020-12-07,14039.17,2.4
2020-11-12,300122.SZ,智飞生物,2020-12-07,48628.92,12.74
2020-12-15,002475.SZ,立讯精密,2020-12-16,12511.64,6.3
2020-12-10,000651.SZ,格力电器,2021-01-05,12523.26,3.2
2020-12-17,688981.SH,中芯国际,2021-01-11,58722.8,14.88
2021-02-01,300750.SZ,宁德时代,2021-02-09,28413.17,16.08
2021-01-29,601318.SH,中国平安,2021-02-25,45828.65,7.79
2021-02-23,300059.SZ,东方财富,2021-04-02,-42172.1,-10.63
2021-02-26,300750.SZ,宁德时代,2021-04-14,10488.73,5.41
2021-01-29,002475.SZ,立讯精密,2021-04-19,-150282.56,-19.02
2021-04-16,601166.SH,兴业银行,2021-05-12,16929.72,8.5
2021-04-13,002352.SZ,顺丰控股,2021-05-17,1988.5,0.51
2021-05-06,002594.SZ,比亚迪,2021-05-26,78437.93,20.86
2021-05-14,600031.SH,三一重工,2021-06-01,24370.68,12.23
2021-06-08,002340.SZ,格林美,2021-07-05,19172.26,3.21
2021-05-25,000661.SZ,长春高新,2021-07-19,10265.3,1.99
2021-06-15,600031.SH,三一重工,2021-08-02,11759.6,1.97
2021-07-23,002241.SZ,歌尔股份,2021-08-05,17197.54,8.61
2021-07-06,000333.SZ,美的集团,2021-08-16,52727.33,13.5
2021-08-17,002460.SZ,赣锋锂业,2021-08-24,41767.99,21.34
2021-08-23,600519.SH,贵州茅台,2021-09-13,13729.51,8.92
2021-08-17,300750.SZ,宁德时代,2021-09-14,15947.67,8.21
2021-09-17,000858.SZ,五粮液,2021-09-27,36239.55,9.26
2021-09-30,600111.SH,北方稀土,2021-10-25,40202.71,20.46
2021-09-23,002466.SZ,天齐锂业,2021-11-09,20545.88,5.28
2021-09-29,601919.SH,中远海控,2021-11-29,2471.32,0.62
2021-11-17,600030.SH,中信证券,2021-12-06,12634.46,6.36
2021-10-28,000651.SZ,格力电器,2021-12-07,6244.07,1.58
2021-12-21,300750.SZ,宁德时代,2022-01-28,6548.42,1.85
2021-12-02,601012.SH,隆基绿能,2022-02-28,12595.42,1.66
2021-12-17,002594.SZ,比亚迪,2022-03-01,-21781.09,-3.75
2022-03-07,000002.SZ,万科A,2022-03-31,25781.93,6.4
2022-02-07,000858.SZ,五粮液,2022-04-14,-55624.54,-6.14
2022-04-01,601012.SH,隆基绿能,2022-05-19,62211.4,12.73
2022-04-15,300274.SZ,阳光电源,2022-05-20,43517.89,11.24
2022-03-04,300014.SZ,亿纬锂能,2022-06-01,210584.44,26.51
2022-07-14,600036.SH,招商银行,2022-08-31,-10710.01,-1.81
2022-07-28,603259.SH,药明康德,2022-10-14,-82070.11,-8.45
2022-07-14,002594.SZ,比亚迪,2022-10-18,-34565.4,-4.4
2022-09-02,300750.SZ,宁德时代,2022-10-19,-14314.01,-7.53
2022-10-20,600519.SH,贵州茅台,2022-11-29,26821.25,5.96
2022-10-20,000568.SZ,泸州老窖,2022-12-01,70413.98,9.17
2022-10-21,600887.SH,伊利股份,2022-12-01,35089.81,5.89
2022-12-07,300274.SZ,阳光电源,2022-12-30,38798.81,9.94
2022-12-23,601012.SH,隆基绿能,2023-01-17,19840.34,10.06
2022-12-29,000625.SZ,长安汽车,2023-01-18,19343.14,9.72
2023-01-12,300014.SZ,亿纬锂能,2023-01-30,13949.09,7.09
2023-02-20,300750.SZ,宁德时代,2023-03-31,10722.33,2.07
2023-03-08,300059.SZ,东方财富,2023-04-03,20327.91,5.11
2023-02-21,300014.SZ,亿纬锂能,2023-04-18,-3164.11,-0.53
2023-04-28,600036.SH,招商银行,2023-05-08,17318.43,8.74
2023-04-11,000858.SZ,五粮液,2023-05-22,-15524.53,-4.11
2023-04-13,600519.SH,贵州茅台,2023-05-22,5095.41,3.01
2023-05-15,601899.SH,紫金矿业,2023-06-07,10136.11,5.09
2023-05-23,600809.SH,山西汾酒,2023-06-16,4573.08,1.16
2023-05-30,300059.SZ,东方财富,2023-07-20,2911.75,0.73
2023-06-12,002415.SZ,海康威视,2023-07-25,14763.33,7.39
2023-06-28,300418.SZ,昆仑万维,2023-08-14,-18274.26,-9.23
2023-08-02,600276.SH,恒瑞医药,2023-08-28,21390.0,3.61
2023-07-24,300308.SZ,中际旭创,2023-09-28,31712.15,5.44
2023-08-15,002594.SZ,比亚迪,2023-10-18,18724.77,2.42
2023-10-16,600519.SH,贵州茅台,2023-11-01,43402.92,8.5
2023-09-11,300750.SZ,宁德时代,2023-11-06,-39887.77,-5.35
2023-10-20,000977.SZ,浪潮信息,2023-11-09,69723.95,17.65
2023-11-03,601012.SH,隆基绿能,2023-12-28,-16864.83,-2.82
2023-11-10,601318.SH,中国平安,2023-12-28,-22612.52,-3.82
2023-11-27,002594.SZ,比亚迪,2024-01-11,-32803.46,-5.85
2024-01-04,002230.SZ,科大讯飞,2024-01-30,10195.05,2.59
2024-01-05,000625.SZ,长安汽车,2024-02-26,65686.62,10.97
2024-01-15,000661.SZ,长春高新,2024-02-28,14485.74,3.75
2024-01-31,603259.SH,药明康德,2024-03-04,58195.25,14.8
2024-03-25,601318.SH,中国平安,2024-04-26,23859.17,6.04
2024-04-09,600519.SH,贵州茅台,2024-04-26,18495.42,3.74
2024-04-29,600919.SH,江苏银行,2024-05-16,17635.76,8.83
2024-04-11,000628.SZ,高新发展,2024-05-20,-21399.75,-10.86
2024-05-07,000625.SZ,长安汽车,2024-06-18,10845.21,2.72
2024-05-29,000977.SZ,浪潮信息,2024-06-19,10933.52,5.48
2024-05-29,000725.SZ,京东方A,2024-06-28,11182.19,2.8
2024-07-09,600519.SH,贵州茅台,2024-07-17,7666.96,5.39
2024-07-01,300059.SZ,东方财富,2024-07-26,8802.94,2.21
2024-07-31,600519.SH,贵州茅台,2024-08-19,6582.06,4.79
2024-07-09,601919.SH,中远海控,2024-09-20,2361.6,0.24
2024-08-23,000063.SZ,中兴通讯,2024-09-23,3624.07,1.82
2024-07-19,601138.SH,工业富联,2024-09-24,-23094.82,-2.9
2024-09-23,600150.SH,中国船舶,2024-12-17,20039.64,5.09
2024-11-29,600418.SH,江淮汽车,2024-12-30,27425.42,13.85
