ts_code,name,entry_date,exit_date,levels_used,pnl,return_pct,hold_days,exit_date_bad20,levels_used_bad20,pnl_bad20,return_pct_bad20,hold_days_bad20,exit_date_madd,levels_used_madd,pnl_madd,return_pct_madd,hold_days_madd,exit_date_mcombined,levels_used_mcombined,pnl_mcombined,return_pct_mcombined,hold_days_mcombined
300750.SZ,宁德时代,2020-03-02,2020-04-15,3.0,-5868.628322039847,-1.02,31.0,2020-04-15,3.0,-5868.628322039847,-1.02,31.0,2020-04-15,3.0,-5868.628322039847,-1.02,31.0,2020-04-15,3.0,-5868.628322039847,-1.02,31.0
601318.SH,中国平安,2020-03-02,2020-03-05,1.0,9537.82771500005,4.87,3.0,2020-03-05,1.0,9537.82771500005,4.87,3.0,2020-03-05,1.0,9537.82771500005,4.87,3.0,2020-03-05,1.0,9537.82771500005,4.87,3.0
601318.SH,中国平安,2020-03-13,2020-04-14,2.0,-5811.129240299924,-1.49,21.0,2020-04-14,2.0,-5811.129240299924,-1.49,21.0,2020-04-14,2.0,-5811.129240299924,-1.49,21.0,2020-04-14,2.0,-5811.129240299924,-1.49,21.0
000725.SZ,京东方A,2020-03-17,2020-05-11,2.0,21556.672141680057,8.8,35.0,2020-05-11,2.0,21556.672141680057,8.8,35.0,2020-05-11,2.0,21556.672141680057,8.8,35.0,2020-05-11,2.0,21556.672141680057,8.8,35.0
002714.SZ,牧原股份,2020-05-12,2020-06-02,1.0,13132.749507300032,6.68,15.0,2020-06-02,1.0,13132.749507300032,6.68,15.0,2020-06-02,1.0,13132.749507300032,6.68,15.0,2020-06-02,1.0,13132.749507300032,6.68,15.0
000063.SZ,中兴通讯,2020-05-26,2020-06-16,1.0,13264.538092920033,6.7,15.0,2020-06-16,1.0,13264.538092920033,6.7,15.0,2020-06-16,1.0,13264.538092920033,6.7,15.0,2020-06-16,1.0,13264.538092920033,6.7,15.0
002415.SZ,海康威视,2020-05-26,2020-06-18,1.0,15035.551441360032,7.55,17.0,2020-06-18,1.0,15035.551441360032,7.55,17.0,2020-06-18,1.0,15035.551441360032,7.55,17.0,2020-06-18,1.0,15035.551441360032,7.55,17.0
600703.SH,三安光电,2020-06-16,2020-07-06,1.0,27340.416766259994,13.78,12.0,2020-07-06,1.0,27340.416766259994,13.78,12.0,2020-07-06,1.0,27340.416766259994,13.78,12.0,2020-07-06,1.0,27340.416766259994,13.78,12.0
002456.SZ,欧菲光,2020-09-02,2020-10-12,4.0,-24873.983328239992,-3.12,22.0,2020-10-12,4.0,-24873.983328239992,-3.12,22.0,2020-10-12,4.0,-24873.983328239992,-3.12,22.0,2020-10-12,4.0,-24873.983328239992,-3.12,22.0
600030.SH,中信证券,2020-09-08,2020-10-12,1.0,5560.236970200058,2.81,18.0,2020-10-12,1.0,5560.236970200058,2.81,18.0,2020-10-12,1.0,5560.236970200058,2.81,18.0,2020-10-12,1.0,5560.236970200058,2.81,18.0
600745.SH,*ST闻泰,2020-09-09,2020-12-07,3.0,14039.174742840114,2.4,57.0,2020-12-07,3.0,14039.174742840114,2.4,57.0,2020-12-07,3.0,14039.174742840114,2.4,57.0,2020-12-07,3.0,14039.174742840114,2.4,57.0
300136.SZ,信维通信,2020-10-13,2020-11-09,2.0,8640.817810560053,2.18,19.0,2020-11-09,2.0,8640.817810560053,2.18,19.0,2020-11-09,2.0,8640.817810560053,2.18,19.0,2020-11-09,2.0,8640.817810560053,2.18,19.0
000661.SZ,长春高新,2020-10-26,2020-11-30,1.0,22939.93529190001,14.1,25.0,2020-11-30,1.0,22939.93529190001,14.1,25.0,2020-11-30,1.0,22939.93529190001,14.1,25.0,2020-11-30,1.0,22939.93529190001,14.1,25.0
300122.SZ,智飞生物,2020-11-12,2020-12-07,2.0,48628.916691840044,12.74,17.0,2020-12-07,2.0,48628.916691840044,12.74,17.0,2020-12-07,2.0,48628.916691840044,12.74,17.0,2020-12-07,2.0,48628.916691840044,12.74,17.0
000651.SZ,格力电器,2020-12-10,2021-01-05,2.0,12523.259421540075,3.2,17.0,2021-01-05,2.0,12523.259421540075,3.2,17.0,2021-01-05,2.0,12523.259421540075,3.2,17.0,2021-01-05,2.0,12523.259421540075,3.2,17.0
002475.SZ,立讯精密,2020-12-15,2020-12-16,1.0,12511.643162400025,6.3,1.0,2020-12-16,1.0,12511.643162400025,6.3,1.0,2020-12-16,1.0,12511.643162400025,6.3,1.0,2020-12-16,1.0,12511.643162400025,6.3,1.0
688981.SH,中芯国际,2020-12-17,2021-01-11,2.0,58722.8040489601,14.88,16.0,2021-01-11,2.0,58722.8040489601,14.88,16.0,2021-01-11,2.0,58722.8040489601,14.88,16.0,2021-01-11,2.0,58722.8040489601,14.88,16.0
002475.SZ,立讯精密,2021-01-29,2021-04-19,4.0,-150282.5588784,-19.02,50.0,2021-04-19,4.0,-150282.5588784,-19.02,50.0,2021-04-19,4.0,-150282.5588784,-19.02,50.0,2021-04-19,4.0,-150282.5588784,-19.02,50.0
