horizon,decade,n,mean,median,positive,mae
1M,2005-2009,486,0.0828453199121024,0.12041372285148211,0.6975308641975309,-0.1158195476271142
1M,2010-2014,1350,0.035256471093736974,0.02570711075865717,0.6459259259259259,-0.07796995841454302
1M,2015-2019,2003,-0.003945636559066243,-2.776943083027117e-05,0.49425861208187716,-0.08724131116416517
1M,2020-2024,4239,0.03298055267654269,0.03280067283431465,0.6378862939372494,-0.1287933451278101
1M,2025+,1347,0.025315592994709916,0.04195804195804187,0.6243504083147736,-0.08109915154106855
3M,2005-2009,486,0.24792777255434598,0.302921826625387,0.6975308641975309,-0.12419171521100711
3M,2010-2014,1349,0.07805509431865354,0.05668016194331971,0.676056338028169,-0.08488943807376732
3M,2015-2019,1999,-0.04572292815541552,-0.053312416495278514,0.34517258629314657,-0.10435873255168798
3M,2020-2024,4173,0.10601955762704691,0.07028753993610248,0.66522885214474,-0.14990466837919658
3M,2025+,1173,0.07123462843682672,0.07547169811320753,0.691389599317988,-0.09511404884897917
6M,2005-2009,486,0.7397756649474803,0.7304818880001136,0.8888888888888888,-0.1242228126392498
6M,2010-2014,1348,0.11185891153902162,0.05690448617219557,0.6298219584569733,-0.08516413478820269
6M,2015-2019,1996,-0.051742041618448885,-0.09317865268931386,0.3637274549098196,-0.10487619830266069
6M,2020-2024,4156,0.12282984970965677,0.06139222881256812,0.6089990375360924,-0.15631025384042896
6M,2025+,101,0.0286338650748982,-0.007031869534945945,0.46534653465346537,-0.09523030962441072
12M,2005-2009,486,1.2598173910290618,1.0913621866175625,0.9897119341563786,-0.12425381160723331
12M,2010-2014,1347,0.13503771736267775,0.026490066225165476,0.534521158129176,-0.08524298259005973
12M,2015-2019,1989,-0.025930190161321594,-0.06880733944954165,0.4072398190045249,-0.1049694347368203
12M,2020-2024,4128,0.28425651615436337,0.17745414833384043,0.7533914728682171,-0.15692179076336843
12M,2025+,39,0.5143613560701491,0.30715123094959007,0.7435897435897436,-0.09523626110615509
