pm,open,high,low,close,month_end_date,n_days,ts_code,bb_mid,bb_sd,bb_lower,bb_upper,bb_z,signal,prev_signal,NEW_EPISODE,next_open,f_close_1,f_maxhigh_1,f_minlow_1,ret_cc_1m,ret_ec_1m,mfe_1m,mae_1m,censored_1m,f_close_3,f_maxhigh_3,f_minlow_3,ret_cc_3m,ret_ec_3m,mfe_3m,mae_3m,censored_3m,f_close_6,f_maxhigh_6,f_minlow_6,ret_cc_6m,ret_ec_6m,mfe_6m,mae_6m,censored_6m,f_close_12,f_maxhigh_12,f_minlow_12,ret_cc_12m,ret_ec_12m,mfe_12m,mae_12m,censored_12m
2011-12,2596.153,2630.664,2267.114,2345.742,2011-12-30,22,000300,2921.48345,274.4270708791466,2372.629308241707,3470.3375917582935,-2.0979761513890427,1,0.0,1,2361.499,2464.26,2510.34,2254.567,0.050524738014666504,0.04351515710995457,0.07016884209772423,-0.0388682983891665,0,2454.899,2781.99,2254.567,0.04653410306845318,0.03955114950292171,0.18597441662382286,-0.0388682983891665,0,2461.612,2991.051,2254.567,0.04939588411683804,0.042393835440963645,0.2750980286834612,-0.0388682983891665,0,2522.952,3380.527,2254.567,0.07554539246004044,0.06836886232007733,0.4411333386195071,-0.0388682983891665,0
2022-03,4597.855,4623.4312,3942.861,4222.5968,2022-03-31,23,000300,4910.950835000001,299.1689361044944,4312.612962791012,5509.288707208989,-2.300887398147415,1,0.0,1,4198.8191,4016.241,4290.671,3757.0859,-0.048869406617274014,-0.04348320221749957,0.01612140661878958,-0.11024280130179609,0,4485.0108,4672.6535,3757.0859,0.062145170952623285,0.06816004528511366,0.1065829207278326,-0.11024280130179609,0,3804.8853,5143.841,3757.0859,-0.09892289502990204,-0.09382014100107328,0.21817006066030276,-0.11024280130179609,0,4050.9257,5378.4764,3757.0859,-0.040655337966438165,-0.03522261771172752,0.273736673129672,-0.11024280130179609,0
2022-04,4198.8191,4290.671,3757.0859,4016.241,2022-04-29,19,000300,4870.95212,359.82977828624007,4151.29256342752,5590.61167657248,-2.3753206976663503,1,1.0,0,3995.3533,4091.5176,4096.1971,3808.5699,0.0187430485371769,0.02406903539669436,0.019908192760344834,-0.05170782829018483,0,4170.1019,4623.4312,3757.0859,0.038309678129375024,0.04373795929386248,0.15118370635626688,-0.06452678014093272,0,3508.7034,5143.841,3757.0859,-0.1263713009254176,-0.1218039716287419,0.28076004403122234,-0.06452678014093272,0,4029.0858,5352.6404,3757.0859,0.00319821444978019,0.00844293294412779,0.33274880665776796,-0.06452678014093272,0
2022-10,3806.5596,3870.2155,3495.9509,3508.7034,2022-10-31,16,000300,4570.75533,504.79962198417724,3561.1560860316454,5580.354573968354,-2.1039079344502554,1,0.0,1,3519.8174,3853.0365,3877.6781,3517.6209,0.09813685021082152,0.09466942802203326,0.10515984337690099,0.002541537138761818,0,4156.8578,4128.1113,3495.9509,0.18472761191498832,0.1809867750525922,0.17653469939921385,-0.0036345334860735656,0,4029.0858,4530.3245,3495.9509,0.14831188067934153,0.14468602831499155,0.2911677002963544,-0.0036345334860735656,0,3572.5056,5143.841,3495.9509,0.018183982151355416,0.014969015154024712,0.46602331790142215,-0.0036345334860735656,0
2024-01,3426.2684,3426.2684,3171.6329,3215.3518,2024-01-31,22,000300,3845.206005,302.1449398629679,3240.916125274064,4449.495884725936,-2.084609476781768,1,0.0,1,3202.2564,3516.0826,3521.6574,3108.3515,0.09352967224301878,0.0980015841329882,0.09526347941149083,-0.033277944889265165,0,3604.3943,3521.6574,3108.3515,0.12099531379427897,0.1255795444737029,0.09526347941149083,-0.033277944889265165,0,3442.0844,3854.2605,3108.3515,0.07051564310941028,0.07489344076258231,0.19870569061836396,-0.033277944889265165,0,3817.0802,4169.6678,3108.3515,0.18714232140943343,0.19199705557618674,0.2967998711680633,-0.033277944889265165,0
2008-10,2092.351,2096.35,1553.492,1562.022,2008-10-31,20,000905,3797.4330499999996,1031.8851425695273,1733.6627648609451,5861.203335139055,-2.1663370832470146,1,0.0,1,1553.878,1841.45,1990.302,1488.653,0.1788886456144665,0.18506729614551465,0.2741830780872485,-0.04697052922430023,0,2238.082,2290.41,1488.653,0.4328108054816129,0.44032028254470434,0.46631097385312104,-0.04697052922430023,0,3086.217,3804.786,1488.653,0.9757833116306942,0.9861385514178078,1.4358082024452923,-0.04697052922430023,0,3827.683,5495.386,1488.653,1.4504667667932973,1.463309860877109,2.518123304281246,-0.04697052922430023,0
2011-12,3923.165,3960.341,3128.147,3266.775,2011-12-30,22,000905,4444.0822,523.2743271047286,3397.5335457905426,5490.6308542094575,-2.249885268620053,1,0.0,1,3290.819,3294.494,3388.389,3002.983,0.008485126768755125,0.001116743278800847,0.03722754092338776,-0.08074997512837578,0,3416.856,4195.294,3002.983,0.045941639690520564,0.03829958438917491,0.28423108417322895,-0.08074997512837578,0,3470.965,4670.995,3002.983,0.06250506998492389,0.05474199583751038,0.4298490101093586,-0.08074997512837578,0,3275.86,5231.728,3002.983,0.0027810302209365645,-0.004545676927232956,0.6014962769091841,-0.08074997512837578,0
2018-06,5729.9177,5798.3297,5017.509,5217.7643,2018-06-29,20,000905,6185.338030000001,332.1605078460264,5521.017014307948,6849.659045692054,-2.9129704078141687,1,0.0,1,5216.8532,5188.7166,5332.616,4897.2582,-0.005567077838299461,-0.005393404591104822,0.022011668867449652,-0.061425944441376834,0,4800.7287,6092.9069,4897.2582,-0.07992610934917088,-0.0797654225731328,0.167723674294755,-0.061425944441376834,0,4168.0363,6297.4323,4897.2582,-0.20118348389175034,-0.20104397417201614,0.20692157367093045,-0.061425944441376834,0,4950.4798,6715.3935,4897.2582,-0.05122586698674747,-0.05106016784217726,0.287025077004724,-0.061425944441376834,0
2018-07,5216.8532,5332.616,4897.2582,5188.7166,2018-07-31,22,000905,6115.49498,386.05855740408134,5343.377865191837,6887.612094808163,-2.4006160781198704,1,1.0,0,5198.4559,4814.8237,5233.5012,4736.5592,-0.07205884013784836,-0.07379733662836307,0.008631151680166926,-0.08714243518329756,0,4272.5518,5798.3297,4736.5592,-0.17656867210670157,-0.17811136957033713,0.11748822435204898,-0.08714243518329756,0,4176.4739,6297.4323,4736.5592,-0.19508537043630403,-0.19659337689101108,0.2136782147631653,-0.08714243518329756,0,4903.203,6715.3935,4736.5592,-0.055025861308362733,-0.05679626906135715,0.2942301570295822,-0.08714243518329756,0
2018-08,5198.4559,5233.5012,4736.5592,4814.8237,2018-08-31,23,000905,6043.054885,481.0424390904975,5080.970006819005,7005.139763180994,-2.5532699096616196,1,1.0,0,4808.3791,4800.7287,4905.016,4584.4336,-0.0029274176747116076,-0.0015910559132079616,0.01873221235494027,-0.04785016323650637,0,4376.6511,5332.616,4584.4336,-0.09100491052247661,-0.08978659773311137,0.1075412792372854,-0.04785016323650637,0,5025.2913,6169.2991,4584.4336,0.043712420872232594,0.04511129332543673,0.2813136024066676,-0.04785016323650637,0,4886.494,6711.9305,4584.4336,0.014885342530817747,0.016245578473627287,0.39401376212383443,-0.04785016323650637,0
