horizon,universe,n,mean,median,positive
1M,TOP100,185,0.018043868072407484,0.01680393029789018,0.6108108108108108
1M,ALL_A,7087,0.0034189815224434515,0.0064294993612771245,0.5289967546211373
1M,TOP300,398,0.007096250691976993,0.0008487232096550112,0.5100502512562815
1M,TOP500,408,0.012142312738682067,0.0030833395641222117,0.5245098039215687
3M,TOP100,185,0.03337225273155741,0.012343331767916466,0.5405405405405406
3M,ALL_A,7016,0.03199332981831631,0.004311672966011704,0.5133979475484607
3M,TOP300,398,0.006448633643525943,-0.010011756970445651,0.4648241206030151
3M,TOP500,408,0.02521899441559744,0.010008107786967368,0.5269607843137255
6M,TOP100,185,0.04067034988863184,0.02323605460448097,0.5405405405405406
6M,ALL_A,6995,0.07681567199550005,0.01827720406993616,0.5330950679056469
6M,TOP300,398,0.021332016649808227,-0.028014076730995208,0.45226130653266333
6M,TOP500,408,0.05651576569453246,0.006375041828688532,0.5171568627450981
12M,TOP100,184,0.031328838709702087,0.014705669277189637,0.5163043478260869
12M,ALL_A,6961,0.15357434401620165,0.04776885193259539,0.5545180290188191
12M,TOP300,397,0.018792349502154457,-0.03556588609827749,0.44584382871536526
12M,TOP500,408,0.06670737251470711,0.001172977789460905,0.5024509803921569
