horizon,universe,n,mean,median,positive
1M,ALL_A,7087,0.02687996037317767,0.025839793281653645,0.6105545364752364
1M,TOP500,408,0.033096343257919374,0.01917068567833946,0.5882352941176471
1M,TOP300,398,0.024933224978469712,0.015383661807944371,0.585427135678392
1M,TOP100,185,0.03154326198113141,0.014999999999999902,0.5675675675675675
3M,ALL_A,7016,0.07422309622195125,0.038219701007847995,0.5916476624857469
3M,TOP500,408,0.06112023551701678,0.024015488548360553,0.5637254901960784
3M,TOP300,398,0.045948509889955164,0.019400120427517598,0.5628140703517588
3M,TOP100,185,0.06937780633465916,0.03599036144578305,0.6054054054054054
6M,ALL_A,6995,0.11584570982861626,0.04160004737371947,0.5698355968548964
6M,TOP500,408,0.12377911573435249,0.04277946140068578,0.5784313725490197
6M,TOP300,398,0.0983388994440072,0.0060944543127700035,0.5150753768844221
6M,TOP100,185,0.0948055394188363,0.044152898770664084,0.6
12M,ALL_A,6961,0.2510415415885195,0.12142857142857144,0.6537853756644161
12M,TOP500,408,0.218245155401761,0.0725353943267305,0.6078431372549019
12M,TOP300,397,0.15385312824176184,0.030927835051546504,0.5465994962216625
12M,TOP100,184,0.09988544276310969,0.03259067488323175,0.5706521739130435
