ts_code,pm,month_end_date,ret_cc_12m,mae_12m,universe_clean
688555.SH,2022-05,2022-05-31,-0.9161048689138577,-0.10561797752808988,ALL_A
002477.SZ,2018-09,2018-09-28,-0.9130434782608695,-0.3381642512077293,ALL_A
600836.SH,2023-06,2023-06-30,-0.906832298136646,-0.05797101449275366,ALL_A
600401.SH,2017-05,2017-05-31,-0.8993288590604027,-0.09395973154362414,ALL_A
002336.SZ,2024-05,2024-05-31,-0.8961424332344213,-0.34124629080118696,ALL_A
600804.SH,2024-05,2024-05-31,-0.8914728682170543,-0.22480620155038755,ALL_A
002260.SZ,2018-06,2018-06-29,-0.8881856540084389,-0.37552742616033763,ALL_A
000996.SZ,2023-05,2023-05-31,-0.8865671641791045,-0.05074626865671639,ALL_A
600074.SH,2017-07,2017-07-24,-0.8748796920115496,-0.05004812319538021,ALL_A
600242.SH,2022-06,2022-06-30,-0.8529411764705882,-0.05882352941176472,ALL_A
600891.SH,2019-04,2019-04-29,-0.8509933774834437,-0.4701986754966887,ALL_A
603963.SH,2024-02,2024-02-29,-0.846553966189857,-0.3185955786736021,ALL_A
600240.SH,2018-09,2018-09-28,-0.8388278388278388,-0.5164835164835164,ALL_A
300309.SZ,2022-04,2022-04-29,-0.8333333333333333,-0.1884057971014491,ALL_A
000416.SZ,2023-04,2023-04-28,-0.8178137651821862,-0.26315789473684215,ALL_A
002210.SZ,2018-08,2018-08-20,-0.8177641653905053,-0.18989280245022977,ALL_A
002750.SZ,2024-04,2024-04-29,-0.8074957410562181,-0.5979557069846678,ALL_A
002750.SZ,2024-01,2024-01-31,-0.8050139275766017,-0.350974930362117,ALL_A
002087.SZ,2023-04,2023-04-28,-0.8008658008658008,-0.33766233766233766,ALL_A
002143.SZ,2018-07,2018-07-31,-0.7889908256880734,-0.45504587155963305,ALL_A
000976.SZ,2023-05,2023-05-31,-0.7875647668393783,-0.06217616580310881,ALL_A
002359.SZ,2018-09,2018-09-28,-0.7803643724696356,-0.2510121457489879,ALL_A
002711.SZ,2018-07,2018-07-31,-0.7789256198347108,-0.22107438016528924,ALL_A
600277.SH,2023-05,2023-05-31,-0.7681588447653429,-0.07878787878787885,ALL_A
000540.SZ,2022-05,2022-05-31,-0.7660818713450293,-0.029239766081871288,ALL_A
002018.SZ,2018-02,2018-02-28,-0.764378478664193,-0.12244897959183654,ALL_A
002188.SZ,2017-12,2017-12-29,-0.7588607594936709,-0.17405063291139233,ALL_A
300392.SZ,2022-04,2022-04-28,-0.7567567567567568,-0.4054054054054055,ALL_A
002499.SZ,2022-04,2022-04-29,-0.7455621301775148,-0.09171597633136086,ALL_A
002445.SZ,2018-05,2018-05-31,-0.7417817682929806,-0.17173699705593715,ALL_A
600666.SH,2018-05,2018-05-31,-0.7407407407407407,-0.37037037037037035,ALL_A
600242.SH,2022-04,2022-04-29,-0.736842105263158,-0.023391812865497075,ALL_A
603133.SH,2023-04,2023-04-28,-0.7342281879194631,-0.11409395973154368,ALL_A
600083.SH,2019-06,2019-06-28,-0.7340924313462827,-0.2598794373744139,ALL_A
300216.SZ,2017-11,2017-11-30,-0.7334109429569267,-0.10826542491268909,ALL_A
002018.SZ,2018-04,2018-04-26,-0.7231121281464531,-0.5743707093821511,ALL_A
000023.SZ,2023-04,2023-04-28,-0.717741935483871,-0.2949308755760368,ALL_A
600260.SH,2020-12,2020-12-31,-0.7155963302752293,-0.18073394495412853,ALL_A
002766.SZ,2018-07,2018-07-31,-0.7146311970979444,-0.1233373639661427,ALL_A
600634.SH,2018-03,2018-03-30,-0.7118155619596542,-0.27953890489913535,ALL_A
300089.SZ,2022-04,2022-04-29,-0.7111913357400722,-0.06137184115523464,ALL_A
600890.SH,2021-04,2021-04-30,-0.7077464788732394,-0.15140845070422526,ALL_A
600836.SH,2023-04,2023-04-28,-0.6988416988416988,-0.06949806949806936,ALL_A
300117.SZ,2023-05,2023-05-31,-0.6928327645051195,-0.023890784982935287,ALL_A
600070.SH,2023-05,2023-05-31,-0.6904024767801857,-0.20123839009287925,ALL_A
300038.SZ,2020-11,2020-11-30,-0.6893203883495145,-0.41747572815533973,ALL_A
300156.SZ,2018-05,2018-05-31,-0.683291770573566,-0.2605985037406483,ALL_A
300176.SZ,2019-04,2019-04-30,-0.6814335490293678,-0.17969138875062218,ALL_A
300216.SZ,2018-01,2018-01-31,-0.679745493107105,-0.19936373276776242,ALL_A
300152.SZ,2018-01,2018-01-31,-0.6796174674193622,-0.3339449541284404,ALL_A
300104.SZ,2018-01,2018-01-31,-0.6773006134969326,-0.5079754601226993,TOP300
002164.SZ,2018-01,2018-01-31,-0.6671009371736079,-0.11822660098522164,ALL_A
300208.SZ,2024-04,2024-04-30,-0.6614173228346456,-0.27952755905511806,ALL_A
600898.SH,2023-05,2023-05-31,-0.6603773584905661,-0.03459119496855356,ALL_A
002499.SZ,2018-05,2018-05-31,-0.6544295844179158,-0.29798356982822993,ALL_A
600340.SH,2021-01,2021-01-28,-0.6518518518518518,-0.27089947089947086,ALL_A
002501.SZ,2018-02,2018-02-28,-0.650828729281768,-0.08618784530386747,ALL_A
002210.SZ,2018-12,2018-12-28,-0.6485013623978202,-0.3542234332425068,ALL_A
000687.SZ,2020-02,2020-02-28,-0.6465696465696466,-0.264033264033264,ALL_A
300267.SZ,2017-05,2017-05-09,-0.639655794486939,-0.4066724395054603,ALL_A
002072.SZ,2018-05,2018-05-31,-0.6376080691642652,-0.18371757925072052,ALL_A
002354.SZ,2018-05,2018-05-31,-0.6328545711924731,-0.17929050814956848,ALL_A
002459.SZ,2023-08,2023-08-31,-0.6317424768153428,-0.15091627739849067,TOP300
600242.SH,2019-07,2019-07-31,-0.6311787072243346,-0.14955640050697083,ALL_A
300269.SZ,2017-07,2017-07-31,-0.6235424764019989,-0.08828428650749576,ALL_A
002308.SZ,2018-01,2018-01-31,-0.6212326654183616,-0.13870665417057182,ALL_A
002147.SZ,2018-11,2018-11-30,-0.6193181818181819,-0.42234848484848486,ALL_A
000972.SZ,2011-08,2011-08-31,-0.617801047120419,-0.16623036649214662,ALL_A
300495.SZ,2020-07,2020-07-31,-0.6133651551312649,-0.032219570405728204,ALL_A
300379.SZ,2024-04,2024-04-30,-0.6123019571295434,-0.1463187325256291,ALL_A
002356.SZ,2018-06,2018-06-29,-0.6110450057160215,-0.04714640198511166,ALL_A
002684.SZ,2018-07,2018-07-31,-0.6100861008610087,-0.21156211562115634,ALL_A
000816.SZ,2017-11,2017-11-30,-0.6098901098901099,-0.1346153846153847,ALL_A
002512.SZ,2018-03,2018-03-30,-0.6084879838561732,-0.13586497890295357,ALL_A
600165.SH,2023-04,2023-04-28,-0.6077981651376148,-0.13761467889908274,ALL_A
300343.SZ,2017-11,2017-11-30,-0.6076380944382328,-0.11350148367952528,ALL_A
600715.SH,2018-03,2018-03-30,-0.6049563838223632,-0.28152260111023,TOP500
600781.SH,2022-04,2022-04-29,-0.6010362694300517,-0.02590673575129543,ALL_A
002618.SZ,2020-10,2020-10-30,-0.6003262642740619,-0.02610114192495927,ALL_A
002751.SZ,2022-04,2022-04-29,-0.6003236245954692,-0.4433656957928803,ALL_A
000793.SZ,2018-01,2018-01-31,-0.5994667503136764,-0.5279429557268328,ALL_A
002343.SZ,2018-06,2018-06-29,-0.597229621736814,-0.17368140649973363,ALL_A
300208.SZ,2024-01,2024-01-31,-0.5951327433628317,-0.5088495575221238,ALL_A
600823.SH,2023-05,2023-05-31,-0.5943396226415094,-0.05660377358490576,ALL_A
600614.SH,2018-06,2018-06-29,-0.5919439579684763,-0.14185639229422053,ALL_A
603998.SH,2017-11,2017-11-30,-0.591389198734888,-0.028144239226033263,ALL_A
