feature_id,year,n_days,mean_cs_ic
F01,2020,178,0.018256140691430413
F01,2021,232,-0.010779945798301774
F01,2022,220,0.02981282426318395
F02,2020,178,-0.01051228327098264
F02,2021,232,-0.050091523543204584
F02,2022,220,-0.020008174248083883
F03,2020,178,-0.05102925540832653
F03,2021,232,-0.07424723450001923
F03,2022,220,0.021634302965020016
F04,2020,178,-0.006001609867393752
F04,2021,232,-0.09661621510584334
F04,2022,220,-0.038975123170916
F05,2020,178,0.007677178912592279
F05,2021,232,-0.09272492108776939
F05,2022,220,-0.054118483471620495
F06,2020,177,-0.010510452893908947
F06,2021,232,-0.055425687502365074
F06,2022,220,-0.06289576761793904
F07,2020,178,-0.015423617334117916
F07,2021,232,-0.09064763289161382
F07,2022,220,-0.08621857251239103
F08,2020,178,0.03390391820958539
F08,2021,232,0.10312419483610125
F08,2022,220,0.0812927028705239
F09,2020,178,0.05003901398589327
F09,2021,232,0.10882411040799876
F09,2022,220,0.09642700281901108
F10,2020,178,0.022024897451741864
F10,2021,232,-0.009622063124917939
F10,2022,220,0.0021042848093653856
F11,2020,178,-0.005652270384696259
F11,2021,232,-0.0023583386722339046
F11,2022,220,-0.022232043767645347
F12,2020,178,-0.05365157358735988
F12,2021,232,-0.0496911557819133
F12,2022,220,0.06023048931109019
F13,2020,178,0.026042577499649694
F13,2021,232,0.09566647312171203
F13,2022,220,0.03872571539291655
F14,2020,178,0.03626446378705952
F14,2021,232,-0.00437502221412956
F14,2022,219,0.04145254456409733
F15,2020,178,-0.05102925540832653
F15,2021,232,-0.07424723450001923
F15,2022,220,0.021634302965020016
F16,2020,178,0.007677178912592279
F16,2021,232,-0.09272492108776939
F16,2022,220,-0.054118483471620495
F17,2020,177,-0.010510452893908947
F17,2021,232,-0.055425687502365074
F17,2022,220,-0.06289576761793904
