date,equity_b0,equity_b1,diff
2022-04-27,1232587.4394371125,726727.2607027816,-505860.1787343309
2022-04-12,1308781.4394371125,804389.2607027816,-504392.1787343309
2022-04-08,1343876.4394371125,845451.2607027816,-498425.1787343309
2022-04-14,1313491.4394371125,816105.2607027816,-497386.1787343309
2022-04-13,1297933.4394371125,800585.2607027816,-497348.1787343309
2022-04-07,1333196.4394371125,837437.2607027816,-495759.1787343309
2022-03-17,1357275.4394371125,861882.2607027816,-495393.1787343309
2022-03-24,1372093.4394371125,879393.2607027816,-492700.1787343309
2024-10-08,1319960.6269425042,829020.1629086633,-490940.4640338409
2024-10-10,1313057.6269425042,822351.1629086633,-490706.4640338409
2024-09-30,1310933.6269425042,820299.1629086633,-490634.4640338409
2022-03-23,1378664.4394371125,888113.2607027816,-490551.1787343309
2024-10-14,1304502.6269425042,814086.1629086633,-490416.4640338409
2024-10-11,1303322.6269425042,812946.1629086633,-490376.4640338409
2024-10-09,1301375.6269425042,811065.1629086633,-490310.4640338409
2024-10-15,1297127.6269425042,806961.1629086633,-490166.4640338409
2024-10-16,1297068.6269425042,806904.1629086633,-490164.4640338409
2024-10-23,1296065.6269425042,805935.1629086633,-490130.4640338409
2024-10-18,1295475.6269425042,805365.1629086633,-490110.4640338409
2024-10-21,1295003.6269425042,804909.1629086633,-490094.4640338409
