signal_date,side,ts_code,in_frozen_independent,independent_ret,missing_cause
2021-02-25,baseline,300059.SZ,False,,overlap_held_episode(sig=2021-02-22 entry=2021-02-23 exit=2021-04-02 ret=-9.8)
2021-02-25,atr,002594.SZ,False,,overlap_held_episode(sig=2021-02-24 entry=2021-02-25 exit=2021-06-08 ret=16.2)
2021-04-15,baseline,601166.SH,False,,overlap_held_episode(sig=2021-03-09 entry=2021-03-10 exit=2021-05-12 ret=4.8)
2021-04-15,atr,600276.SH,False,,overlap_held_episode(sig=2021-02-22 entry=2021-02-23 exit=2021-05-17 ret=-6.8)
2021-05-24,baseline,000661.SZ,True,3.543179209088439,
2021-05-24,atr,002714.SZ,True,-18.715268930191936,
2021-11-16,baseline,600030.SH,True,7.942169042945349,
2021-11-16,atr,000625.SZ,True,-22.229994518631575,
2022-03-03,baseline,000858.SZ,False,,overlap_held_episode(sig=2022-01-28 entry=2022-02-07 exit=2022-05-30 ret=-8.8)
2022-03-03,atr,300014.SZ,False,,overlap_held_episode(sig=2021-12-20 entry=2021-12-21 exit=2022-06-01 ret=-2.5)
2022-10-12,baseline,600519.SH,False,,overlap_held_episode(sig=2022-08-24 entry=2022-08-25 exit=2022-12-01 ret=-8.3)
2022-10-12,atr,002371.SZ,True,10.597667780822029,
