date,b0_holdings,b1_holdings,b0_eq,b1_eq
2021-11-16,000651.SZ|601919.SH,000651.SZ|601919.SH,1361030.7469881522,1019395.8816750812
2021-11-17,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1358702.6446103721,1015448.6349812213
2021-11-18,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1353185.6446103721,1008447.6349812213
2021-11-19,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1358839.6446103721,1013502.6349812213
2021-11-22,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1362423.6446103721,1019357.6349812213
2021-11-23,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1359273.6446103721,1012333.6349812213
2021-11-24,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1352014.6446103721,1001403.6349812213
2021-11-25,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1351764.6446103721,998918.6349812213
2021-11-26,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1344310.6446103721,993957.6349812213
2021-11-29,000651.SZ|600030.SH|601919.SH,000625.SZ|000651.SZ|601919.SH,1377417.6446103721,1023212.6349812213
2021-11-30,000651.SZ|600030.SH,000625.SZ|000651.SZ,1380857.7191534722,1025995.4232014014
2021-12-01,000651.SZ|600030.SH,000625.SZ|000651.SZ,1391557.7191534722,1032005.4232014014
2021-12-02,000651.SZ|600030.SH|601012.SH,000625.SZ|000651.SZ|601012.SH,1391448.2659400722,1032882.9699880014
2021-12-03,000651.SZ|600030.SH|601012.SH,000625.SZ|000651.SZ|601012.SH,1391223.2659400722,1027759.9699880014
2021-12-06,000651.SZ|601012.SH,000625.SZ|000651.SZ|601012.SH,1403378.6854342723,1029687.9508200014
2021-12-07,000651.SZ|601012.SH,000625.SZ|000651.SZ|601012.SH,1426807.6854342723,1054533.9508200013
2021-12-08,000651.SZ|601012.SH,000625.SZ|000651.SZ|601012.SH,1426368.6854342723,1056492.9508200013
2021-12-09,601012.SH,000625.SZ|601012.SH,1435049.5194759923,1068334.7848617216
2021-12-10,601012.SH,000625.SZ|601012.SH,1443556.5194759923,1078912.7848617216
2021-12-13,601012.SH,000625.SZ|601012.SH,1447645.5194759923,1081039.7848617216
2021-12-14,601012.SH,000625.SZ|601012.SH,1442287.5194759923,1070340.7848617216
2021-12-15,601012.SH,000625.SZ|601012.SH,1436459.5194759923,1063749.7848617216
2021-12-16,601012.SH,000625.SZ|601012.SH,1437305.5194759923,1065140.7848617216
2021-12-17,002594.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1416714.9797879923,1042479.2451737215
2021-12-20,002594.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1404151.9797879923,1016618.2451737215
2021-12-21,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1413402.2342889924,1024442.8007702215
2021-12-22,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1415378.2342889924,1024934.8007702215
2021-12-23,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1420428.2342889924,1025933.3743782815
2021-12-24,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1381957.2342889924,989489.3743782815
2021-12-27,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1380664.1419013925,981369.3743782815
2021-12-28,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1405879.1419013925,1009973.3743782815
2021-12-29,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1399781.1419013925,1003307.3743782815
2021-12-30,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1402167.1419013925,996970.3743782815
2021-12-31,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1425712.1419013925,1021961.3743782815
2022-01-04,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1411974.1419013925,1023195.3743782815
2022-01-05,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1358377.1419013925,984380.3743782815
2022-01-06,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1345899.1419013925,963802.3743782815
2022-01-07,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1338713.1419013925,956848.3743782815
2022-01-10,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1334854.1419013925,954977.3743782815
2022-01-11,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1315656.1419013925,931018.3743782815
2022-01-12,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1366768.1419013925,963093.3743782815
2022-01-13,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1361313.1419013925,955537.3743782815
2022-01-14,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1365715.1419013925,947162.3743782815
2022-01-17,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1410347.1419013925,971895.3743782815
2022-01-18,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1390693.1419013925,964476.3743782815
2022-01-19,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1357553.1419013925,939579.3743782815
2022-01-20,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1352920.1419013925,932954.3743782815
2022-01-21,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1341858.1419013925,915836.3743782815
2022-01-24,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1352696.1419013925,920756.3743782815
2022-01-25,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1318113.1419013925,889096.3743782815
2022-01-26,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1357547.1419013925,914258.3743782815
2022-01-27,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1324997.1419013925,883938.3743782815
