date,ts_code,action,level,shares,price
2021-11-16,601919.SH,ADD_POSITION,2,13600,14.615
2021-11-17,600030.SH,INITIAL_ENTRY,1,8300,23.934
2021-11-30,000651.SZ,ADD_POSITION,2,5700,34.715
2021-11-30,601919.SH,TAKE_PROFIT_DYN,2,24700,16.613
2021-12-02,601012.SH,INITIAL_ENTRY,1,2300,83.383
2021-12-06,601012.SH,ADD_POSITION,2,2400,82.082
2021-12-06,600030.SH,TAKE_PROFIT_DYN,1,8300,25.874
2021-12-09,000651.SZ,TAKE_PROFIT_DYN,2,11100,36.983
2021-12-17,002594.SZ,INITIAL_ENTRY,1,700,284.284
2021-12-21,002594.SZ,ADD_POSITION,2,700,270.77
2021-12-21,300750.SZ,INITIAL_ENTRY,1,300,606.606
2021-12-27,300750.SZ,ADD_POSITION,2,300,574.774
2022-02-07,601012.SH,ADD_POSITION,3,2700,71.672
2022-02-07,002594.SZ,ADD_POSITION,3,400,241.031
