ts_code,entry_date,hold_days,levels_used,capital_used,return_pct,MAE_intraday,blocked_future_opportunities,ranked_by
300014.SZ,2023-02-21,172,5,1182382.2,-28.57,,46,hold_days
300750.SZ,2021-12-21,106,3,2771257.48,-18.13,-41.8073675499418,57,hold_days
002594.SZ,2021-12-17,88,4,2011040.03,-2.22,-26.330711541979145,57,hold_days
300750.SZ,2023-10-17,81,3,2771257.48,-1.63,,33,hold_days
002594.SZ,2022-07-13,76,5,2011040.03,-0.69,-23.76232182057424,54,hold_days
603019.SH,2024-03-28,73,2,397729.33,-3.17,-19.720871095078273,26,hold_days
600745.SH,2020-09-09,57,1,147747.6,-6.35,-24.969339603485945,12,hold_days
601012.SH,2021-12-02,57,3,1542606.07,2.05,-23.79769090453363,28,hold_days
600150.SH,2024-09-23,57,2,393818.43,6.49,,0,hold_days
000858.SZ,2022-03-04,56,1,1541405.86,-8.53,,29,hold_days
000858.SZ,2021-07-09,54,5,1541405.86,-5.59,,9,hold_days
600519.SH,2023-10-16,54,3,859145.29,0.5,-7.786761434433009,18,hold_days
601318.SH,2023-11-10,53,3,2020392.38,-3.89,,22,hold_days
002475.SZ,2021-01-29,50,3,983131.15,-21.91,-38.059996369034266,19,hold_days
601919.SH,2024-07-15,47,2,796329.53,-0.08,,28,hold_days
300750.SZ,2021-02-01,46,2,2771257.48,2.68,-20.74497740220118,17,hold_days
000625.SZ,2024-05-07,45,2,397982.57999999996,1.76,,16,hold_days
601138.SH,2024-07-19,45,3,492185.69,-10.89,-27.58543018855392,28,hold_days
600519.SH,2023-04-13,43,1,859145.29,4.25,-4.355999030555235,10,hold_days
600809.SH,2023-05-23,43,3,568792.22,6.34,,11,hold_days
002594.SZ,2021-12-17,88,4,2011040.03,-2.22,-26.330711541979145,57,blocked_future_opportunities
300750.SZ,2021-12-21,106,3,2771257.48,-18.13,-41.8073675499418,57,blocked_future_opportunities
002594.SZ,2022-07-13,76,5,2011040.03,-0.69,-23.76232182057424,54,blocked_future_opportunities
300014.SZ,2023-02-21,172,5,1182382.2,-28.57,,46,blocked_future_opportunities
300750.SZ,2023-10-17,81,3,2771257.48,-1.63,,33,blocked_future_opportunities
000858.SZ,2022-03-04,56,1,1541405.86,-8.53,,29,blocked_future_opportunities
601012.SH,2021-12-02,57,3,1542606.07,2.05,-23.79769090453363,28,blocked_future_opportunities
601919.SH,2024-07-15,47,2,796329.53,-0.08,,28,blocked_future_opportunities
601138.SH,2024-07-19,45,3,492185.69,-10.89,-27.58543018855392,28,blocked_future_opportunities
601899.SH,2024-07-24,43,3,797415.61,5.92,-15.343015646967007,28,blocked_future_opportunities
601888.SH,2022-08-09,33,2,369889.52,7.03,-8.13301751785901,26,blocked_future_opportunities
603019.SH,2024-03-28,73,2,397729.33,-3.17,-19.720871095078273,26,blocked_future_opportunities
300274.SZ,2022-09-01,23,1,580770.19,11.19,-6.8032886182257,23,blocked_future_opportunities
601318.SH,2023-11-10,53,3,2020392.38,-3.89,,22,blocked_future_opportunities
601899.SH,2022-09-27,18,2,797415.61,6.91,-3.339202950097886,21,blocked_future_opportunities
002475.SZ,2021-01-29,50,3,983131.15,-21.91,-38.059996369034266,19,blocked_future_opportunities
600519.SH,2022-10-13,35,1,859145.29,-3.85,,19,blocked_future_opportunities
600519.SH,2023-10-16,54,3,859145.29,0.5,-7.786761434433009,18,blocked_future_opportunities
300750.SZ,2021-02-01,46,2,2771257.48,2.68,-20.74497740220118,17,blocked_future_opportunities
000625.SZ,2024-05-07,45,2,397982.57999999996,1.76,,16,blocked_future_opportunities
300750.SZ,2020-03-02,31,3,2771257.48,-4.33,-24.41996044301519,12,capital_used
300750.SZ,2021-02-01,46,2,2771257.48,2.68,-20.74497740220118,17,capital_used
300750.SZ,2021-08-17,20,1,2771257.48,9.86,,2,capital_used
300750.SZ,2021-12-21,106,3,2771257.48,-18.13,-41.8073675499418,57,capital_used
300750.SZ,2022-10-31,27,1,2771257.48,12.59,,5,capital_used
300750.SZ,2023-02-20,29,3,2771257.48,3.63,-11.62683470375777,8,capital_used
300750.SZ,2023-10-17,81,3,2771257.48,-1.63,,33,capital_used
601318.SH,2020-03-02,33,3,2020392.38,-3.03,-15.814522556095568,12,capital_used
601318.SH,2021-01-29,14,3,2020392.38,9.42,-7.015110970611582,4,capital_used
601318.SH,2023-11-10,53,3,2020392.38,-3.89,,22,capital_used
601318.SH,2024-03-25,23,2,2020392.38,8.1,-6.96571660724935,10,capital_used
002594.SZ,2021-05-06,23,2,2011040.03,34.99,,6,capital_used
002594.SZ,2021-12-17,88,4,2011040.03,-2.22,-26.330711541979145,57,capital_used
002594.SZ,2022-07-13,76,5,2011040.03,-0.69,-23.76232182057424,54,capital_used
601012.SH,2020-11-16,17,2,1542606.07,11.57,-7.125413198287678,3,capital_used
601012.SH,2021-12-02,57,3,1542606.07,2.05,-23.79769090453363,28,capital_used
601012.SH,2022-12-23,17,1,1542606.07,11.35,-1.83945407826005,2,capital_used
601012.SH,2024-01-30,24,2,1542606.07,13.32,-13.258916712296063,6,capital_used
000858.SZ,2021-07-09,54,5,1541405.86,-5.59,,9,capital_used
000858.SZ,2022-03-04,56,1,1541405.86,-8.53,,29,capital_used
