sig_date,ts_code,has_episode,episode_return_pct
2020-03-12,601318.SH,0,
2020-03-13,601318.SH,0,
2020-03-16,601318.SH,0,
2020-03-16,300750.SZ,0,
2020-03-16,600030.SH,1,1.2152522266729695
2020-03-17,000063.SZ,1,3.2396956676295363
2020-03-17,601318.SH,0,
2020-03-17,002475.SZ,1,14.92275528149982
2020-03-17,300750.SZ,0,
2020-03-17,000858.SZ,0,
2020-03-18,000063.SZ,0,
2020-03-18,600519.SH,1,39.54846152311298
2020-03-18,601318.SH,0,
2020-03-18,000002.SZ,1,4.681297620587952
2020-03-18,000858.SZ,0,
2020-03-19,600519.SH,0,
2020-03-19,601318.SH,0,
2020-03-19,000858.SZ,0,
2020-03-19,000651.SZ,0,
2020-03-19,600036.SH,0,
2020-03-26,002506.SZ,0,
2020-04-28,000725.SZ,0,
2020-06-15,600703.SH,1,15.534542524394752
2020-09-02,002456.SZ,0,
2020-09-09,300059.SZ,1,4.052671012057143
2020-09-10,300059.SZ,0,
2020-09-10,000063.SZ,0,
2020-09-16,000661.SZ,0,
2020-09-17,600276.SH,1,7.964121567403469
2020-09-28,000651.SZ,1,7.18749636223901
2020-09-30,600036.SH,1,8.189846606772502
2020-10-23,000661.SZ,0,
2020-10-26,600030.SH,1,5.218510332201447
2020-11-16,002475.SZ,1,4.922943424348968
2020-11-16,002241.SZ,1,2.7641560070263713
2020-11-17,002475.SZ,0,
2020-11-17,300122.SZ,0,
2020-11-18,601012.SH,0,
2020-12-15,000651.SZ,0,
2020-12-16,688981.SH,1,16.521188858697652
2021-01-29,601318.SH,0,
2021-01-29,002241.SZ,1,-2.3809753380773024
2021-02-01,300750.SZ,0,
2021-02-02,601318.SH,0,
2021-02-03,600009.SH,1,-1.1354409255495683
2021-02-03,601318.SH,0,
2021-02-22,300059.SZ,1,-9.75617275607125
2021-02-22,000333.SZ,1,1.124921971714471
2021-02-24,002594.SZ,1,16.160298578230066
2021-02-25,300750.SZ,0,
2021-02-25,002594.SZ,0,
2021-02-26,002594.SZ,0,
2021-02-26,300059.SZ,0,
2021-02-26,300750.SZ,0,
2021-03-01,600030.SH,1,-1.7719464410848904
2021-03-04,601012.SH,1,2.8151228530517156
2021-03-05,600438.SH,1,-2.082117681436346
2021-03-08,000858.SZ,1,16.23467230378328
2021-03-08,600438.SH,0,
2021-03-09,601012.SH,0,
2021-03-09,600031.SH,1,2.027751640672817
2021-03-11,002475.SZ,0,
2021-03-18,601318.SH,1,-28.116081051784203
2021-03-19,601318.SH,0,
2021-03-22,601318.SH,0,
2021-03-23,300014.SZ,0,
2021-03-24,601899.SH,1,13.67315267261283
2021-04-12,600031.SH,0,
2021-04-13,002352.SZ,0,
2021-04-15,601318.SH,0,
2021-04-15,600276.SH,0,
2021-04-16,600276.SH,0,
2021-04-16,601318.SH,0,
2021-05-06,600519.SH,1,12.309433820124724
2021-05-06,601318.SH,0,
2021-05-06,002594.SZ,0,
2021-05-07,600519.SH,0,
2021-05-07,002594.SZ,0,
2021-05-10,600519.SH,0,
2021-05-11,600031.SH,0,
2021-05-24,002714.SZ,1,-18.715268930191936
2021-05-25,000651.SZ,0,
2021-05-27,000661.SZ,0,
2021-05-28,000661.SZ,0,
2021-06-15,601318.SH,0,
2021-06-21,000651.SZ,0,
2021-06-22,600519.SH,0,
2021-06-22,000651.SZ,0,
2021-06-23,600519.SH,0,
2021-07-05,000333.SZ,0,
2021-07-08,600036.SH,1,8.736132867824947
2021-07-13,300782.SZ,1,4.700284102162052
2021-07-16,002594.SZ,1,25.77910857036041
2021-07-23,601919.SH,1,21.9399821535198
2021-07-26,600519.SH,1,2.091334708861519
2021-07-26,000858.SZ,0,
2021-07-27,600519.SH,0,
2021-07-27,000858.SZ,0,
2021-07-27,300750.SZ,1,8.626053858905106
2021-07-28,000858.SZ,0,
2021-07-29,000858.SZ,0,
2021-07-30,600519.SH,0,
2021-07-30,000858.SZ,0,
2021-08-20,600519.SH,0,
2021-08-20,000858.SZ,0,
2021-08-20,300760.SZ,0,
2021-08-23,000858.SZ,0,
2021-09-16,000858.SZ,0,
2021-09-22,000858.SZ,0,
2021-09-27,002466.SZ,0,
2021-09-29,601919.SH,0,
2021-09-29,002594.SZ,0,
2021-10-08,600089.SH,1,21.757208672823793
2021-11-01,000858.SZ,1,7.772649549904674
2021-11-02,601888.SH,1,7.8045788936873635
2021-11-02,000858.SZ,0,
2021-11-04,603259.SH,0,
2021-11-16,000625.SZ,1,-22.229994518631575
2021-11-26,600036.SH,1,7.780249533285357
2021-12-01,002129.SZ,1,7.212021342950852
2021-12-02,601012.SH,0,
2021-12-03,601012.SH,0,
2021-12-20,603259.SH,1,12.254494786218984
2021-12-20,002460.SZ,0,
2021-12-20,002466.SZ,1,1.837573601773871
2021-12-20,002594.SZ,0,
2021-12-21,300750.SZ,0,
2021-12-21,002466.SZ,0,
2021-12-21,300274.SZ,0,
2021-12-24,300750.SZ,0,
2021-12-24,600111.SH,1,10.927469701064592
2021-12-24,002466.SZ,0,
2021-12-29,600036.SH,1,5.516341863497587
2022-01-05,300059.SZ,1,-5.7513210082683415
2022-01-06,300059.SZ,0,
2022-01-07,600519.SH,1,0.9984159395398547
2022-01-13,600519.SH,0,
2022-01-13,600276.SH,1,-29.55698724716474
2022-01-14,600030.SH,1,1.0102995428563415
2022-01-17,601888.SH,0,
2022-01-19,002466.SZ,0,
2022-01-20,000792.SZ,1,18.801769360068377
2022-01-24,000661.SZ,1,11.89884859958246
2022-01-25,000661.SZ,0,
2022-01-27,300274.SZ,0,
2022-01-28,002594.SZ,0,
2022-01-28,601012.SH,0,
2022-01-28,000858.SZ,1,-8.807756178930596
2022-02-07,000858.SZ,0,
2022-02-08,000858.SZ,0,
2022-02-08,002475.SZ,1,-17.15409169654668
2022-02-09,603259.SH,0,
2022-02-10,300750.SZ,0,
2022-02-10,603259.SH,0,
2022-02-10,601012.SH,0,
2022-02-11,300750.SZ,0,
2022-02-11,601012.SH,0,
2022-02-11,603259.SH,0,
2022-02-14,300059.SZ,0,
2022-02-15,300059.SZ,0,
2022-02-16,300059.SZ,0,
2022-02-24,600519.SH,0,
2022-03-03,300014.SZ,0,
2022-03-04,000858.SZ,0,
2022-03-04,000002.SZ,0,
2022-03-07,300750.SZ,0,
2022-03-07,600519.SH,0,
2022-03-07,000858.SZ,0,
2022-03-07,002594.SZ,0,
2022-03-07,600036.SH,0,
2022-03-08,300750.SZ,0,
2022-03-08,002594.SZ,0,
2022-03-08,000858.SZ,0,
2022-03-08,002460.SZ,1,17.706849570514894
2022-03-09,000858.SZ,0,
2022-03-09,600036.SH,0,
2022-03-14,300059.SZ,0,
2022-03-14,600036.SH,0,
2022-03-14,601888.SH,0,
2022-03-15,600519.SH,0,
2022-03-15,300059.SZ,0,
2022-03-15,601318.SH,0,
2022-03-15,600036.SH,0,
2022-03-29,601012.SH,1,-12.752364240157288
2022-03-29,002475.SZ,0,
2022-03-31,601012.SH,0,
2022-04-06,601012.SH,0,
2022-04-11,300750.SZ,0,
2022-04-11,002460.SZ,0,
2022-04-14,300122.SZ,1,-6.645958234266682
2022-04-14,300274.SZ,0,
2022-04-18,600036.SH,0,
2022-04-19,600036.SH,0,
2022-04-20,300750.SZ,0,
2022-04-20,600036.SH,0,
2022-04-21,300274.SZ,0,
2022-04-21,600036.SH,0,
2022-04-22,300274.SZ,0,
2022-04-25,600036.SH,0,
2022-04-25,601012.SH,0,
2022-04-25,002466.SZ,0,
2022-04-26,600036.SH,0,
2022-05-09,002415.SZ,0,
2022-05-13,002415.SZ,0,
2022-07-13,002594.SZ,0,
2022-07-14,600036.SH,0,
2022-07-15,600036.SH,0,
2022-07-27,603259.SH,1,-6.553924195303395
2022-07-29,000858.SZ,1,-2.4673011477159523
2022-08-02,300059.SZ,0,
2022-08-03,601012.SH,1,-1.5712301907594528
2022-08-04,601012.SH,0,
2022-08-10,002594.SZ,0,
2022-08-19,002466.SZ,1,13.385590477234006
2022-08-19,688599.SH,1,4.900961296612725
2022-08-19,002459.SZ,1,5.627000867343111
2022-08-22,601012.SH,0,
2022-08-23,002271.SZ,1,-5.965240206705305
2022-08-24,000625.SZ,1,2.31475867645841
2022-08-25,002460.SZ,1,2.226213115920718
2022-08-29,000858.SZ,0,
2022-08-29,601166.SH,0,
2022-08-30,000858.SZ,0,
2022-08-31,002594.SZ,0,
2022-09-01,300750.SZ,1,-1.3981718838619202
2022-09-01,002466.SZ,1,0.4175574221779625
2022-09-01,002594.SZ,0,
2022-09-02,002466.SZ,0,
2022-09-02,002594.SZ,0,
2022-09-02,300274.SZ,0,
2022-09-05,002594.SZ,0,
2022-09-05,600519.SH,0,
2022-09-07,600519.SH,0,
2022-09-14,603259.SH,0,
2022-09-16,300059.SZ,0,
2022-09-16,600030.SH,1,3.2914258355483077
2022-09-19,300059.SZ,0,
2022-09-19,601012.SH,0,
2022-09-20,300059.SZ,0,
2022-09-20,600703.SH,0,
2022-09-21,300059.SZ,0,
2022-09-21,300760.SZ,0,
2022-09-21,600703.SH,0,
2022-09-22,300059.SZ,0,
2022-09-29,603799.SH,0,
2022-09-30,002594.SZ,0,
2022-10-10,600519.SH,0,
2022-10-10,600036.SH,1,4.74708231806275
2022-10-10,000568.SZ,1,5.894426001503926
2022-10-10,002594.SZ,0,
2022-10-10,002466.SZ,0,
2022-10-11,600519.SH,0,
2022-10-11,002050.SZ,0,
2022-10-12,002371.SZ,1,10.597667780822029
2022-10-12,600036.SH,0,
2022-10-13,600519.SH,0,
2022-10-13,600036.SH,0,
2022-10-19,600519.SH,0,
2022-10-19,000568.SZ,0,
2022-10-20,600887.SH,0,
2022-10-24,600519.SH,0,
2022-10-24,000858.SZ,1,13.014502136358589
2022-10-24,600036.SH,0,
2022-10-24,601318.SH,0,
2022-10-24,000568.SZ,0,
2022-10-25,600519.SH,0,
2022-10-25,300059.SZ,0,
2022-10-25,000858.SZ,0,
2022-10-25,000568.SZ,0,
2022-10-26,300059.SZ,0,
2022-10-26,002714.SZ,0,
2022-10-27,600519.SH,0,
2022-10-27,000858.SZ,0,
2022-10-27,000568.SZ,0,
2022-10-28,002594.SZ,0,
2022-10-28,300059.SZ,0,
2022-10-31,000651.SZ,0,
2022-11-01,600522.SH,1,-5.676303523410963
2022-11-23,002812.SZ,0,
2022-11-28,600522.SH,0,
2022-11-28,603259.SH,1,6.738265986701266
2022-12-13,300274.SZ,0,
2022-12-14,300274.SZ,0,
2022-12-23,601012.SH,0,
2022-12-28,000625.SZ,1,15.403895272762636
2022-12-30,002709.SZ,1,15.538268097973235
2023-02-20,300750.SZ,0,
2023-02-21,300750.SZ,0,
2023-02-22,300750.SZ,0,
2023-03-08,600519.SH,1,3.358107895598216
2023-03-10,002594.SZ,1,7.839512102970262
2023-03-10,600519.SH,0,
2023-03-13,002594.SZ,0,
2023-03-14,300274.SZ,0,
2023-03-14,002594.SZ,0,
2023-03-16,601012.SH,0,
2023-03-16,300274.SZ,0,
2023-03-17,300750.SZ,0,
2023-03-22,300059.SZ,0,
2023-04-27,600036.SH,1,-0.6278320762058595
2023-05-04,000651.SZ,1,6.144996620188443
2023-05-09,688981.SH,1,-1.9912914951639944
2023-05-12,601899.SH,0,
2023-05-23,600809.SH,0,
2023-05-29,300059.SZ,0,
2023-05-29,601012.SH,0,
2023-05-30,300059.SZ,0,
2023-05-30,601012.SH,0,
2023-05-31,600519.SH,0,
2023-06-01,600519.SH,0,
2023-06-07,300750.SZ,1,8.015096907867838
2023-06-09,002415.SZ,0,
2023-06-27,300418.SZ,0,
2023-06-28,300418.SZ,0,
2023-07-11,600570.SH,1,12.935015317595871
2023-07-19,300750.SZ,0,
2023-07-20,300308.SZ,1,-5.693477162892338
2023-07-20,000063.SZ,1,-20.144973123840867
2023-07-21,300308.SZ,0,
2023-08-01,600276.SH,0,
2023-08-02,600276.SH,0,
2023-08-07,000063.SZ,0,
2023-08-07,600276.SH,0,
2023-08-07,300760.SZ,0,
2023-08-09,603019.SH,0,
2023-08-18,000858.SZ,1,9.240903528696505
2023-08-18,000977.SZ,1,7.706372017077919
2023-08-21,300274.SZ,0,
2023-08-21,600009.SH,1,-11.699228208217027
2023-08-21,002594.SZ,0,
2023-08-21,601012.SH,1,-11.755699669774852
2023-08-22,601012.SH,0,
2023-08-23,601012.SH,0,
2023-08-25,300308.SZ,0,
2023-09-08,300750.SZ,1,-18.00484444688593
2023-09-11,300750.SZ,0,
2023-09-12,300750.SZ,0,
2023-09-13,300750.SZ,0,
2023-09-15,300750.SZ,0,
2023-09-18,300308.SZ,0,
2023-10-16,600519.SH,0,
2023-10-19,600519.SH,0,
2023-10-19,000977.SZ,0,
2023-10-20,600519.SH,0,
2023-10-23,300059.SZ,1,6.795375111896212
2023-10-24,000063.SZ,0,
2023-10-24,601138.SH,0,
2023-11-02,601012.SH,0,
2023-11-10,601318.SH,0,
2023-11-24,002594.SZ,0,
2023-11-27,002594.SZ,0,
2023-11-27,300750.SZ,0,
2023-11-29,002594.SZ,0,
2023-11-30,002594.SZ,0,
2023-12-05,600519.SH,0,
2023-12-06,600519.SH,0,
2023-12-07,600519.SH,0,
2023-12-11,000568.SZ,0,
2023-12-13,600519.SH,0,
2023-12-13,000858.SZ,0,
2023-12-13,000568.SZ,0,
2023-12-14,600519.SH,0,
2023-12-14,002456.SZ,1,9.13490121758614
2023-12-14,000628.SZ,1,44.67924500816973
2023-12-18,300750.SZ,0,
2023-12-20,000651.SZ,1,12.104633410839131
2023-12-21,000651.SZ,0,
2023-12-25,002555.SZ,1,17.471539089853273
2023-12-27,300059.SZ,0,
2024-01-04,000625.SZ,1,12.686864654118963
2024-01-05,000625.SZ,0,
2024-01-08,000063.SZ,0,
2024-01-08,000858.SZ,0,
2024-01-12,000661.SZ,0,
2024-01-16,300033.SZ,0,
2024-01-17,600519.SH,1,5.907729356690894
2024-01-17,002475.SZ,1,7.219372761109448
2024-01-22,301236.SZ,1,15.202767971466354
2024-01-29,300750.SZ,0,
2024-01-30,603259.SH,0,
2024-01-30,300750.SZ,0,
2024-01-30,002594.SZ,0,
2024-01-30,002129.SZ,1,-6.5866863796632105
2024-01-31,603259.SH,0,
2024-01-31,300418.SZ,1,39.428041617887864
2024-01-31,601012.SH,0,
2024-02-02,601012.SH,0,
2024-02-05,603259.SH,0,
2024-04-08,600519.SH,1,5.19682233937109
2024-04-09,600519.SH,0,
2024-04-10,600519.SH,0,
2024-04-10,000628.SZ,0,
2024-04-10,000977.SZ,1,12.570545419631626
2024-04-11,600519.SH,0,
2024-04-12,600519.SH,0,
2024-04-12,601318.SH,0,
2024-04-16,000625.SZ,1,-3.58132493313491
2024-04-23,002230.SZ,0,
2024-04-25,002466.SZ,0,
2024-04-26,600919.SH,1,-3.22433989136676
2024-05-07,000625.SZ,0,
2024-05-07,000100.SZ,1,6.430946014868081
2024-05-28,000725.SZ,1,4.499483038676097
2024-05-31,601138.SH,1,17.235953981802986
2024-06-06,601012.SH,1,-12.181185272863992
2024-06-07,300750.SZ,1,1.3901215027090492
2024-06-07,601012.SH,0,
2024-06-11,600519.SH,1,0.5216824393800606
2024-06-11,300750.SZ,0,
2024-06-11,000858.SZ,0,
2024-06-12,600519.SH,0,
2024-06-12,300750.SZ,0,
2024-06-13,600519.SH,0,
2024-06-13,300750.SZ,0,
2024-06-13,000858.SZ,0,
2024-06-28,300059.SZ,0,
2024-07-08,600519.SH,0,
2024-07-08,601919.SH,1,1.728554133928233
2024-07-25,601899.SH,0,
2024-07-25,300308.SZ,1,7.199933708510119
2024-07-25,300502.SZ,1,13.964744747831642
2024-07-25,601138.SH,0,
2024-07-30,600519.SH,1,4.979956385509713
2024-08-02,002594.SZ,1,6.379967880191982
2024-08-05,002475.SZ,1,8.544910470004318
2024-08-05,300502.SZ,0,
2024-08-06,002594.SZ,0,
2024-08-22,000063.SZ,0,
2024-08-22,000858.SZ,1,9.447704740723928
2024-08-23,688012.SH,0,
2024-08-26,000858.SZ,0,
2024-08-28,601127.SH,1,11.860904824260553
2024-08-28,000858.SZ,0,
2024-08-28,600809.SH,0,
2024-08-29,300308.SZ,0,
2024-09-02,600150.SH,0,
2024-09-04,601899.SH,0,
2024-09-05,688256.SH,1,22.25002533076108
2024-09-06,688256.SH,0,
2024-09-09,600519.SH,1,13.065449104192648
2024-09-09,601899.SH,0,
2024-09-09,600036.SH,1,12.650986424212691
2024-09-11,600900.SH,1,8.228584541518643
2024-09-12,600519.SH,0,
2024-09-13,600519.SH,0,
2024-09-13,000858.SZ,0,
2024-09-18,600519.SH,0,
2024-09-18,000858.SZ,0,
2024-09-19,600519.SH,0,
2024-09-19,600150.SH,0,
2024-09-20,600276.SH,1,7.0921102706178285
2024-11-28,600418.SH,0,
