arch,ts_code,sig_date,hold_days,levels,mae,pnl
A0,300750.SZ,2020-02-28,31,3,-22.6421992992598,-17564.68204523984
A0,601318.SH,2020-02-28,33,3,-14.845114027953633,-17726.73409781989
A0,000725.SZ,2020-03-16,35,2,-15.597528962684091,27272.019758470036
A0,002714.SZ,2020-05-11,27,1,-42.82773503552724,-73422.30253895996
A0,000063.SZ,2020-05-25,17,1,-3.473637057126744,16543.11587328001
A0,002415.SZ,2020-05-25,17,1,-2.0258570419227406,14247.334767060034
A0,600030.SH,2020-09-07,18,1,-1.2339913842417838,6613.851740760059
A0,002456.SZ,2020-09-01,34,4,-16.053304385655576,-11994.304891459877
A0,300136.SZ,2020-10-12,19,2,-8.569272731122435,3092.143930660037
A0,600745.SH,2020-09-08,57,1,-20.364188656871583,-9391.319683919952
A0,601012.SH,2020-11-13,17,2,-6.016910065493041,44963.39024784003
A0,300122.SZ,2020-11-11,27,2,-12.225173743090478,82452.34540584008
A0,002475.SZ,2020-12-14,6,1,,16941.61435680004
A0,000651.SZ,2020-12-09,17,2,-6.124664099588695,18683.3139607801
A0,601318.SH,2021-01-28,14,3,-5.483885706382596,55426.922526240116
A0,300059.SZ,2021-02-25,25,1,,-10814.738126399956
A0,300750.SZ,2021-01-29,46,2,-18.271530169547145,9928.487663820037
A0,002475.SZ,2021-01-28,50,3,-37.08914991713825,-128562.82199261995
A0,601166.SH,2021-04-15,15,1,,19181.56621140003
A0,002352.SZ,2021-04-12,22,2,,6983.716473360022
A0,600031.SH,2021-05-13,12,1,,27818.873655840027
A0,002594.SZ,2021-04-30,23,2,,131567.65075440012
A0,002340.SZ,2021-06-07,19,3,-8.501754655600802,31636.125431640074
A0,000661.SZ,2021-05-24,38,3,-16.268729620292476,18776.778029100038
A0,600031.SH,2021-06-11,35,3,-12.260421814561928,22024.05905448011
A0,002241.SZ,2021-07-22,9,1,-0.8811834672105667,20518.01914968004
A0,002460.SZ,2021-08-16,9,1,-1.2037686070835218,47024.09293319998
A0,300750.SZ,2021-08-16,20,1,,19148.41928376007
A0,000858.SZ,2021-07-08,54,5,,-54012.840126839816
A0,600111.SH,2021-09-29,12,1,-0.8490923185087595,43782.60256524003
A0,002466.SZ,2021-09-22,28,2,-17.682096174335637,20545.878086640034
A0,601919.SH,2021-09-28,39,2,-18.4614268413151,12082.559413860145
A0,600030.SH,2021-11-16,13,1,-0.6848442231127239,15781.336284420046
A0,000651.SZ,2021-10-27,30,2,-5.331849395463295,14882.517802080081
A0,601012.SH,2021-12-01,57,3,-21.866848637556902,11911.362737400108
A0,002594.SZ,2021-12-16,88,4,-25.14527725795331,-15161.140331099858
A0,000858.SZ,2022-03-03,56,1,,-16906.98683321994
A0,300750.SZ,2021-12-20,106,3,-39.25216697493924,-97943.60455811996
A0,002415.SZ,2022-05-06,19,3,-6.005758946935424,21141.421241400065
A0,002241.SZ,2022-06-23,30,1,-4.541975437497802,5669.915238360059
A0,600036.SH,2022-07-13,34,3,-11.737442003785814,-9253.682413919945
A0,601888.SH,2022-08-08,33,2,-5.563678395926985,25997.859993599996
A0,300274.SZ,2022-08-31,23,1,-4.084494072894174,21345.722282160015
A0,601899.SH,2022-09-26,18,2,-3.0800587220820574,27486.361114739964
A0,002594.SZ,2022-07-12,76,5,-22.44325254033992,-6528.044203919824
A0,600519.SH,2022-10-12,35,1,,-6637.773531959974
A0,300750.SZ,2022-10-28,27,1,,22683.793246200046
A0,300274.SZ,2022-12-06,18,2,,48201.52225410007
A0,002241.SZ,2022-11-11,37,2,,34076.419577819994
A0,601012.SH,2022-12-22,17,1,0.7450261181604301,22382.58724128001
A0,300014.SZ,2023-01-11,9,1,,13742.55426942007
A0,300750.SZ,2023-02-17,29,3,-9.710481825866424,18777.097441440157
A0,300059.SZ,2023-03-07,18,2,,26668.556488800037
A0,000858.SZ,2023-04-10,26,2,,-10014.006498299947
A0,600519.SH,2023-04-12,43,1,-3.711672942442157,7184.677604219993
A0,600809.SH,2023-05-22,43,3,,36083.205896939966
A0,300418.SZ,2023-06-26,34,1,-21.471786640325963,-1466.4528931899968
A0,600276.SH,2023-07-31,19,3,-12.74805086585722,13381.668178560212
A0,002230.SZ,2023-08-16,32,1,-19.323469167164887,-1200.787438989997
A0,002475.SZ,2023-09-07,17,1,-3.486344164310251,13314.679056360037
A0,300014.SZ,2023-02-20,172,5,,-281648.9383369199
A0,600519.SH,2023-10-13,54,3,-7.002271392498571,2568.911065380147
A0,601318.SH,2023-11-09,53,3,,-17632.113424199924
A0,300750.SZ,2023-10-16,81,3,,-9141.909842339926
A0,002230.SZ,2024-01-03,25,2,-11.065678507538957,14136.106295520032
A0,601012.SH,2024-01-29,24,2,-10.449688446728375,49915.919160360005
A0,601318.SH,2024-03-22,23,2,-6.694047608757114,32025.780640259967
A0,000628.SZ,2024-03-29,31,3,-47.64831657272375,-131429.80281221983
A0,000977.SZ,2024-05-28,28,1,-5.699499525657115,8939.030455080007
A0,000625.SZ,2024-05-06,45,2,,7022.001232619979
A0,603019.SH,2024-03-27,73,2,-18.707085726113192,-12591.667527119862
A0,601919.SH,2024-07-12,47,2,,-320.17370615992695
A0,601138.SH,2024-07-18,45,3,-26.545220898444754,-53626.77789083985
A0,601899.SH,2024-07-23,43,3,-14.067695222710409,23685.022253150004
A0,600150.SH,2024-09-20,57,2,,25549.931969100027
A0,600418.SH,2024-11-27,23,1,-2.5858400858400854,16133.701312079997
