date,all_eligible,oversold_all,top10_oversold,held_conflicts,pending_conflicts,available_slots,queueable_candidates
2020-03-17,3552,835,5,2,0,0,3
2020-03-18,3553,921,5,1,0,0,4
2020-03-19,3557,330,5,1,0,0,4
2020-03-26,3564,8,1,0,0,0,1
2020-06-15,3547,78,1,0,0,0,1
2020-09-09,3582,641,1,0,0,0,1
2020-09-10,3586,1146,2,0,0,0,2
2020-09-16,3590,80,1,0,0,0,1
2020-09-17,3593,43,1,0,0,0,1
2020-09-28,3600,487,1,0,0,0,1
2020-09-30,3606,143,1,0,0,0,1
2020-10-23,3640,222,1,0,0,0,1
2020-10-26,3639,219,1,0,0,0,1
2020-11-16,3670,46,2,0,0,0,2
2020-11-17,3676,122,2,1,0,0,1
2020-12-16,3736,640,1,0,0,0,1
2021-02-03,3813,560,2,1,0,0,1
2021-02-22,3817,36,2,0,0,0,2
2021-02-24,3821,66,1,0,0,0,1
2021-02-26,3822,70,3,2,0,0,1
2021-03-01,3821,14,1,0,0,0,1
2021-03-04,3824,35,1,0,0,0,1
2021-03-05,3828,19,1,0,0,0,1
2021-03-08,3829,119,2,0,0,0,2
2021-03-09,3832,277,2,0,0,0,2
2021-03-18,3847,23,1,0,0,0,1
2021-03-19,3848,34,1,0,0,0,1
2021-03-22,3858,15,1,0,0,0,1
2021-03-23,3861,48,1,0,0,0,1
2021-03-24,3864,152,1,0,0,0,1
2021-04-16,3907,50,2,0,0,0,2
2021-05-06,3876,321,3,1,0,0,2
2021-05-07,3878,305,2,1,0,0,1
2021-05-10,3882,332,1,0,0,0,1
2021-05-11,3886,140,1,0,0,0,1
2021-05-25,3930,20,1,0,0,0,1
2021-06-15,3962,466,1,0,0,0,1
2021-06-21,3966,109,1,0,0,0,1
2021-06-22,3973,38,2,0,0,0,2
2021-06-23,3975,26,1,0,0,0,1
2021-07-05,4002,147,1,0,0,0,1
2021-07-13,4017,40,1,0,0,0,1
2021-07-16,4024,233,1,0,0,0,1
2021-07-23,4035,303,1,0,0,0,1
2021-07-26,4038,834,2,1,0,0,1
2021-07-27,4042,1052,3,1,0,0,2
