arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A0,300750.SZ,2020-03-02,2020-04-15,31,3,-17564.68204523984
A0,601318.SH,2020-03-02,2020-04-17,33,3,-17726.73409781989
A0,000725.SZ,2020-03-17,2020-05-11,35,2,27272.019758470036
A0,002714.SZ,2020-05-12,2020-06-18,27,1,-73422.30253895996
A0,000063.SZ,2020-05-26,2020-06-18,17,1,16543.11587328001
A0,002415.SZ,2020-05-26,2020-06-18,17,1,14247.334767060034
A0,600030.SH,2020-09-08,2020-10-12,18,1,6613.851740760059
A0,002456.SZ,2020-09-02,2020-10-28,34,4,-11994.304891459877
A0,300136.SZ,2020-10-13,2020-11-09,19,2,3092.143930660037
A0,600745.SH,2020-09-09,2020-12-07,57,1,-9391.319683919952
A0,601012.SH,2020-11-16,2020-12-09,17,2,44963.39024784003
A0,300122.SZ,2020-11-12,2020-12-21,27,2,82452.34540584008
A0,002475.SZ,2020-12-15,2020-12-23,6,1,16941.61435680004
A0,000651.SZ,2020-12-10,2021-01-05,17,2,18683.3139607801
A0,601318.SH,2021-01-29,2021-02-25,14,3,55426.922526240116
A0,300059.SZ,2021-02-26,2021-04-02,25,1,-10814.738126399956
A0,300750.SZ,2021-02-01,2021-04-14,46,2,9928.487663820037
A0,002475.SZ,2021-01-29,2021-04-19,50,3,-128562.82199261995
A0,601166.SH,2021-04-16,2021-05-12,15,1,19181.56621140003
A0,002352.SZ,2021-04-13,2021-05-18,22,2,6983.716473360022
A0,600031.SH,2021-05-14,2021-06-01,12,1,27818.873655840027
A0,002594.SZ,2021-05-06,2021-06-08,23,2,131567.65075440012
A0,002340.SZ,2021-06-08,2021-07-06,19,3,31636.125431640074
A0,000661.SZ,2021-05-25,2021-07-19,38,3,18776.778029100038
A0,600031.SH,2021-06-15,2021-08-03,35,3,22024.05905448011
A0,002241.SZ,2021-07-23,2021-08-05,9,1,20518.01914968004
A0,002460.SZ,2021-08-17,2021-08-30,9,1,47024.09293319998
A0,300750.SZ,2021-08-17,2021-09-14,20,1,19148.41928376007
A0,000858.SZ,2021-07-09,2021-09-27,54,5,-54012.840126839816
