ts_code,sig_date,entry_date,cash_A1,invested_A1,npos_A1,layers_A1,hold_A1,av_cash_layer,npos_A0
300750.SZ,2020-02-28,2020-03-02 00:00:00,1000000.0,0.0,0,3,31,5.0,0
601318.SH,2020-02-28,2020-03-02 00:00:00,1000000.0,0.0,0,3,33,5.0,0
000725.SZ,2020-03-16,2020-03-17 00:00:00,227075.13977248015,772924.8602275199,2,2,35,1.1353756988624006,2
002714.SZ,2020-05-11,2020-05-12 00:00:00,991980.6036154103,0.0,0,1,27,4.959903018077052,0
000063.SZ,2020-05-25,2020-05-26 00:00:00,795383.1515644103,196597.45205099997,1,1,17,3.9769157578220513,1
002415.SZ,2020-05-25,2020-05-26 00:00:00,795383.1515644103,196597.45205099997,1,1,17,3.9769157578220513,1
600703.SH,2020-06-15,2020-06-16 00:00:00,398269.3148047703,593711.28881064,3,1,12,1.9913465740238514,3
600030.SH,2020-09-07,2020-09-08 00:00:00,582097.2753214705,398064.03274637996,1,1,18,2.910486376607352,1
002456.SZ,2020-09-01,2020-09-02 00:00:00,980161.3080678504,0.0,0,4,34,4.900806540339252,0
300136.SZ,2020-10-12,2020-10-13 00:00:00,204652.69231725053,782122.46749136,2,2,19,1.0232634615862526,2
600745.SH,2020-09-08,2020-09-09 00:00:00,184409.7164328505,795751.591635,2,1,57,0.9220485821642525,2
601012.SH,2020-11-13,2020-11-16 00:00:00,617071.6206518505,361360.83539555996,2,1,17,3.0853581032592525,2
300122.SZ,2020-11-11,2020-11-12 00:00:00,806015.4392754105,172417.01677199997,1,2,27,4.030077196377053,1
002475.SZ,2020-11-16,2020-11-17 00:00:00,423426.88510759047,555005.5709398199,3,2,26,2.1171344255379525,3
002241.SZ,2020-11-16,2020-11-17 00:00:00,423426.88510759047,555005.5709398199,3,1,28,2.1171344255379525,3
000651.SZ,2020-12-09,2020-12-10 00:00:00,376777.7605681305,610155.9873208799,3,1,17,1.8838888028406526,1
601318.SH,2021-01-28,2021-01-29 00:00:00,1055313.6996637906,0.0,0,3,14,5.276568498318953,0
300059.SZ,2021-02-22,2021-02-23 00:00:00,4621.22062759081,1050692.4790361999,4,2,28,0.02310610313795405,3
