ts_code,entry_date,levels0,levels1,shares0,shares1,pnl0,pnl1,delta_pnl,hold0,hold1,ret0,ret1,same_exit,same_levels
000063.SZ,2020-05-26 00:00:00,1,1,5300,5300,16543.12,16543.12,0.0,17,17,8.36,8.36,True,True
000625.SZ,2024-05-07 00:00:00,2,1,28300,13300,7022.0,-8699.11,-15721.11,45,45,1.76,-4.37,True,False
000628.SZ,2024-04-01 00:00:00,3,2,8700,3800,-131429.8,-84734.82,46694.99,31,31,-22.19,-29.62,True,False
000651.SZ,2020-12-10 00:00:00,2,1,6300,3100,18683.31,6024.44,-12658.88,17,17,4.78,3.08,True,False
000651.SZ,2021-10-28 00:00:00,2,1,11100,5400,14882.52,2270.27,-12612.25,30,30,3.77,1.15,True,False
000661.SZ,2021-05-25 00:00:00,3,2,1300,900,18776.78,21222.89,2446.11,38,38,3.64,6.09,True,False
000725.SZ,2020-03-17 00:00:00,2,2,59000,59000,27272.02,27272.02,0.0,35,35,13.06,13.06,True,True
000858.SZ,2021-07-09 00:00:00,5,2,4200,1100,-54012.84,15505.58,69518.42,54,54,-5.59,6.95,True,False
000858.SZ,2022-03-04 00:00:00,1,1,1100,1100,-16906.99,-16906.99,0.0,56,56,-8.53,-8.53,True,True
000858.SZ,2023-04-11 00:00:00,2,2,2100,2100,-10014.01,-10014.01,0.0,26,26,-2.65,-2.65,True,True
000977.SZ,2024-05-29 00:00:00,1,1,5400,5400,8939.03,8939.03,0.0,28,28,4.48,4.48,True,True
002230.SZ,2024-01-04 00:00:00,2,1,9400,4000,14136.11,1556.99,-12579.12,25,25,3.59,0.9,True,False
002241.SZ,2022-06-24 00:00:00,1,1,6200,6200,5669.92,5669.92,0.0,30,30,2.84,2.84,True,True
002241.SZ,2022-11-14 00:00:00,2,2,23700,11900,34076.42,16281.97,-17794.45,37,37,8.55,8.11,True,True
002340.SZ,2021-06-08 00:00:00,3,3,63100,41600,31636.13,14735.95,-16900.17,19,19,5.29,3.68,True,True
002352.SZ,2021-04-13 00:00:00,2,2,5800,6000,6983.72,7090.92,107.2,22,22,1.84,1.81,True,True
002415.SZ,2020-05-26 00:00:00,1,1,7100,7100,14247.33,14247.33,0.0,17,17,7.16,7.16,True,True
002415.SZ,2022-05-09 00:00:00,3,3,17800,17800,21141.42,21141.42,0.0,19,19,3.55,3.55,True,True
002456.SZ,2020-09-02 00:00:00,4,4,37000,37500,-11994.3,-11434.85,559.46,34,34,-1.99,-1.88,True,True
002460.SZ,2021-08-17 00:00:00,1,1,1200,900,47024.09,35268.07,-11756.02,9,9,24.03,24.03,True,True
002475.SZ,2021-01-29 00:00:00,3,1,12700,3800,-128562.82,-58658.76,69904.06,50,50,-21.91,-29.97,True,False
002475.SZ,2023-09-08 00:00:00,1,1,6700,6700,13314.68,13314.68,0.0,17,17,6.73,6.73,True,True
002594.SZ,2021-12-17 00:00:00,4,2,2700,1400,-15161.14,-41678.64,-26517.5,88,88,-2.22,-10.72,True,False
002594.SZ,2022-07-13 00:00:00,5,3,3400,2100,-6528.04,7883.5,14411.54,76,76,-0.69,1.37,True,False
002714.SZ,2020-05-12 00:00:00,1,1,1700,1700,-73422.3,-73422.3,0.0,27,27,-37.35,-37.35,True,True
300014.SZ,2023-01-12 00:00:00,1,1,2300,2300,13742.55,13742.55,0.0,9,9,6.98,6.98,True,True
300014.SZ,2023-02-21 00:00:00,5,5,14700,9400,-281648.94,-199048.68,82600.25,172,172,-28.57,-30.65,True,True
300059.SZ,2023-03-08 00:00:00,2,2,20500,10000,26668.56,6404.26,-20264.29,18,18,6.7,3.19,True,True
300122.SZ,2020-11-12 00:00:00,2,2,3000,1600,82452.35,34561.27,-47891.08,27,27,21.59,16.22,True,True
300136.SZ,2020-10-13 00:00:00,2,2,3900,3900,3092.14,3092.14,0.0,19,19,1.53,1.53,True,True
300274.SZ,2022-09-01 00:00:00,1,1,1700,1500,21345.72,18834.46,-2511.26,23,23,11.19,11.19,True,True
300274.SZ,2022-12-07 00:00:00,2,2,3800,3800,48201.52,48201.52,0.0,18,18,12.35,12.35,True,True
300750.SZ,2020-03-02 00:00:00,3,3,3000,3000,-17564.68,-17564.68,0.0,31,31,-4.33,-4.33,True,True
300750.SZ,2021-02-01 00:00:00,2,2,1100,1100,9928.49,9928.49,0.0,46,46,2.68,2.68,True,True
300750.SZ,2021-08-17 00:00:00,1,1,400,400,19148.42,19148.42,0.0,20,20,9.86,9.86,True,True
300750.SZ,2023-02-20 00:00:00,3,2,1300,800,18777.1,-139.58,-18916.68,29,29,3.63,-0.04,True,False
600030.SH,2020-09-08 00:00:00,1,1,6600,6600,6613.85,6613.85,0.0,18,18,3.34,3.34,True,True
600030.SH,2021-11-17 00:00:00,1,1,8300,1000,15781.34,1901.37,-13879.97,13,13,7.94,7.94,True,True
600031.SH,2021-06-15 00:00:00,3,2,17800,12700,22024.06,19963.35,-2060.71,35,35,4.63,5.96,True,False
600036.SH,2022-07-14 00:00:00,3,2,16800,10900,-9253.68,-16744.16,-7490.48,34,34,-1.57,-4.25,True,False
600111.SH,2021-09-30 00:00:00,1,1,4600,4600,43782.6,43782.6,0.0,12,12,22.28,22.28,True,True
600150.SH,2024-09-23 00:00:00,2,2,11500,11300,25549.93,24925.18,-624.75,57,57,6.49,6.44,True,True
600276.SH,2023-08-01 00:00:00,3,3,14100,14100,13381.67,13381.67,0.0,19,19,2.24,2.24,True,True
600418.SH,2024-11-28 00:00:00,1,1,5700,5700,16133.7,16133.7,0.0,23,23,8.18,8.18,True,True
600519.SH,2022-10-13 00:00:00,1,2,100,200,-6637.77,-3317.01,3320.76,35,35,-3.85,-0.99,True,False
600519.SH,2023-04-13 00:00:00,1,1,100,100,7184.68,7184.68,0.0,43,43,4.25,4.25,True,True
600519.SH,2023-10-16 00:00:00,3,1,300,100,2568.91,-1831.41,-4400.32,54,54,0.5,-1.04,True,False
600745.SH,2020-09-09 00:00:00,1,1,1200,1400,-9391.32,-10956.54,-1565.22,57,57,-6.35,-6.35,True,True
600809.SH,2023-05-23 00:00:00,3,4,2700,3200,36083.21,59632.18,23548.97,43,43,6.34,9.07,True,False
601012.SH,2020-11-16 00:00:00,2,1,5900,2900,44963.39,19457.83,-25505.56,17,17,11.57,10.05,True,False
601012.SH,2021-12-02 00:00:00,3,2,7400,3200,11911.36,37451.79,25540.42,57,57,2.05,17.06,True,False
601012.SH,2022-12-23 00:00:00,1,1,4900,3400,22382.59,15530.77,-6851.81,17,17,11.35,11.35,True,True
601012.SH,2024-01-30 00:00:00,2,1,19000,700,49915.92,1436.01,-48479.91,24,24,13.32,10.11,True,False
601138.SH,2024-07-19 00:00:00,3,1,21500,8000,-53626.78,-36779.42,16847.36,45,45,-10.89,-18.39,True,False
601166.SH,2021-04-16 00:00:00,1,1,9000,9500,19181.57,20247.21,1065.64,15,15,10.16,10.16,True,True
601318.SH,2020-03-02 00:00:00,3,3,7900,7900,-17726.73,-17726.73,0.0,33,33,-3.03,-3.03,True,True
601318.SH,2021-01-29 00:00:00,3,3,7400,6000,55426.92,43016.16,-12410.76,14,14,9.42,8.98,True,True
601318.SH,2023-11-10 00:00:00,3,3,10700,9300,-17632.11,-19216.07,-1583.95,53,53,-3.89,-4.83,True,True
601318.SH,2024-03-25 00:00:00,2,1,10100,4900,32025.78,8792.97,-23232.81,23,23,8.1,4.43,True,False
601888.SH,2022-08-09 00:00:00,2,1,2000,1000,25997.86,7231.67,-18766.19,33,33,7.03,3.79,True,False
601899.SH,2022-09-27 00:00:00,2,1,51700,25800,27486.36,12943.12,-14543.24,18,18,6.91,6.5,True,False
601899.SH,2024-07-24 00:00:00,3,1,25000,9900,23685.02,4746.03,-18938.99,43,43,5.92,2.91,True,False
601919.SH,2021-09-29 00:00:00,2,2,24700,24700,12082.56,12082.56,0.0,39,39,3.04,3.04,True,True
601919.SH,2024-07-15 00:00:00,2,1,30800,14800,-320.17,-7543.93,-7223.76,47,47,-0.08,-3.79,True,False
603019.SH,2024-03-28 00:00:00,2,2,9000,9000,-12591.67,-12591.67,0.0,73,73,-3.17,-3.17,True,True
