date,n_positions,cash,candidate_count,k_full,cash_insufficient
2020-01-02,0,1000000.0,0,0,0
2020-01-03,0,1000000.0,0,0,0
2020-01-06,0,1000000.0,0,0,0
2020-01-07,0,1000000.0,0,0,0
2020-01-08,0,1000000.0,0,0,0
2020-01-09,0,1000000.0,0,0,0
2020-01-10,0,1000000.0,0,0,0
2020-01-13,0,1000000.0,0,0,0
2020-01-14,0,1000000.0,0,0,0
2020-01-15,0,1000000.0,0,0,0
2020-01-16,0,1000000.0,0,0,0
2020-01-17,0,1000000.0,0,0,0
2020-01-20,0,1000000.0,0,0,0
2020-01-21,0,1000000.0,0,0,0
2020-01-22,0,1000000.0,0,0,0
2020-01-23,0,1000000.0,0,0,0
2020-02-03,0,1000000.0,0,0,0
2020-02-04,0,1000000.0,0,0,0
2020-02-05,0,1000000.0,0,0,0
2020-02-06,0,1000000.0,0,0,0
2020-02-07,0,1000000.0,0,0,0
2020-02-10,0,1000000.0,0,0,0
2020-02-11,0,1000000.0,0,0,0
2020-02-12,0,1000000.0,0,0,0
2020-02-13,0,1000000.0,0,0,0
2020-02-14,0,1000000.0,0,0,0
2020-02-17,0,1000000.0,0,0,0
2020-02-18,0,1000000.0,0,0,0
2020-02-19,0,1000000.0,0,0,0
2020-02-20,0,1000000.0,0,0,0
2020-02-21,0,1000000.0,0,0,0
2020-02-24,0,1000000.0,0,0,0
2020-02-25,0,1000000.0,0,0,0
2020-02-26,0,1000000.0,0,0,0
2020-02-27,0,1000000.0,0,0,0
2020-02-28,0,1000000.0,2,0,0
2020-03-02,2,609388.3473688001,0,0,0
2020-03-03,2,609388.3473688001,0,0,0
2020-03-04,2,609388.3473688001,0,0,0
2020-03-05,2,609388.3473688001,0,0,0
2020-03-06,2,609388.3473688001,0,0,0
2020-03-09,2,609388.3473688001,0,0,0
2020-03-10,2,422098.6106947601,0,0,0
2020-03-11,2,422098.6106947601,0,0,0
2020-03-12,2,422098.6106947601,1,0,0
2020-03-13,2,227075.13977248015,1,0,0
2020-03-16,2,227075.13977248015,4,0,0
2020-03-17,3,332.9508041901536,5,1,0
2020-03-18,3,332.9508041901536,5,1,0
2020-03-19,3,332.9508041901536,5,1,0
2020-03-20,3,332.9508041901536,0,1,0
2020-03-23,3,332.9508041901536,0,1,0
2020-03-24,3,332.9508041901536,0,1,0
2020-03-25,3,332.9508041901536,0,1,0
2020-03-26,3,332.9508041901536,1,1,0
2020-03-27,3,332.9508041901536,0,1,0
2020-03-30,3,332.9508041901536,0,1,0
2020-03-31,3,332.9508041901536,0,1,0
2020-04-01,3,332.9508041901536,0,1,0
2020-04-02,3,332.9508041901536,0,1,0
2020-04-03,3,332.9508041901536,0,1,0
2020-04-07,3,332.9508041901536,0,1,0
2020-04-08,3,332.9508041901536,0,1,0
2020-04-09,3,332.9508041901536,0,1,0
2020-04-10,3,332.9508041901536,0,1,0
2020-04-13,3,332.9508041901536,0,1,0
