sig_date,ts_code,block_reason,wait_days,release_date,ind_return,ind_time_to_breakeven,natural_exit_before_release
2020-03-16,600030.SH,BLOCKED_K,21.0,2020-04-15,1.2152522266729695,19.0,1.0
2020-03-17,000063.SZ,BLOCKED_K,20.0,2020-04-15,3.2396956676295363,4.0,0.0
2020-03-17,002475.SZ,BLOCKED_K,20.0,2020-04-15,14.92275528149982,2.0,0.0
2020-03-17,000858.SZ,BLOCKED_K,20.0,2020-04-15,,,
2020-03-18,000063.SZ,BLOCKED_K,19.0,2020-04-15,,,
2020-03-18,600519.SH,BLOCKED_K,19.0,2020-04-15,39.54846152311298,0.0,0.0
2020-03-18,000002.SZ,BLOCKED_K,19.0,2020-04-15,4.681297620587952,4.0,0.0
2020-03-18,000858.SZ,BLOCKED_K,19.0,2020-04-15,,,
2020-03-19,600519.SH,BLOCKED_K,18.0,2020-04-15,,,
2020-03-19,000858.SZ,BLOCKED_K,18.0,2020-04-15,,,
2020-03-19,000651.SZ,BLOCKED_K,18.0,2020-04-15,,,
2020-03-19,600036.SH,BLOCKED_K,18.0,2020-04-15,,,
2020-03-26,002506.SZ,BLOCKED_K,13.0,2020-04-15,,,
2020-06-15,600703.SH,BLOCKED_K,3.0,2020-06-18,15.534542524394752,1.0,0.0
2020-09-09,300059.SZ,BLOCKED_K,17.0,2020-10-12,4.052671012057143,6.0,1.0
2020-09-10,300059.SZ,BLOCKED_K,16.0,2020-10-12,,,
2020-09-10,000063.SZ,BLOCKED_K,16.0,2020-10-12,,,
2020-09-16,000661.SZ,BLOCKED_K,12.0,2020-10-12,,,
2020-09-17,600276.SH,BLOCKED_K,11.0,2020-10-12,7.964121567403469,0.0,1.0
2020-09-28,000651.SZ,BLOCKED_K,4.0,2020-10-12,7.18749636223901,2.0,0.0
2020-09-30,600036.SH,BLOCKED_K,2.0,2020-10-12,8.189846606772502,1.0,0.0
2020-10-23,000661.SZ,BLOCKED_K,3.0,2020-10-28,,,
2020-10-26,600030.SH,BLOCKED_K,2.0,2020-10-28,5.218510332201447,1.0,0.0
2020-11-16,002475.SZ,BLOCKED_K,17.0,2020-12-09,4.922943424348968,0.0,0.0
2020-11-16,002241.SZ,BLOCKED_K,17.0,2020-12-09,2.7641560070263713,0.0,0.0
2020-11-17,002475.SZ,BLOCKED_K,16.0,2020-12-09,,,
2020-12-16,688981.SH,BLOCKED_K,3.0,2020-12-21,16.521188858697652,0.0,0.0
2021-01-29,002241.SZ,BLOCKED_K,14.0,2021-02-25,-2.3809753380773024,0.0,0.0
2021-02-03,600009.SH,BLOCKED_K,11.0,2021-02-25,-1.1354409255495683,0.0,0.0
2021-02-22,300059.SZ,BLOCKED_K,3.0,2021-02-25,-9.75617275607125,,0.0
2021-02-22,000333.SZ,BLOCKED_K,3.0,2021-02-25,1.124921971714471,0.0,0.0
2021-02-24,002594.SZ,BLOCKED_K,1.0,2021-02-25,16.160298578230066,,0.0
2021-02-25,002594.SZ,BLOCKED_K,33.0,2021-04-14,,,
2021-02-26,002594.SZ,BLOCKED_K,32.0,2021-04-14,,,
2021-03-01,600030.SH,BLOCKED_K,31.0,2021-04-14,-1.7719464410848904,,1.0
2021-03-04,601012.SH,BLOCKED_K,28.0,2021-04-14,2.8151228530517156,0.0,1.0
2021-03-05,600438.SH,BLOCKED_K,27.0,2021-04-14,-2.082117681436346,,0.0
2021-03-08,000858.SZ,BLOCKED_K,26.0,2021-04-14,16.23467230378328,0.0,1.0
2021-03-08,600438.SH,BLOCKED_K,26.0,2021-04-14,,,
2021-03-09,601012.SH,BLOCKED_K,25.0,2021-04-14,,,
2021-03-09,600031.SH,BLOCKED_K,25.0,2021-04-14,2.027751640672817,1.0,0.0
