sig_date,ts_code,release_date,wait_days,signal_close_adj,signal_bb_lower,in_pit,valid,oversold,is_limit,in_top10,one_lot,amount_rank,release_close_adj,release_bb_lower,release_bb_upper,release_open_raw,release_return_from_signal_pct,release_distance_to_lbb_pct,still_below_lower_band,ind_cov,ind_return,ind_win,ind_mae,ind_hold,ind_exit_date,expired_tp_before_release,state,retrigger_count,retrigger_ge1,days_to_first_retrigger,natural_capture_count,natural_captured
2020-03-16,600030.SH,2020-04-15,21,124.26787200000001,126.23765928197437,True,True,False,False,True,True,8,126.186432,119.63736945969333,126.55224974030668,22.9,1.5438906043228728,5.474094398667884,0,1,1.2152522266729695,1.0,-5.003771207072671,19.0,2020-04-14,1.0,Q0_EXPIRED_TP,1,1,2.0,0,0
2020-03-17,000063.SZ,2020-04-15,20,655.9706249999999,670.2902341208254,True,True,False,False,True,True,6,623.448375,602.1335749855787,706.4923000144215,39.8,-4.957882069795405,3.539879006901736,0,1,3.2396956676295363,1.0,-8.206352120433259,32.0,2020-05-07,0.0,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2020-03-17,002475.SZ,2020-04-15,20,974.9194839999999,997.3235217272849,True,True,False,False,False,True,11,1068.372998,893.5237858303062,1130.3531461696934,41.5,9.585767392458866,19.56850113477564,0,1,14.92275528149982,1.0,-9.801484604634204,28.0,2020-04-28,0.0,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2020-03-17,000858.SZ,2020-04-15,20,1946.3561000000002,1996.8584206548035,True,True,False,False,False,True,21,2215.720975,1744.3622822727962,2301.983170227204,128.47,13.839444642221421,27.02183471389055,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,2,1,1.0,2,1
2020-03-18,000063.SZ,2020-04-15,19,617.29125,650.6145690666016,True,True,False,False,True,True,6,623.448375,602.1335749855787,706.4923000144215,39.8,0.9974424552429806,3.539879006901736,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2020-03-18,600519.SH,2020-04-15,19,7377.075614,7454.388967697644,True,True,False,False,True,True,9,8706.206559999999,7178.852192113231,8984.85407728677,1192.0,18.01704381987914,21.275746136196226,0,1,39.54846152311298,1.0,0.1021132008365288,48.0,2020-06-01,0.0,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2020-03-18,000002.SZ,2020-04-15,19,3903.23297,4026.2902144196037,True,True,False,False,False,True,32,3962.59773,3682.667995858865,4134.335189041136,27.2,1.520912547528508,7.601275337769087,0,1,4.681297620587952,1.0,-4.940021219090973,49.0,2020-06-02,0.0,Q3_NO_LONGER_OVERSOLD,2,1,1.0,0,0
2020-03-18,000858.SZ,2020-04-15,19,1863.7277750000003,1933.3120136163316,True,True,False,False,False,True,21,2215.720975,1744.3622822727962,2301.983170227204,128.47,18.886513616507106,27.02183471389055,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,1,1,1.0,1,1
2020-03-19,600519.SH,2020-04-15,18,7289.3256,7320.342555163457,True,True,False,False,True,True,9,8706.206559999999,7178.852192113231,8984.85407728677,1192.0,19.437751004016036,21.275746136196226,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
2020-03-19,000858.SZ,2020-04-15,18,1768.8004750000002,1854.7692995621069,True,True,False,False,False,True,21,2215.720975,1744.3622822727962,2301.983170227204,128.47,25.26686906277542,27.02183471389055,0,0,,,,,,,Q3_NO_LONGER_OVERSOLD,0,0,,0,0
