hypothesis_id,forward_horizon,lag_auto,raw_p_auto,lag_fixed,raw_p_fixed
P0001,5D,6,0.44009987924112315,4,0.4170087651599827
P0001,5D,6,0.44009987924112315,5,0.43079601377564486
P0002,10D,6,0.551868907754526,9,0.5760952934510065
P0002,10D,6,0.551868907754526,10,0.5796037946347109
P0003,5D,6,0.22792242007141383,4,0.20292195261747437
P0003,5D,6,0.22792242007141383,5,0.21730427922061565
P0004,10D,6,0.5106743720194117,9,0.5299010874193386
P0004,10D,6,0.5106743720194117,10,0.5325493464576206
P0005,5D,6,0.32106063119297984,4,0.303668423637963
P0005,5D,6,0.32106063119297984,5,0.314218618592145
P0006,10D,6,0.745054175144661,9,0.7571630225400908
P0006,10D,6,0.745054175144661,10,0.7587089474814057
P0009,5D,6,0.8082657835739221,4,0.8028517317308154
P0009,5D,6,0.8082657835739221,5,0.8063939140432976
P0010,10D,6,0.8227038038539597,9,0.8302727555841987
P0010,10D,6,0.8227038038539597,10,0.8309554470576376
P0011,5D,6,0.7982353471803181,4,0.7923523026630638
P0011,5D,6,0.7982353471803181,5,0.7963958098065469
P0012,10D,6,0.7109354075651492,9,0.721569264333064
P0012,10D,6,0.7109354075651492,10,0.7227102571923535
P0013,5D,6,0.9972166754687959,4,0.9971273724751698
P0013,5D,6,0.9972166754687959,5,0.9971871417683927
P0014,10D,6,0.5699320054937045,9,0.5925951770547664
P0014,10D,6,0.5699320054937045,10,0.5972670536432089
P0015,5D,5,0.3923817047122349,4,0.39838886646594135
P0015,5D,5,0.3923817047122349,5,0.3923817047122349
P0016,10D,5,0.24380831146315524,9,0.2487751879514829
P0016,10D,5,0.24380831146315524,10,0.25027643692024887
P0017,5D,6,0.3027097812446675,4,0.29536076211876017
P0017,5D,6,0.3027097812446675,5,0.30132651492589047
P0018,10D,6,0.4080455952406871,9,0.43667651791550993
P0018,10D,6,0.4080455952406871,10,0.4413565831354612
P0019,5D,6,0.12114763854630278,4,0.11526877648733903
P0019,5D,6,0.12114763854630278,5,0.1198670002430699
P0020,10D,6,0.2929925201180045,9,0.3202329079613704
P0020,10D,6,0.2929925201180045,10,0.3254908904833621
P0021,5D,6,0.283739321015224,4,0.27943389572744953
P0021,5D,6,0.283739321015224,5,0.28280021859764887
P0022,10D,6,0.3414089639809343,9,0.36639853809175427
P0022,10D,6,0.3414089639809343,10,0.3706909828957639
P0025,5D,6,0.03634644095892771,4,0.03090019663957341
P0025,5D,6,0.03634644095892771,5,0.03448668921871441
P0026,10D,6,0.029494025276312234,9,0.03707338141086009
P0026,10D,6,0.029494025276312234,10,0.038149478903046784
P0027,5D,6,0.006781624216930989,4,0.005117145020041831
P0027,5D,6,0.006781624216930989,5,0.006156878659121305
P0028,10D,6,0.008083869950425938,9,0.010729833180051282
P0028,10D,6,0.008083869950425938,10,0.011214107094691955
P0029,5D,6,0.12249567726136515,4,0.11014890635602403
P0029,5D,6,0.12249567726136515,5,0.11702293715884614
P0030,10D,6,0.09285938090308843,9,0.11622284198263064
P0030,10D,6,0.09285938090308843,10,0.1206670692758268
P0033,5D,6,0.07211808024247339,4,0.06430245316142426
P0033,5D,6,0.07211808024247339,5,0.0692177356935095
P0034,10D,6,0.10734237501281689,9,0.11927057675317809
P0034,10D,6,0.10734237501281689,10,0.12148027840978075
P0035,5D,6,0.033430943194145205,4,0.02797598840930816
P0035,5D,6,0.033430943194145205,5,0.03121672030648322
P0036,10D,6,0.03502785796918583,9,0.038525310846013315
P0036,10D,6,0.03502785796918583,10,0.038994104346610915
P0037,5D,6,0.07262010559552562,4,0.06258870795142707
P0037,5D,6,0.07262010559552562,5,0.06827431095760507
P0038,10D,6,0.0937474518081538,9,0.1013056028427442
P0038,10D,6,0.0937474518081538,10,0.10084193107462229
P0039,5D,5,0.091418915302507,4,0.09175610088467119
P0039,5D,5,0.091418915302507,5,0.091418915302507
P0040,10D,5,0.20253508157521322,9,0.21778848410689064
P0040,10D,5,0.20253508157521322,10,0.22090102269350184
P0049,5D,6,0.8223129161401613,4,0.8103473816572906
P0049,5D,6,0.8223129161401613,5,0.8174081259281348
P0050,10D,6,0.4334058419854437,9,0.476106913169329
P0050,10D,6,0.4334058419854437,10,0.4852704937887094
P0051,5D,6,0.9679181646763726,4,0.965839861172874
P0051,5D,6,0.9679181646763726,5,0.9670409596594671
P0052,10D,6,0.4287947048633675,9,0.4651238363694053
P0052,10D,6,0.4287947048633675,10,0.47248416123118253
P0057,5D,6,0.799140822582984,4,0.7951713130030881
P0057,5D,6,0.799140822582984,5,0.7983031103243692
P0058,10D,6,0.2997223232466147,9,0.3211951212536918
P0058,10D,6,0.2997223232466147,10,0.3230241747257811
P0059,5D,6,0.6918344914037392,4,0.6867467434661382
P0059,5D,6,0.6918344914037392,5,0.6912569821755082
P0060,10D,6,0.9475964804818924,9,0.9489642101009942
P0060,10D,6,0.9475964804818924,10,0.9489448071251219
P0061,5D,6,0.3029039690895025,4,0.29519483645200567
P0061,5D,6,0.3029039690895025,5,0.3001559134206031
P0062,10D,6,0.6974168157004019,9,0.7066574506658072
P0062,10D,6,0.6974168157004019,10,0.7079480393084966
P0063,5D,5,0.8122356410010624,4,0.8113647460321528
P0063,5D,5,0.8122356410010624,5,0.8122356410010624
P0064,10D,5,0.8607085790996918,9,0.8642582219794801
P0064,10D,5,0.8607085790996918,10,0.8637821387474579
P0065,5D,6,0.123505459012715,4,0.106107435757456
P0065,5D,6,0.123505459012715,5,0.11641544950609374
P0066,10D,6,0.6657608872701636,9,0.6785273675577631
P0066,10D,6,0.6657608872701636,10,0.6811634064779186
P0067,5D,6,0.048012577591343614,4,0.03852166119864319
P0067,5D,6,0.048012577591343614,5,0.04437349578854777
P0068,10D,6,0.2618362403450546,9,0.2842794787732524
P0068,10D,6,0.2618362403450546,10,0.2898489392921695
P0069,5D,6,0.06176019365426109,4,0.05636305791915905
P0069,5D,6,0.06176019365426109,5,0.05971692436247243
P0070,10D,6,0.2695030105948282,9,0.27406333344801515
P0070,10D,6,0.2695030105948282,10,0.2737836260573802
P0089,5D,6,0.00607483539093145,4,0.005944647604513506
P0089,5D,6,0.00607483539093145,5,0.0062831435830808064
P0090,10D,6,0.0194345948149892,9,0.026051099999682404
P0090,10D,6,0.0194345948149892,10,0.02781092446803786
P0091,5D,6,0.006094069584427399,4,0.007323321412067818
P0091,5D,6,0.006094069584427399,5,0.006780121464024483
P0092,10D,6,0.013167535622660305,9,0.01260013385867117
P0092,10D,6,0.013167535622660305,10,0.013253894530494647
P0093,5D,6,0.006130132713706103,4,0.003980732233133787
P0093,5D,6,0.006130132713706103,5,0.00498520402670824
P0094,10D,6,0.0008066120617721245,9,0.0018087420050503214
P0094,10D,6,0.0008066120617721245,10,0.00207810787528357
P0095,5D,5,0.001758064115245272,4,0.0016969948159305233
P0095,5D,5,0.001758064115245272,5,0.001758064115245272
P0096,10D,5,0.001998717947090132,9,0.002098279350510265
P0096,10D,5,0.001998717947090132,10,0.0019642207164682584
