ts_code,signal_date,entry_date,exit_date,entry_adj_factor,min_adj_factor,max_adj_factor,factor_changed,old_raw_trig,new_adj_trig,old_raw_trig_date,new_adj_trig_date
603799.SH,2020-02-07,2020-02-10,2020-02-11,1.8485000133514404,1.8485000133514404,1.8485000133514404,0,0,0,2020-02-11,2020-02-11
000697.SZ,2020-02-06,2020-02-07,2020-02-25,3.6749000549316406,3.6749000549316406,3.6749000549316406,0,0,0,2020-02-25,2020-02-25
603663.SH,2020-02-06,2020-02-07,2020-02-25,1.427299976348877,1.427299976348877,1.427299976348877,0,0,0,2020-02-25,2020-02-25
300681.SZ,2020-02-06,2020-02-07,2020-02-27,1.0134999752044678,1.0134999752044678,1.0134999752044678,0,0,0,2020-02-27,2020-02-27
002042.SZ,2020-02-06,2020-02-07,2020-02-28,6.833399772644043,6.833399772644043,6.833399772644043,0,0,0,2020-02-28,2020-02-28
000007.SZ,2020-02-06,2020-02-07,2020-03-03,8.283499717712402,8.283499717712402,8.283499717712402,0,0,0,2020-03-03,2020-03-03
601228.SH,2020-02-28,2020-03-02,2020-03-03,1.0156999826431274,1.0156999826431274,1.0156999826431274,0,0,0,2020-03-03,2020-03-03
300633.SZ,2020-02-20,2020-02-21,2020-03-04,1.0049999952316284,1.0049999952316284,1.0049999952316284,0,0,0,2020-03-04,2020-03-04
002953.SZ,2020-02-28,2020-03-02,2020-03-04,1.0052000284194946,1.0052000284194946,1.0052000284194946,0,0,0,2020-03-04,2020-03-04
600545.SH,2020-02-28,2020-03-02,2020-03-04,4.252900123596191,4.252900123596191,4.252900123596191,0,0,0,2020-03-04,2020-03-04
600869.SH,2020-02-06,2020-02-07,2020-03-05,10.666799545288086,10.666799545288086,10.666799545288086,0,0,0,2020-03-05,2020-03-05
600015.SH,2020-02-28,2020-03-02,2020-03-05,4.370999813079834,4.370999813079834,4.370999813079834,0,0,0,2020-03-05,2020-03-05
600167.SH,2020-02-28,2020-03-02,2020-03-05,3.6470000743865967,3.6470000743865967,3.6470000743865967,0,0,0,2020-03-05,2020-03-05
600309.SH,2020-02-28,2020-03-02,2020-03-05,36.914798736572266,36.914798736572266,36.914798736572266,0,0,0,2020-03-05,2020-03-05
603816.SH,2020-02-28,2020-03-02,2020-03-05,1.4696999788284302,1.4696999788284302,1.4696999788284302,0,0,0,2020-03-05,2020-03-05
000918.SZ,2020-02-06,2020-02-07,2020-03-06,2.4656999111175537,2.4656999111175537,2.4656999111175537,0,0,0,2020-03-06,2020-03-06
600278.SH,2020-02-06,2020-02-07,2020-03-06,2.1257998943328857,2.1257998943328857,2.1257998943328857,0,0,0,2020-03-06,2020-03-06
