subset,stop_pct,n,base_mean,old_mean,adj_mean,net_adj,net_old
MAE<-20.0,-10.0,13050,-4.190716631550635,-5.499981571689139,-5.4986446317668465,-1.3079280002162115,-1.3092649401385037
MAE<-20.0,-12.5,13050,-4.190716631550635,-7.038793318883772,-7.043568283821888,-2.8528516522712533,-2.848076687333137
MAE<-20.0,-15.0,13050,-4.190716631550635,-8.77797124145999,-8.791136259871163,-4.600419628320528,-4.587254609909356
MAE<-20.0,-17.5,13050,-4.190716631550635,-10.657706405963687,-10.665723109410687,-6.475006477860052,-6.466989774413052
MAE<-20.0,-20.0,13050,-4.190716631550635,-12.725149673939844,-12.638030825276624,-8.44731419372599,-8.53443304238921
MAE<-20.0,-22.5,13050,-4.190716631550635,-12.095171905044232,-11.99405765224854,-7.803341020697904,-7.904455273493597
MAE<-20.0,-25.0,13050,-4.190716631550635,-11.544062525259493,-11.466788844860782,-7.2760722133101465,-7.353345893708858
MAE<-20.0,-27.5,13050,-4.190716631550635,-11.212255360597283,-11.12666829527307,-6.935951663722435,-7.0215387290466476
MAE<-20.0,-30.0,13050,-4.190716631550635,-10.712300473203255,-10.631918696568533,-6.441202065017898,-6.52158384165262
MAE<-20.0,-35.0,13050,-4.190716631550635,-9.566272872715585,-9.498162024945604,-5.307445393394969,-5.37555624116495
MAE<-20.0,-40.0,13050,-4.190716631550635,-8.263678984999306,-8.208105505879272,-4.0173888743286374,-4.072962353448671
MAE<-30.0,-10.0,6537,-8.047860140654299,-5.691757318011842,-5.697255405820037,2.3506047348342616,2.356102822642457
MAE<-30.0,-12.5,6537,-8.047860140654299,-7.149048247323103,-7.154029718590009,0.8938304220642896,0.8988118933311959
MAE<-30.0,-15.0,6537,-8.047860140654299,-8.809601848456143,-8.823699605916135,-0.7758394652618357,-0.7617417078018445
MAE<-30.0,-17.5,6537,-8.047860140654299,-10.549010866094875,-10.551984667085351,-2.5041245264310525,-2.501150725440576
MAE<-30.0,-20.0,6537,-8.047860140654299,-12.445765253882305,-12.442742053435353,-4.394881912781054,-4.397905113228006
MAE<-30.0,-22.5,6537,-8.047860140654299,-14.44823855292355,-14.429717283612645,-6.381857142958346,-6.4003784122692515
MAE<-30.0,-25.0,6537,-8.047860140654299,-16.560783153025987,-16.526935397103564,-8.479075256449265,-8.512923012371688
MAE<-30.0,-27.5,6537,-8.047860140654299,-18.769808679687472,-18.713649920881377,-10.665789780227078,-10.721948539033173
MAE<-30.0,-30.0,6537,-8.047860140654299,-21.06708442298055,-20.906615984081498,-12.858755843427199,-13.01922428232625
MAE<-30.0,-35.0,6537,-8.047860140654299,-18.77923675794091,-18.643265125173848,-10.595404984519549,-10.731376617286612
MAE<-30.0,-40.0,6537,-8.047860140654299,-16.178831337304924,-16.06788841203088,-8.02002827137658,-8.130971196650625
