n_event_days,delta_point,bootstrap_mean,ci_lo,ci_hi,p_delta_ge_0,block_length,B,stop_pct
1097,-2.1948876644540185,-2.2378502416450483,-2.9467566688944613,-1.5966319793407031,0.0,21,2000,-10.0
1097,-1.9198073989414344,-1.9479571443038584,-2.655700636043048,-1.3169247717298536,0.0,21,2000,-12.5
1097,-1.7538654536563882,-1.772696216924107,-2.527822371584146,-1.1515955333084786,0.0,21,2000,-15.0
1097,-1.5943050287079872,-1.6156661050939396,-2.3767055855863606,-0.9973439913091847,0.0,21,2000,-17.5
1097,-1.4481201649770548,-1.4640545441119857,-2.246327696714726,-0.8534018788892921,0.0,21,2000,-20.0
1097,-1.3476015214624597,-1.3643844773903635,-2.161584757499739,-0.7590411355624765,0.0,21,2000,-22.5
1097,-1.217681338232204,-1.2443041746278292,-2.019852263572758,-0.654213216585958,0.0,21,2000,-25.0
1097,-1.0923360061868161,-1.1169834709233801,-1.8409523561574797,-0.5633115780540815,0.0,21,2000,-27.5
1097,-1.0141503497073605,-1.0349020851551136,-1.7183790819972407,-0.5177804407577092,0.0,21,2000,-30.0
1097,-0.8021250472910476,-0.8143224761599642,-1.4296016910720888,-0.362735118886024,0.0,21,2000,-35.0
1097,-0.613549689717962,-0.631565565953704,-1.1173128567644013,-0.26858444100335355,0.0,21,2000,-40.0
