stop_pct,bound,n_common,max_abs_ret_diff,n_ret_mismatch,n_trig_mismatch,n_boundary_2025,n_true_mismatch
-10.0,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-10.0,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-12.5,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-12.5,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-15.0,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-15.0,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-17.5,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-17.5,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-20.0,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-20.0,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-22.5,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-22.5,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-25.0,STOP_FIRST,61828,22.830826421622184,1,0,1,0
-25.0,TP_FIRST,61828,22.830826421622184,1,0,1,0
-27.5,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-27.5,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-30.0,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-30.0,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-35.0,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-35.0,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-40.0,STOP_FIRST,61828,7.105427357601002e-15,0,0,0,0
-40.0,TP_FIRST,61828,7.105427357601002e-15,0,0,0,0
