stop_pct,n_coll_sf,n_coll_tf,mean_sf,mean_tf,delta_mean
-10.0,7,7,2.407166651362027,2.4083403082878396,0.0011736569258125051
-12.5,4,4,2.761136800164881,2.762151863066016,0.0010150629011347334
-15.0,3,3,2.996596308490987,2.99698741217629,0.0003911036853030403
-17.5,1,1,3.1871736782862756,3.1874455646236353,0.0002718863373596392
-20.0,1,1,3.3163420996305977,3.3164515959110563,0.00010949628045864301
-22.5,0,0,3.452265142718139,3.452265142718139,0.0
-25.0,0,0,3.563555463226812,3.563555463226812,0.0
-27.5,1,1,3.6353445098095833,3.635513521565489,0.00016901175590566808
-30.0,1,1,3.739771019855101,3.7399020512363457,0.00013103138124481717
-35.0,0,0,3.979072381126357,3.979072381126357,0.0
-40.0,0,0,4.25136386029139,4.25136386029139,0.0
