stop_pct,saved_losers_old,killed_winners_old,saved_losers_adj,killed_winners_adj,pnl_saved_old,pnl_saved_adj,pnl_lost_old,pnl_lost_adj,net_old,net_adj
-10.0,6228,14651,6156,14540,-535296566.82089794,-531158550.40047324,1222468357.0470078,1218698903.8275676,-1757764923.8679056,-1749857454.2280407
-12.5,5160,10745,5073,10661,-453157978.3736994,-448477949.3035335,1070118423.7280064,1065982349.6502681,-1523276402.1017058,-1514460298.9538016
-15.0,4203,7986,4117,7909,-375127468.2840586,-370123227.87085646,938475882.0068711,933413120.5179969,-1313603350.2909298,-1303536348.3888533
-17.5,3382,6009,3299,5958,-307379332.8418697,-302198224.7163044,825418957.9881687,821654158.8913409,-1132798290.8300385,-1123852383.6076453
-20.0,2716,4652,2642,4616,-247427414.22307795,-242032813.82310256,735074580.840572,732105378.1124632,-982501995.0636499,-974138191.9355658
-22.5,2147,3639,2057,3608,-197167955.97464687,-191446659.65631795,656592283.3954861,653947120.3755049,-853760239.3701329,-845393780.0318228
-25.0,1684,2856,1595,2836,-155623921.957453,-149760360.71241224,582988447.9894408,580881808.9372572,-738612369.9468938,-730642169.6496694
-27.5,1335,2362,1258,2347,-121720043.02429855,-115692619.60912274,535984514.3131115,534435556.60198057,-657704557.33741,-650128176.2111033
-30.0,1046,1889,961,1875,-94432067.29972419,-88257554.8611965,477201927.10983944,476015345.0443083,-571633994.4095637,-564272899.9055048
-35.0,631,1189,557,1182,-54458416.88228391,-48517723.27652966,358341196.6736364,357524605.8319504,-412799613.5559203,-406042329.1084801
-40.0,361,714,303,710,-30092053.06477693,-25182796.49365809,248405119.70312676,247840242.77742103,-278497172.7679037,-273023039.2710791
