family,bin,n,mean_return,median_return,win_rate,mean_MAE,median_hold,mae30,hold90
B20,"[-2.0,-2.5)",49209,4.746717048754287,5.171233258200524,75.89465341705785,-10.765190528652983,25.0,8.868296449836413,3.253469893718629
B20,"[-2.5,-3.0)",11975,5.1483302326058995,5.385924388621264,76.04175365344467,-10.471313696668966,25.0,8.876826722338205,3.490605427974948
B20,"[-3.0,-3.5)",2340,5.4666852818895455,5.794521230784362,77.56410256410257,-10.386865290716752,26.0,8.547008547008547,3.2478632478632483
B20,<-3.5,261,4.8757565490707995,5.205118897420028,74.32950191570882,-9.920268271152587,26.0,9.195402298850574,3.4482758620689653
B25,"[-2.0,-2.5)",0,,,,,,,
B25,"[-2.5,-3.0)",26776,4.746050532682957,4.8932030813583935,71.9338213325366,-10.663183361336785,25.0,9.624290409321782,3.488198386614879
B25,"[-3.0,-3.5)",4629,4.941927616508566,5.1438669857807495,72.41304817455175,-10.704934810524515,27.0,9.33246921581335,3.629293583927414
B25,<-3.5,428,4.624871996670369,5.074353484869923,72.19626168224299,-10.281535674077565,27.0,9.345794392523365,3.9719626168224296
B30,"[-2.0,-2.5)",0,,,,,,,
B30,"[-2.5,-3.0)",0,,,,,,,
B30,"[-3.0,-3.5)",7180,3.523941449667577,4.237233559432094,66.8941504178273,-10.804766531509621,27.0,9.721448467966574,3.6211699164345403
B30,<-3.5,593,3.463431094726619,4.3824029665001,67.95952782462057,-9.928163932508882,26.0,8.768971332209107,3.541315345699832
