episode_id,ts_code,pnl,signal_date,entry_date,exit_date,exit_type,levels_used,total_cost,simple_return_pct,hold_days,MAE_close_pct,MAE_intraday_pct,MFE_close_pct,MFE_intraday_pct,final_price_path_return_pct,time_to_MAE_days,time_to_break_even_days,max_underwater_duration_days,n_path_days,turnover_rank,entry_k,bb_z_signal,rsi14_signal,macd_dif_signal,macd_dea_signal,macd_hist_signal
1,600729.SH,16437.19508045999,2020-03-16,2020-03-17,2020-03-30,TAKE_PROFIT_DYN,1,197753.9076513,8.311944515121159,9,-2.0472704683230925,-2.436744542007685,8.351687299055733,9.948531001162596,8.476786371523225,1,2.0,2,10,1411,3.0,-3.023293877994944,36.001426696777344,-1.2693439722061157,-1.2078598737716675,-0.061484094709157944
2,603605.SH,34818.752251620055,2020-03-16,2020-03-17,2020-04-07,TAKE_PROFIT_DYN,1,195718.34554271994,17.79023430586893,14,-0.9349903595626596,-6.615546195639488,18.61194792765557,19.24312079833077,17.969501338474924,0,1.0,1,15,982,3.0,-3.0168723011843475,39.50703430175781,0.3171306848526001,2.211951732635498,-1.8948211669921875
3,600529.SH,31146.871707900078,2020-03-16,2020-03-17,2020-04-09,TAKE_PROFIT_DYN,1,198044.27312669996,15.727226652988694,16,0.2612241521213088,-3.3171888906361358,16.478986015627495,16.74162183527943,15.90335395790543,2,0.0,0,17,863,3.0,-3.3234480829160926,34.28886413574219,-0.6882855296134949,4.8943634033203125,-5.582649230957031
4,600835.SH,8780.196839040029,2020-03-16,2020-03-17,2020-04-20,TAKE_PROFIT_DYN,1,199835.52773183997,4.393711638113823,23,-2.2622399245775693,-3.3434098369163223,8.477381204653955,10.567643035175522,4.552590266876,2,0.0,3,24,1759,3.0,-3.0599849864051127,29.159292221069336,-1.5088365077972412,-1.0976377725601196,-0.41119879484176636
5,603181.SH,17200.464044399996,2020-03-16,2020-03-17,2020-04-23,TAKE_PROFIT_DYN,1,198890.3380464,8.648214997948882,26,-10.23374531227933,-11.67209753597187,8.007176070003297,9.184009707569917,8.813568630322566,9,15.0,15,27,2755,3.0,-3.026655154373853,34.93462371826172,-0.2859419286251068,-0.04670259729027748,-0.23923932015895844
6,600036.SH,8412.695405100065,2020-03-16,2020-03-17,2020-04-27,TAKE_PROFIT_DYN,1,199646.28954269996,4.213800028224804,28,-7.485879049860078,-9.379719806260066,5.991954333186578,7.25451483745323,4.372404846338518,2,0.0,5,29,17,3.0,-3.074445615045955,28.942983627319336,-3.9259231090545654,-3.0363643169403076,-0.889558732509613
7,002708.SZ,21855.280996080022,2020-03-23,2020-03-24,2020-04-28,TAKE_PROFIT_DYN,1,199641.28324139997,10.947275353691904,24,-2.7743909633673347,-2.9317139553359906,9.654125402156911,11.699324297749513,11.116127966521683,5,0.0,3,25,2395,3.0,-3.0595040030124707,33.23419952392578,-0.3693859875202179,-0.14308848977088928,-0.22629748284816742
8,601155.SH,14512.71096396001,2020-03-16,2020-03-17,2020-04-29,TAKE_PROFIT_DYN,1,198844.28007443997,7.298530769166196,30,-10.259232293130582,-13.878079381568897,7.170994508980555,7.768602285052939,7.4618302933357805,4,8.0,8,31,323,3.0,-3.031581266341134,33.55723571777344,-1.010697841644287,-0.7651971578598022,-0.24550069868564606
9,002831.SZ,-13380.270803639956,2020-02-28,2020-03-02,2020-04-30,TAKE_PROFIT_DYN,1,197744.89630896,-6.766430412815507,42,-18.40702741176674,-19.472312837241734,1.083750372849912,3.4905063341082343,-6.624536600839903,15,3.0,38,43,1447,3.0,-3.226881555439709,31.745576858520508,-0.7569603323936462,-0.11624453216791153,-0.6407157778739929
10,603612.SH,12722.62093830001,2020-04-27,2020-04-28,2020-05-06,TAKE_PROFIT_DYN,1,199736.4029661,6.369705646726471,3,-0.197554156498414,-2.736559628055213,8.688964993950353,9.56785150333539,6.531591575579854,1,0.0,1,4,2498,3.0,-3.037976583027534,34.12822723388672,-0.47872963547706604,-0.5167451500892639,0.038015495985746384
11,000558.SZ,22676.76526032001,2020-04-28,2020-04-29,2020-05-06,TAKE_PROFIT_DYN,1,199827.51764976,11.348169424826585,2,0.30455374584930084,-0.5043539456494939,12.03371527258168,12.03371527258168,11.517632165405466,0,0.0,0,3,3183,3.0,-3.018348232873498,32.503379821777344,-0.3368273675441742,-0.3245016932487488,-0.012325656600296497
12,002347.SZ,26899.79932890003,2020-04-28,2020-04-29,2020-05-06,TAKE_PROFIT_DYN,1,199942.66257965998,13.45375668296043,2,0.9066500250379361,-1.60972528730714,14.998351774170438,14.998351774170438,13.626423953879897,0,0.0,0,3,2409,3.0,-3.067195684164545,35.15961837768555,-0.2592761516571045,-0.2073224037885666,-0.05195372924208641
13,601001.SH,14922.517251600046,2020-04-28,2020-04-29,2020-05-06,TAKE_PROFIT_DYN,1,199771.44707519995,7.4697948430952525,2,3.6753943730688077,-0.39030736705153446,10.645168784703696,11.516390586158053,7.63335501707596,0,0.0,0,3,2730,3.0,-3.0456860641923806,33.90538787841797,-0.10881172865629196,-0.10150787234306335,-0.007303857244551182
14,603113.SH,20753.88021504003,2020-04-28,2020-04-29,2020-05-06,TAKE_PROFIT_DYN,1,199611.24543359998,10.3971498048409,2,1.2470675392023844,-0.5488893129342531,13.482023594383152,13.482023594383152,10.565165171906754,0,0.0,0,3,2676,3.0,-3.0360825332620274,32.74098205566406,-0.15068581700325012,-0.12309058010578156,-0.027595236897468567
15,603706.SH,30876.468305220013,2020-04-28,2020-04-29,2020-05-06,TAKE_PROFIT_DYN,1,198900.35064899997,15.52358666260363,2,0.6579627269282629,-1.408935891694496,16.021909125357414,20.362396224465208,15.699404044231645,0,0.0,0,3,2966,3.0,-3.078894695151137,31.455368041992188,-0.23188406229019165,-0.1873837262392044,-0.04450034350156784
16,600890.SH,16022.41521012003,2020-04-29,2020-04-30,2020-05-07,TAKE_PROFIT_DYN,1,199661.3084466,8.024797260309088,2,2.9405377231464414,-2.9955551694682003,9.8901098901099,12.930547713156425,8.189202102245584,0,0.0,0,3,1805,3.0,-3.1035845150581722,35.10407257080078,-1.1593533754348755,-1.013515830039978,-0.14583760499954224
17,003816.SZ,9158.585451840016,2020-04-28,2020-04-29,2020-05-08,TAKE_PROFIT_DYN,1,200049.79742748002,4.578152824753593,4,-0.09990009990009652,-0.45290398647289676,3.077134879255028,4.842154312118985,4.737312157806861,0,1.0,1,5,1168,3.0,-3.0077314546559104,31.865312576293945,-0.04179257154464722,-0.04654451087117195,0.004751937463879585
18,603167.SH,37020.195082080056,2020-04-24,2020-04-27,2020-05-11,TAKE_PROFIT_DYN,1,199855.55293703996,18.52347584945135,7,-1.4912663937733384,-2.6043594288719496,19.379228014325523,19.657501273100173,18.70385881527945,0,2.0,2,8,1993,3.0,-3.510342797406741,23.429523468017578,-0.24916605651378632,-0.22391235828399658,-0.025253688916563988
19,603256.SH,70768.86337206006,2020-04-27,2020-04-28,2020-05-11,TAKE_PROFIT_DYN,1,199267.81316441996,35.51444774157642,6,-4.369135138365898,-9.871704743499599,33.20013320013322,35.85654611295639,35.72068956684345,1,3.0,3,7,2409,3.0,-3.002052161864709,27.993440628051758,-0.43400901556015015,-0.358916312456131,-0.07509269565343857
20,002573.SZ,24030.909635399963,2020-04-28,2020-04-29,2020-05-12,TAKE_PROFIT_DYN,1,200051.79994800003,12.012343623824618,6,0.8251008251008329,-0.46990046990047496,12.665112665112655,16.36511636511637,12.182817182817175,0,0.0,0,7,2598,3.0,-3.099261572562372,34.3971061706543,-0.5741075873374939,-0.49323394894599915,-0.08087362349033356
