horizon_day,threshold,n,hit_rate
1,-0.01,157469,0.6496008738227842
1,-0.02,157469,0.3967193542856054
1,-0.03,157469,0.247426477592415
1,-0.05,157469,0.1007944420806635
1,-0.08,157469,0.030996577104064928
1,-0.1,157469,0.011113298490496542
1,-0.15,157469,0.0022671128920612946
1,-0.2,157469,0.00014606049444652598
2,-0.01,157469,0.7525227187573427
2,-0.02,157469,0.5391537381960894
2,-0.03,157469,0.38058284487740446
2,-0.05,157469,0.1885831496993059
2,-0.08,157469,0.07484012726314386
2,-0.1,157469,0.03991896817786358
2,-0.15,157469,0.011011691190012003
2,-0.2,157469,0.0027116448316811563
3,-0.01,157469,0.794359524731852
3,-0.02,157469,0.6102915494478278
3,-0.03,157469,0.4562485314569852
3,-0.05,157469,0.24764874356222494
3,-0.08,157469,0.10686547828461475
3,-0.1,157469,0.06302192812553582
3,-0.15,157469,0.023039455384869404
3,-0.2,157469,0.00888428833611695
4,-0.01,157469,0.8206440632759464
4,-0.02,157469,0.6558052696086214
4,-0.03,157469,0.5106147876724942
4,-0.05,157469,0.29254011900755067
4,-0.08,157469,0.1310924689938972
4,-0.1,157469,0.07925369437794105
4,-0.15,157469,0.030259924175552014
4,-0.2,157469,0.015133137315916149
5,-0.01,157469,0.8351485054201144
5,-0.02,157469,0.6842743651131333
5,-0.03,157469,0.54834284843366
5,-0.05,157469,0.3310111831535096
5,-0.08,157469,0.1575675212264001
5,-0.1,157469,0.09655868774171424
5,-0.15,157469,0.03461633718382666
5,-0.2,157469,0.01739389975169716
6,-0.01,157469,0.8461474956975659
6,-0.02,157469,0.7058532155535375
6,-0.03,157469,0.5794473832944897
6,-0.05,157469,0.3679454368796398
6,-0.08,157469,0.18285503813448997
6,-0.1,157469,0.11503851551733991
6,-0.15,157469,0.04101124665807238
6,-0.2,157469,0.019057719297131497
7,-0.01,157469,0.8559716515631648
7,-0.02,157469,0.7250760467139564
7,-0.03,157469,0.6058843327893109
7,-0.05,157469,0.39855463615060743
7,-0.08,157469,0.20717093523169638
7,-0.1,157469,0.13369615606881355
7,-0.15,157469,0.04914618115311585
7,-0.2,157469,0.022055134661425422
8,-0.01,157469,0.8645384170852676
8,-0.02,157469,0.7416443871492167
8,-0.03,157469,0.6278315096939715
8,-0.05,157469,0.4259822568251529
8,-0.08,157469,0.23000717601559673
8,-0.1,157469,0.15310315046136064
8,-0.15,157469,0.06178358915088049
8,-0.2,157469,0.02719265379217497
9,-0.01,157469,0.8716890308568671
9,-0.02,157469,0.7563456934380736
9,-0.03,157469,0.6479243533647893
9,-0.05,157469,0.4507680876871003
9,-0.08,157469,0.25089382672144994
9,-0.1,157469,0.17066851253262547
9,-0.15,157469,0.07549422426001308
9,-0.2,157469,0.03680089414424426
10,-0.01,157469,0.8783443090386044
10,-0.02,157469,0.7702722440607358
10,-0.03,157469,0.6677123751341534
10,-0.05,157469,0.47578888543141823
10,-0.08,157469,0.27352685290438117
10,-0.1,157469,0.18970083000463583
10,-0.15,157469,0.09037969378099817
10,-0.2,157469,0.048752452863738256
11,-0.01,157469,0.8852853577529546
11,-0.02,157469,0.7829604557087426
11,-0.03,157469,0.6846236402085489
11,-0.05,157469,0.4976471559481549
11,-0.08,157469,0.29353079018727496
11,-0.1,157469,0.20614216131429045
11,-0.15,157469,0.10038166242244505
11,-0.2,157469,0.056931840552743716
12,-0.01,157469,0.8910515720554522
12,-0.02,157469,0.7932735967079234
12,-0.03,157469,0.6988740641015057
12,-0.05,157469,0.5167302770704075
12,-0.08,157469,0.3116232401298033
12,-0.1,157469,0.22055769707053452
12,-0.15,157469,0.1092278480208803
12,-0.2,157469,0.0640443515866615
13,-0.01,157469,0.8945252716407673
13,-0.02,157469,0.7999606271710622
13,-0.03,157469,0.7077393010687818
13,-0.05,157469,0.5295708996691413
13,-0.08,157469,0.3247242314360287
13,-0.1,157469,0.23162654236706906
13,-0.15,157469,0.11514012281782446
13,-0.2,157469,0.06765776121014296
14,-0.01,157469,0.8979862703135221
14,-0.02,157469,0.8064634944020728
14,-0.03,157469,0.7166426407737396
14,-0.05,157469,0.541986041697096
14,-0.08,157469,0.3373616394337933
14,-0.1,157469,0.2422318043551429
14,-0.15,157469,0.12017603464808947
14,-0.2,157469,0.07003918231524935
15,-0.01,157469,0.9020251605077825
15,-0.02,157469,0.8137347668429976
15,-0.03,157469,0.7264159929890963
15,-0.05,157469,0.5550298788967988
15,-0.08,157469,0.3498529869371114
15,-0.1,157469,0.25264020219852795
15,-0.15,157469,0.12558027294261093
15,-0.2,157469,0.07289688764137703
16,-0.01,157469,0.9057782801694302
16,-0.02,157469,0.8212727584476944
16,-0.03,157469,0.7373260768786237
16,-0.05,157469,0.5702138198629572
16,-0.08,157469,0.36434472816871893
16,-0.1,157469,0.2651950542646489
16,-0.15,157469,0.1314544450018734
16,-0.2,157469,0.07618007353828372
17,-0.01,157469,0.9082168553810591
17,-0.02,157469,0.8270897764004344
17,-0.03,157469,0.7458674405756054
17,-0.05,157469,0.5829528351612063
