filename,sha256,bytes,rows,first_signal_id,last_signal_id
signal_path_20d_long.csv.part_001,e6168c2889cd202a703fcdd06af476d5ba0e2c499c8d3de6f6924f2b0b29c4ca,101986425,400000,SIG1_1,SIG35600_2
signal_path_20d_long.csv.part_002,439b16a978cf20191a8ed187c2ca1f48ab2ee4ff370dddd5208c202ceaaa32cc,101078403,400000,SIG35603_3,SIG5719_4
signal_path_20d_long.csv.part_003,fcb9cc86d8becdbb2413ee69aac4e173c9596bab31cda3a25385d8ef5c1e9432,100556872,400000,SIG5722_3,SIG41173_2
signal_path_20d_long.csv.part_004,473df66ae7c572683845da7e216d0ae30a0e4187ace814c28c0388dc593b2c65,100149797,400000,SIG41174_2,SIG11171_2
signal_path_20d_long.csv.part_005,e127b291cd5dcb1504d322292d045d7430b6443361ea0d6a0c5c5d858bbebeab,100406165,400000,SIG11199_2,SIG46580_1
signal_path_20d_long.csv.part_006,21ec6a685d1fc0d9eab75a029d5bb03f7fb4ef10d09a7363894f7b33b12b7163,99905657,400000,SIG46581_1,SIG17197_1
signal_path_20d_long.csv.part_007,f8fca94f0677fb9b752d5b9992e30d61314a5f70c7a7414cffb7f6ee0c65c642,100205143,400000,SIG17198_1,SIG51304_1
signal_path_20d_long.csv.part_008,1c0a16cfbd2a12c680a09fa7fbda96c4549217f515f637517f68693c0df513e9,87045236,349380,SIG51305_1,SIG63887_1
signal_path_20d_wide.csv.part_001,9d4e7406667d2eb01fde61d74bf2779350a8272cb05a514f75afdfb3e85aa46f,137769580,40000,SIG1_1,SIG17715_2
signal_path_20d_wide.csv.part_002,d1d98b7fe2a7449c7eaa987f9b751d58e2dc3c6e2dfa7b465be46b6b4a2fbcc2,137709705,40000,SIG17716_2,SIG34376_1
signal_path_20d_wide.csv.part_003,c3b15f9ae842affec001cf30c9dc5a65561131bc53e6ad7f95c9836aa21a612c,138323588,40000,SIG34377_1,SIG49760_3
signal_path_20d_wide.csv.part_004,424338dc3145a8dca8dcfd89a9ad4493597e6ea2e4489c64629122529e192827,124098793,37469,SIG49761_3,SIG63887_1
