horizon_day,variable,n,missing_n,mean,median,variance,std,min,max,range,iqr,p1,p5,p10,p25,p50,p75,p90,p95,p99
1,high_ret,157469,0,0.01849781407842178,0.013136138710953205,0.00039348220200242543,0.019836385809981247,-0.0009990009990011872,0.3095099522756375,0.3105089532746387,0.012195331944903742,-0.0009990009990009652,-0.0009990009990008542,0.0009408067660494623,0.005734756336585933,0.013136138710953205,0.02455089667365895,0.04160545337015931,0.05648102712681985,0.09557111370015815
1,low_ret,157469,0,-0.02218857095507655,-0.015341711970925376,0.0005059725153323365,0.022493832828851923,-0.23181657052624793,-0.000999000999000632,0.2308175695272473,0.03484793150202967,-0.10103817861431189,-0.06790900972644605,-0.05018964347295505,-0.02978293440290447,-0.015341711970925376,-0.006993006993006867,-0.002461581539968844,-0.0009990009990009652,-0.0009990009990008542
1,close_ret,157469,0,-0.0021769104934628645,-0.0004424544814515263,0.0008937754306040975,0.029896077177517747,-0.23181657052624793,0.29404274481994697,0.5258593153461949,0.03507642154513666,-0.09200526586852754,-0.05221728613212693,-0.03551887602658819,-0.015999015999015986,-0.0004424544814515263,0.012501012501012543,0.02854631505278471,0.04194791331567158,0.08105761474104801
1,MFE,157469,0,0.01849781407842178,0.013136138710953205,0.00039348220200242543,0.019836385809981247,-0.0009990009990011872,0.3095099522756375,0.3105089532746387,0.012195331944903742,-0.0009990009990009652,-0.0009990009990008542,0.0009408067660494623,0.005734756336585933,0.013136138710953205,0.02455089667365895,0.04160545337015931,0.05648102712681985,0.09557111370015815
1,MAE,157469,0,-0.02218857095507655,-0.015341711970925376,0.0005059725153323365,0.022493832828851923,-0.23181657052624793,-0.000999000999000632,0.2308175695272473,0.03484793150202967,-0.10103817861431189,-0.06790900972644605,-0.05018964347295505,-0.02978293440290447,-0.015341711970925376,-0.006993006993006867,-0.002461581539968844,-0.0009990009990009652,-0.0009990009990008542
2,high_ret,157469,51,0.018607876551155228,0.013911461672655667,0.0013840039398986793,0.03720220342800516,-0.42717208904259274,0.4996823507461805,0.9268544397887732,0.03085008897538912,-0.06545067835390402,-0.029185579438750137,-0.016938627302733454,-0.0009990009990009652,0.013911461672655667,0.0340947109096994,0.06014078300452441,0.08182716257635858,0.14121091567332572
2,low_ret,157469,51,-0.021336887896423982,-0.016089650530738075,0.0015010327292818912,0.0387431636457568,-0.46971169992752726,0.349657054355041,0.8193687542825683,0.049562859798181313,-0.15421491408040502,-0.09038330090961655,-0.06565251032891939,-0.037045428798005986,-0.016089650530738075,1.1302785561717599e-05,0.015829499749867137,0.02829018938005578,0.06348934790683558
2,close_ret,157469,51,-0.0004800381233423657,-0.0009990009990008542,0.001689598723593754,0.041104728725461184,-0.43766130816490534,0.4996823507461805,0.9373436589110858,0.043793264502758715,-0.11347924101396198,-0.06422691232817812,-0.04479226550175957,-0.021259551680768318,-0.0009990009990008542,0.020176830650646238,0.043839463947183965,0.062358807370312505,0.11637479243810749
2,MFE,157469,0,0.02768865510029768,0.018901417307791935,0.0008994892088293154,0.029991485605573385,-0.0009990009990011872,0.4996823507461805,0.5006813517451817,0.016640562232582035,-0.0009990009990009652,-0.0007083739774896179,0.0022608550752099004,0.00826530501955558,0.018901417307791935,0.03712077396287938,0.06260498045528558,0.0842774941152329,0.1426625125255268
2,MAE,157469,0,-0.03143637759010476,-0.022175980701326314,0.0010136028797630237,0.031837130520243555,-0.46971169992752726,-0.000999000999000632,0.4687126989285266,0.048052490945198256,-0.15517703396491278,-0.09318578581528478,-0.07022847164652457,-0.041805395814472956,-0.022175980701326314,-0.010112506221977569,-0.003882120765237618,-0.0009990009990009652,-0.0009990009990008542
3,high_ret,157469,76,0.01963248953639784,0.014489386582410058,0.002454367415339725,0.04954157259655496,-0.4853546229177895,0.7482517482517486,1.2336063711695382,0.04296366258143858,-0.09732673370104042,-0.046758418616611584,-0.02847427599902852,-0.006637764869185325,0.014489386582410058,0.04106419895893598,0.07454333904487422,0.10203002074476684,0.1804159932232369
3,low_ret,157469,76,-0.01873369666754211,-0.01496406738543532,0.0024158383532223043,0.04915117855374685,-0.5162052994731264,0.5817515817515821,1.0979568812247087,0.05554792559176647,-0.18791044696447426,-0.09904204855263032,-0.07051199297720179,-0.03919609801962742,-0.01496406738543532,0.006836300953948049,0.02988367933274957,0.047655441115183134,0.0995157491178025
3,close_ret,157469,76,0.0007256128341123453,-5.4765650228549845e-05,0.0029411175330305893,0.05423207107450894,-0.508632860682271,0.7482517482517486,1.2568846089340195,0.05409195327557057,-0.16773937970137795,-0.08017306140350978,-0.05414671892579912,-0.02459744979430023,-5.4765650228549845e-05,0.026559647249302598,0.05850210640053488,0.08328121328925854,0.1544351112939626
3,MFE,157469,0,0.035494509587566676,0.0240017979956062,0.001495515286006465,0.038671892713008825,-0.0009990009990011872,0.7482517482517486,0.7492507492507497,0.020685459906049752,-0.0009990009990009652,0.00030347748731074375,0.0033163380895564476,0.010395050130149519,0.0240017979956062,0.04767027843950933,0.08041522268005824,0.10759511140445654,0.18565893061925912
3,MAE,157469,0,-0.0377844623464511,-0.026923030630166545,0.0014974858199233944,0.03869736192459887,-0.5162052994731264,-0.000999000999000632,0.5152062984741258,0.055581578205827695,-0.19356260538887424,-0.10966756285427172,-0.08250460883599424,-0.049668280437511036,-0.026923030630166545,-0.012301884364547488,-0.004726616666915184,-0.0016641148465381672,-0.0009990009990008542
4,high_ret,157469,150,0.02123022045887497,0.015455133102191931,0.003603765264510039,0.060031369004130156,-0.5273253599086183,1.0812520812520816,1.6085774411607,0.05126780527850028,-0.13446430920829572,-0.058725127867028895,-0.03581267217630835,-0.009618746551932511,0.015455133102191931,0.046931974074861715,0.08694062506894525,0.12012593019251733,0.21369009541704012
4,low_ret,157469,150,-0.016343996291253174,-0.013999013999014043,0.00349381144445609,0.05910847185011714,-0.5273253599086183,0.8454321243165865,1.3727574842252048,0.06175246967302113,-0.22828846108856604,-0.10597204461267648,-0.07575148367203517,-0.041331339467985506,-0.013999013999014043,0.012951661189789632,0.043204583027592,0.06660344682471181,0.13560673090315478
4,close_ret,157469,150,0.003552962934004453,0.0012818231996314378,0.0036326541544751826,0.06027150366860928,-0.5273253599086183,1.0188145188145192,1.5461398787231375,0.05840447582790187,-0.17201729210659472,-0.08270464725303939,-0.05712265262827043,-0.026342148019942946,0.0012818231996314378,0.031415607587625516,0.06842291196479909,0.098901098901099,0.18213519280098356
4,MFE,157469,0,0.04219205526106109,0.028255908950052255,0.002153953806825747,0.046410707889728925,-0.0009990009990011872,1.0812520812520816,1.0822510822510827,0.024092114088583028,-0.0009990009990009652,0.0008597438514092561,0.004163794861469228,0.01212108716799154,0.028255908950052255,0.056587522752936215,0.09553946632752092,0.1288659019201859,0.22159897933549608
4,MAE,157469,0,-0.04262114251946674,-0.030782881714558785,0.0019447825959658977,0.04409968929557098,-0.5273253599086183,-0.000999000999000632,0.5263263589096177,0.059910401679728456,-0.23361552837438335,-0.12094294644912708,-0.09069328339428724,-0.05560911391815182,-0.030782881714558785,-0.014192358090931667,-0.0054616017871990065,-0.0022778860064390093,-0.0009990009990008542
5,high_ret,157469,1093,0.02322203632324685,0.01616230650278072,0.004489359959654827,0.06700268621223202,-0.5273253599086183,1.158089807492198,1.6854151674008162,0.056823165031357314,-0.14419599202207894,-0.0632010190247313,-0.04066085852857659,-0.012142843510287105,0.01616230650278072,0.05168368174675225,0.0971687272265307,0.1348551945566872,0.2375944305103303
5,low_ret,157469,1093,-0.01352128610303353,-0.012246901552717737,0.004050120305739308,0.06364055551092643,-0.6218902609541673,0.9511254571015528,1.57301571805572,0.0680221256916494,-0.210343900015193,-0.1090235467745175,-0.08026902724436713,-0.04358518923350174,-0.012246901552717737,0.01785007445384834,0.053149601562597404,0.08050871196048198,0.158480460908683
5,close_ret,157469,1093,0.005181908127374923,0.002103486575536273,0.004568789667440972,0.06759282260300255,-0.590568447454136,1.016575721755005,1.607144169209141,0.06504582128568082,-0.1782754604897083,-0.08893148947546439,-0.06294233471014454,-0.029396998940145913,0.002103486575536273,0.03646012705896223,0.07859620054742011,0.11223321032199385,0.2063177296251658
5,MFE,157469,0,0.04834225635354209,0.032429603858175504,0.0028246449317304136,0.05314738875740194,-0.0009990009990010762,1.158089807492198,1.159088808491199,0.02754932873255207,-0.0009990009990009652,0.0013351134846462998,0.004880275125623435,0.013883695447941324,0.032429603858175504,0.06469494224596284,0.10848056053535515,0.14733039224011835,0.2524600907767534
5,MAE,157469,0,-0.04638176452688006,-0.03375313211378783,0.0022282612135570714,0.047204461797133876,-0.6218902609541673,-0.000999000999000632,0.6208912599551667,0.06490686749555385,-0.2478563907135335,-0.12975912975912962,-0.09865999960934169,-0.06111942220267186,-0.03375313211378783,-0.015516726688388882,-0.005969155222886435,-0.0025623828440729524,-0.0009990009990008542
6,high_ret,157469,1212,0.025036296080896473,0.016682432611636377,0.0054234216734180656,0.07364388415488461,-0.640323672726913,1.4198908661060057,2.060214538832919,0.06177566963061809,-0.14276702400316432,-0.06899552881207065,-0.04509323701898171,-0.014646555630162261,0.016682432611636377,0.055581586555037976,0.10579076096317497,0.1478228513164466,0.265197474593053
6,low_ret,157469,1212,-0.011515428102223401,-0.011499011499011447,0.004824413648084131,0.06945799916556862,-0.6723948119087633,1.0378028346155839,1.7101976465243471,0.07206638176305587,-0.20579921217734415,-0.11350509513819065,-0.08356539326206731,-0.04599032928330726,-0.011499011499011447,0.022293768407758208,0.062238814497999624,0.09338249187041361,0.1821511821511822
6,close_ret,157469,1212,0.007132650041658335,0.002398961582635195,0.005261966690669264,0.07253941473894908,-0.6710460256814892,1.4198908661060057,2.0909368917874946,0.06869289754341276,-0.17060253525577906,-0.09352288299656719,-0.06629393596077757,-0.03134920723663914,0.002398961582635195,0.039836076332426806,0.0861621599876635,0.12381799178615588,0.23041692176393375
6,MFE,157469,0,0.05395615650437464,0.036511381338967475,0.0035712950759032337,0.05976031355258466,-0.0009990009990010762,1.4198908661060057,1.4208898671050068,0.03091631633796177,-0.0009990009990009652,0.001783731588745674,0.005595065001005706,0.015513412207627031,0.036511381338967475,0.07168551612996077,0.12060997508885295,0.1642511978454604,0.284994456531075
6,MAE,157469,0,-0.04994850381155315,-0.036639611719484044,0.002502556126752338,0.05002555473707751,-0.6723948119087633,-0.000999000999000632,0.6713958109097626,0.06958667558409908,-0.25543272635503983,-0.13959648914321468,-0.10622628730358312,-0.06648442213295758,-0.036639611719484044,-0.016743220410442627,-0.006399006399006368,-0.002805512751263173,-0.0009990009990008542
7,high_ret,157469,2258,0.02680088354224217,0.017191111874287568,0.006361832180421314,0.07976109440335755,-0.6572584331360208,1.3420581189505496,1.9993165520865706,0.06712648091392526,-0.1430086940922853,-0.07550077041602465,-0.04993536903963769,-0.016651711509419076,0.017191111874287568,0.05908334950123484,0.11476506326291758,0.16031277504365327,0.28891224651602626
