horizon_day,variable,bucket,count,pct
1,high_ret,<-20%,0,0.0
1,high_ret,-20~-15%,0,0.0
1,high_ret,-15~-10%,0,0.0
1,high_ret,-10~-8%,0,0.0
1,high_ret,-8~-5%,0,0.0
1,high_ret,-5~-3%,0,0.0
1,high_ret,-3~-2%,0,0.0
1,high_ret,-2~-1%,0,0.0
1,high_ret,-1~0%,12325,7.826937365449707
1,high_ret,0~+1%,50616,32.14346950828417
1,high_ret,+1~+2%,42757,27.15264591760918
1,high_ret,+2~+3%,22879,14.529208923661166
1,high_ret,+3~+5%,18326,11.63784617924798
1,high_ret,+5~+8%,7494,4.759031936444633
1,high_ret,+8~+10%,1896,1.2040465107417968
1,high_ret,+10~+15%,975,0.6191694873276645
1,high_ret,+15~+20%,171,0.10859280239285192
1,high_ret,>=+20%,30,0.019051368840851214
1,low_ret,<-20%,23,0.014606049444652599
1,low_ret,-20~-15%,334,0.21210523976147688
1,low_ret,-15~-10%,1393,0.8846185598435247
1,low_ret,-10~-8%,3131,1.9883278613568385
1,low_ret,-8~-5%,10991,6.979786497659857
1,low_ret,-5~-3%,23090,14.663203551175153
1,low_ret,-3~-2%,23509,14.929287669319041
1,low_ret,-2~-1%,39821,25.288151953717875
1,low_ret,-1~0%,55177,35.03991261772158
1,low_ret,0~+1%,0,0.0
1,low_ret,+1~+2%,0,0.0
1,low_ret,+2~+3%,0,0.0
1,low_ret,+3~+5%,0,0.0
1,low_ret,+5~+8%,0,0.0
1,low_ret,+8~+10%,0,0.0
1,low_ret,+10~+15%,0,0.0
1,low_ret,+15~+20%,0,0.0
1,low_ret,>=+20%,0,0.0
1,close_ret,<-20%,5,0.003175228140141869
1,close_ret,-20~-15%,141,0.08954143355200071
1,close_ret,-15~-10%,889,0.5645555633172243
1,close_ret,-10~-8%,1655,1.0510005143869587
1,close_ret,-8~-5%,5881,3.7347033384348665
1,close_ret,-5~-3%,11765,7.471311813753818
1,close_ret,-3~-2%,12170,7.72850529310531
1,close_ret,-2~-1%,19457,12.35608278454807
1,close_ret,-1~0%,27717,17.60155967206244
1,close_ret,0~+1%,32098,20.383694568454743
1,close_ret,+1~+2%,20460,12.993033549460527
1,close_ret,+2~+3%,10703,6.7968933567876855
1,close_ret,+3~+5%,9139,5.803681994551309
1,close_ret,+5~+8%,3743,2.3769757857102034
