signal_id,stock_code,stock_name,signal_date,entry_date,entry_role,close_ret_D20_pct,tier
SIG52814_5,300116,保力新,2024-04-10,2024-04-11,ADD_ON_4,-90.27521151414956,B1_最亏0.1%
SIG52814_4,300116,保力新,2024-04-08,2024-04-09,ADD_ON_3,-84.36346262433219,B1_最亏0.1%
SIG2094_4,300156,神雾环保,2020-04-27,2020-04-28,ADD_ON_3,-73.22265363502477,B1_最亏0.1%
SIG2094_3,300156,神雾环保,2020-04-23,2020-04-24,ADD_ON_2,-68.65879218820395,B1_最亏0.1%
SIG2094_2,300156,神雾环保,2020-04-21,2020-04-22,ADD_ON_1,-65.52120445925755,B1_最亏0.1%
SIG189_4,300090,盛运环保,2020-04-24,2020-04-27,ADD_ON_3,-64.74114121172944,B1_最亏0.1%
SIG11273_1,300526,中潜股份,2021-04-16,2021-04-19,NEW_ENTRY,-64.43700314087353,B1_最亏0.1%
SIG10573_1,600701,退市工新,2021-03-16,2021-03-17,NEW_ENTRY,-62.82786980461399,B1_最亏0.1%
SIG38849_1,601258,庞大集团,2023-04-20,2023-04-21,NEW_ENTRY,-60.82349023525493,B1_最亏0.1%
SIG24209_1,300273,和佳医疗,2022-04-08,2022-04-11,NEW_ENTRY,-60.554466992235234,B1_最亏0.1%
SIG2074_5,600175,美都能源,2020-04-24,2020-04-27,ADD_ON_4,-60.254798964476386,B1_最亏0.1%
SIG37331_5,600393,粤泰股份,2023-04-27,2023-04-28,ADD_ON_4,-60.202399226789474,B1_最亏0.1%
SIG54014_1,300506,名家汇,2024-04-08,2024-04-09,NEW_ENTRY,-59.54045954045954,B1_最亏0.1%
SIG7185_1,603655,朗博科技,2020-12-01,2020-12-02,NEW_ENTRY,-58.307702150066675,B1_最亏0.1%
SIG36001_5,000918,,2023-04-06,2023-04-07,ADD_ON_4,-57.41962955077709,B1_最亏0.1%
SIG37331_4,600393,粤泰股份,2023-04-25,2023-04-26,ADD_ON_3,-56.736177208618145,B1_最亏0.1%
SIG2074_4,600175,美都能源,2020-04-21,2020-04-22,ADD_ON_3,-56.354325286364116,B1_最亏0.1%
SIG54014_2,300506,名家汇,2024-04-10,2024-04-11,ADD_ON_1,-55.963432033961006,B1_最亏0.1%
SIG2074_3,600175,美都能源,2020-04-17,2020-04-20,ADD_ON_2,-55.8999558999559,B1_最亏0.1%
SIG24058_1,688390,固德威,2022-03-25,2022-03-28,NEW_ENTRY,-55.88477456609324,B1_最亏0.1%
SIG22178_2,300772,运达股份,2022-03-29,2022-03-30,ADD_ON_1,-55.64423302993416,B1_最亏0.1%
SIG21278_5,300392,腾信股份,2022-04-11,2022-04-12,ADD_ON_4,-55.56167969961072,B1_最亏0.1%
SIG48361_3,301182,凯旺科技,2024-01-10,2024-01-11,ADD_ON_2,-55.388814084466254,B1_最亏0.1%
SIG36601_5,000671,,2023-04-21,2023-04-24,ADD_ON_4,-55.289465778976265,B1_最亏0.1%
SIG36601_4,000671,,2023-04-19,2023-04-20,ADD_ON_3,-54.88382585156779,B1_最亏0.1%
SIG24355_1,300835,龙磁科技,2022-04-11,2022-04-12,NEW_ENTRY,-54.80411325544862,B1_最亏0.1%
SIG2094_1,300156,神雾环保,2020-04-16,2020-04-17,NEW_ENTRY,-54.74610859226243,B1_最亏0.1%
SIG50961_1,688328,深科达,2024-01-10,2024-01-11,NEW_ENTRY,-54.64583842307813,B1_最亏0.1%
SIG24209_2,300273,和佳医疗,2022-04-13,2022-04-14,ADD_ON_1,-54.50977593834736,B1_最亏0.1%
SIG9759_1,600086,退市金钰,2021-01-29,2021-02-01,NEW_ENTRY,-54.0999540999541,B1_最亏0.1%
SIG204_2,300362,天翔环境,2020-04-20,2020-04-21,ADD_ON_1,-53.98540853086307,B1_最亏0.1%
SIG37331_3,600393,粤泰股份,2023-04-21,2023-04-24,ADD_ON_2,-53.83404474313564,B1_最亏0.1%
SIG36594_4,000620,新华联,2023-04-19,2023-04-20,ADD_ON_3,-53.72592775190177,B1_最亏0.1%
SIG24214_1,300336,新文化,2022-04-08,2022-04-11,NEW_ENTRY,-53.13328646661981,B1_最亏0.1%
SIG21745_5,688086,紫晶存储,2022-04-11,2022-04-12,ADD_ON_4,-52.98818828230593,B1_最亏0.1%
SIG54598_1,300020,银江技术,2024-04-15,2024-04-16,NEW_ENTRY,-52.88342127888318,B1_最亏0.1%
SIG50877_1,002856,美芝股份,2024-01-09,2024-01-10,NEW_ENTRY,-52.871986770291855,B1_最亏0.1%
SIG48300_3,300686,智动力,2024-01-10,2024-01-11,ADD_ON_2,-52.662721893491124,B1_最亏0.1%
SIG2074_2,600175,美都能源,2020-04-15,2020-04-16,ADD_ON_1,-52.22169135212611,B1_最亏0.1%
SIG23641_2,300159,新研股份,2022-04-11,2022-04-12,ADD_ON_1,-52.08280092001021,B1_最亏0.1%
SIG42_3,000673,当代东方,2020-04-24,2020-04-27,ADD_ON_2,-51.64835164835164,B1_最亏0.1%
SIG2074_1,600175,美都能源,2020-04-13,2020-04-14,NEW_ENTRY,-51.6356659213802,B1_最亏0.1%
SIG55874_1,600836,上海易连,2024-04-17,2024-04-18,NEW_ENTRY,-51.3713799428085,B1_最亏0.1%
SIG50613_2,688233,神工股份,2024-01-08,2024-01-09,ADD_ON_1,-51.2736007710882,B1_最亏0.1%
SIG50401_2,300868,杰美特,2024-01-10,2024-01-11,ADD_ON_1,-51.139049255996724,B1_最亏0.1%
SIG56753_2,688032,禾迈股份,2024-06-05,2024-06-06,ADD_ON_1,-51.12757612757613,B1_最亏0.1%
