signal_id,stock_code,stock_name,signal_date,entry_date,entry_role,close_ret_D20_pct,tier
SIG49645_1,688798,艾为电子,2023-12-18,2023-12-19,NEW_ENTRY,-12.02308699411827,B5_亏10-25%
SIG14517_3,600189,泉阳泉,2021-09-22,2021-09-23,ADD_ON_2,-12.02308699411827,B5_亏10-25%
SIG42897_1,603359,东珠生态,2023-08-03,2023-08-04,NEW_ENTRY,-12.0225299243586,B5_亏10-25%
SIG50769_2,300847,中船汉光,2024-01-10,2024-01-11,ADD_ON_1,-12.02131202131201,B5_亏10-25%
SIG51040_3,000576,甘化科工,2024-01-23,2024-01-24,ADD_ON_2,-12.02053458862796,B5_亏10-25%
SIG49802_3,600100,同方股份,2023-12-26,2023-12-27,ADD_ON_2,-12.019798383434729,B5_亏10-25%
SIG16202_1,688168,安博通,2021-09-22,2021-09-23,NEW_ENTRY,-12.019798383434729,B5_亏10-25%
SIG29243_1,603266,天龙股份,2022-08-26,2022-08-29,NEW_ENTRY,-12.01901546729131,B5_亏10-25%
SIG42598_1,002779,中坚科技,2023-07-26,2023-07-27,NEW_ENTRY,-12.01838757762533,B5_亏10-25%
SIG7995_5,300234,开尔新材,2021-01-06,2021-01-07,ADD_ON_4,-12.01780675464885,B5_亏10-25%
SIG56092_2,002320,海峡股份,2024-06-17,2024-06-18,ADD_ON_1,-12.01780675464885,B5_亏10-25%
SIG27991_2,002448,中原内配,2022-08-31,2022-09-01,ADD_ON_1,-12.01729051508136,B5_亏10-25%
SIG7528_3,300407,凯发电气,2021-01-11,2021-01-12,ADD_ON_2,-12.01729051508136,B5_亏10-25%
SIG50435_2,600079,人福医药,2023-12-28,2023-12-29,ADD_ON_1,-12.01722999337148,B5_亏10-25%
SIG49316_4,002570,贝因美,2023-12-25,2023-12-26,ADD_ON_3,-12.01691709305922,B5_亏10-25%
SIG22768_2,600316,洪都航空,2022-03-10,2022-03-11,ADD_ON_1,-12.01655487369772,B5_亏10-25%
SIG53945_2,000955,欣龙控股,2024-04-09,2024-04-10,ADD_ON_1,-12.0164130104488,B5_亏10-25%
SIG21085_5,002352,顺丰控股,2022-03-08,2022-03-09,ADD_ON_4,-12.01476038754143,B5_亏10-25%
SIG1918_1,002310,东方新能,2020-03-30,2020-03-31,NEW_ENTRY,-12.01459091367348,B5_亏10-25%
SIG42490_4,688343,云天励飞,2023-08-23,2023-08-24,ADD_ON_3,-12.01386825278012,B5_亏10-25%
SIG22138_1,688676,金盘科技,2022-02-07,2022-02-08,NEW_ENTRY,-12.01309882628562,B5_亏10-25%
SIG4267_1,600093,易见股份,2020-09-02,2020-09-03,NEW_ENTRY,-12.01302955987793,B5_亏10-25%
SIG29363_1,002026,山东威达,2022-08-31,2022-09-01,NEW_ENTRY,-12.01302955987793,B5_亏10-25%
SIG57112_4,600612,老凤祥,2024-06-17,2024-06-18,ADD_ON_3,-12.0124080428939,B5_亏10-25%
SIG8835_2,688286,敏芯股份,2021-02-03,2021-02-04,ADD_ON_1,-12.01221127175543,B5_亏10-25%
SIG37332_2,600400,红豆股份,2023-03-27,2023-03-28,ADD_ON_1,-12.01210713405835,B5_亏10-25%
SIG44886_4,300454,深信服,2023-09-19,2023-09-20,ADD_ON_3,-12.01176126120232,B5_亏10-25%
SIG4672_1,002750,龙津药业,2020-09-09,2020-09-10,NEW_ENTRY,-12.01149806324158,B5_亏10-25%
