signal_id,stock_code,stock_name,signal_date,entry_date,entry_role,close_ret_D20_pct,tier
SIG31212_1,000157,中联重科,2022-09-26,2022-09-27,NEW_ENTRY,-5.90395519972983,M_中位25-75%
SIG614_2,603681,永冠新材,2020-03-17,2020-03-18,ADD_ON_1,-5.90386477275935,M_中位25-75%
SIG16261_2,002917,金奥博,2021-09-28,2021-09-29,ADD_ON_1,-5.9037377949615095,M_中位25-75%
SIG22427_2,300923,研奥股份,2022-03-09,2022-03-10,ADD_ON_1,-5.9036915108878905,M_中位25-75%
SIG48302_2,300708,聚灿光电,2023-12-26,2023-12-27,ADD_ON_1,-5.90362018933446,M_中位25-75%
SIG13829_1,002583,海能达,2021-07-09,2021-07-12,NEW_ENTRY,-5.90322540530009,M_中位25-75%
SIG45449_1,600857,宁波中百,2023-09-08,2023-09-11,NEW_ENTRY,-5.90322540530009,M_中位25-75%
SIG23915_1,601991,大唐发电,2022-03-15,2022-03-16,NEW_ENTRY,-5.90322540530009,M_中位25-75%
SIG28817_1,300581,晨曦航空,2022-08-24,2022-08-25,NEW_ENTRY,-5.90302640230625,M_中位25-75%
SIG38533_1,000990,诚志股份,2023-04-17,2023-04-18,NEW_ENTRY,-5.90275328316329,M_中位25-75%
SIG4577_2,600745,闻泰科技,2020-09-10,2020-09-11,ADD_ON_1,-5.90248075278015,M_中位25-75%
SIG51889_1,002358,森源电气,2024-01-22,2024-01-23,NEW_ENTRY,-5.90217862945136,M_中位25-75%
SIG12736_2,601098,中南传媒,2021-06-16,2021-06-17,ADD_ON_1,-5.90191223770948,M_中位25-75%
SIG36988_4,002403,爱仕达,2023-04-10,2023-04-11,ADD_ON_3,-5.90129962952261,M_中位25-75%
SIG49606_4,603508,思维列控,2023-12-26,2023-12-27,ADD_ON_3,-5.90098625210036,M_中位25-75%
SIG39263_3,600691,阳煤化工,2023-05-25,2023-05-26,ADD_ON_2,-5.90055106184138,M_中位25-75%
SIG35933_1,603809,豪能股份,2023-03-03,2023-03-06,NEW_ENTRY,-5.90055106184138,M_中位25-75%
SIG26593_4,603993,洛阳钼业,2022-09-28,2022-09-29,ADD_ON_3,-5.90055106184138,M_中位25-75%
SIG55851_3,002633,申科股份,2024-06-05,2024-06-06,ADD_ON_2,-5.90055106184138,M_中位25-75%
SIG19890_3,000012,南玻A,2022-03-08,2022-03-09,ADD_ON_2,-5.90055106184137,M_中位25-75%
SIG20697_2,000063,中兴通讯,2022-01-26,2022-01-27,ADD_ON_1,-5.90055106184137,M_中位25-75%
SIG57015_2,300112,万讯自控,2024-06-07,2024-06-11,ADD_ON_1,-5.89961562385363,M_中位25-75%
SIG7333_4,000011,深物业A,2021-01-13,2021-01-14,ADD_ON_3,-5.8993441015912795,M_中位25-75%
SIG22124_1,002534,杭锅股份,2022-02-07,2022-02-08,NEW_ENTRY,-5.8993441015912795,M_中位25-75%
SIG40242_1,000501,武商集团,2023-05-15,2023-05-16,NEW_ENTRY,-5.8993441015912795,M_中位25-75%
SIG53266_1,002756,永兴材料,2024-03-25,2024-03-26,NEW_ENTRY,-5.899344101591271,M_中位25-75%
SIG35301_1,603056,德邦股份,2023-02-10,2023-02-13,NEW_ENTRY,-5.89924966502449,M_中位25-75%
SIG13281_1,002659,凯文教育,2021-06-23,2021-06-24,NEW_ENTRY,-5.89885048987951,M_中位25-75%
SIG22532_1,000930,中粮科技,2022-03-08,2022-03-09,NEW_ENTRY,-5.89858206966149,M_中位25-75%
SIG19676_3,002568,百润股份,2022-01-13,2022-01-14,ADD_ON_2,-5.89858206966149,M_中位25-75%
SIG42008_1,600750,华润江中,2023-07-06,2023-07-07,NEW_ENTRY,-5.89858206966149,M_中位25-75%
SIG59524_1,600486,扬农化工,2024-08-16,2024-08-19,NEW_ENTRY,-5.89847990932544,M_中位25-75%
SIG11376_1,600138,中青旅,2021-04-23,2021-04-26,NEW_ENTRY,-5.89841336109994,M_中位25-75%
SIG35991_1,000702,正虹科技,2023-03-07,2023-03-08,NEW_ENTRY,-5.89841336109991,M_中位25-75%
SIG9505_1,600098,广州发展,2021-01-22,2021-01-25,NEW_ENTRY,-5.89841336109991,M_中位25-75%
SIG54195_1,301178,天亿马,2024-04-10,2024-04-11,NEW_ENTRY,-5.89833186980258,M_中位25-75%
SIG28928_5,603013,亚普股份,2022-09-19,2022-09-20,ADD_ON_4,-5.89829750668911,M_中位25-75%
SIG30958_1,601949,中国出版,2022-09-19,2022-09-20,NEW_ENTRY,-5.897673754816609,M_中位25-75%
SIG56382_3,002187,广百股份,2024-06-05,2024-06-06,ADD_ON_2,-5.897673754816609,M_中位25-75%
SIG20400_5,603787,新日股份,2022-03-15,2022-03-16,ADD_ON_4,-5.897673754816609,M_中位25-75%
SIG11523_1,002488,金固股份,2021-04-27,2021-04-28,NEW_ENTRY,-5.8976737548166,M_中位25-75%
SIG54301_4,002088,鲁阳节能,2024-07-23,2024-07-24,ADD_ON_3,-5.897673754816591,M_中位25-75%
SIG49300_1,603387,基蛋生物,2023-12-12,2023-12-13,NEW_ENTRY,-5.897673754816591,M_中位25-75%
SIG46238_5,603808,歌力思,2023-12-07,2023-12-08,ADD_ON_4,-5.897211596693451,M_中位25-75%
SIG23135_3,600536,中国软件,2022-03-15,2022-03-16,ADD_ON_2,-5.897211596693451,M_中位25-75%
SIG42400_1,300432,富临精工,2023-07-21,2023-07-24,NEW_ENTRY,-5.89681111924824,M_中位25-75%
SIG13541_1,603999,读者传媒,2021-07-01,2021-07-02,NEW_ENTRY,-5.89681111924824,M_中位25-75%
SIG4430_2,002714,牧原股份,2020-09-09,2020-09-10,ADD_ON_1,-5.89657256323922,M_中位25-75%
SIG12652_1,000566,海南海药,2021-06-10,2021-06-11,NEW_ENTRY,-5.89615162994002,M_中位25-75%
SIG53337_4,601519,大智慧,2024-06-05,2024-06-06,ADD_ON_3,-5.89615162994002,M_中位25-75%
SIG21098_3,002401,中远海科,2022-03-08,2022-03-09,ADD_ON_2,-5.89579197174134,M_中位25-75%
SIG58929_1,603918,金桥信息,2024-07-15,2024-07-16,NEW_ENTRY,-5.89579197174134,M_中位25-75%
SIG6573_2,603055,台华新材,2020-11-03,2020-11-04,ADD_ON_1,-5.89520976261307,M_中位25-75%
SIG56345_1,601108,财通证券,2024-05-28,2024-05-29,NEW_ENTRY,-5.89520976261307,M_中位25-75%
SIG47881_3,002225,濮耐股份,2023-12-26,2023-12-27,ADD_ON_2,-5.89520976261307,M_中位25-75%
SIG925_1,300053,欧比特,2020-03-16,2020-03-17,NEW_ENTRY,-5.89497083003576,M_中位25-75%
SIG15301_2,300113,顺网科技,2021-08-09,2021-08-10,ADD_ON_1,-5.89497083003576,M_中位25-75%
SIG36702_1,002585,双星新材,2023-03-10,2023-03-13,NEW_ENTRY,-5.89456946765531,M_中位25-75%
SIG44436_2,600905,三峡能源,2023-08-23,2023-08-24,ADD_ON_1,-5.89410589410587,M_中位25-75%
SIG48222_1,002793,罗欣药业,2023-12-05,2023-12-06,NEW_ENTRY,-5.89375475139973,M_中位25-75%
SIG58279_3,301468,博盈特焊,2024-07-23,2024-07-24,ADD_ON_2,-5.89332694595852,M_中位25-75%
SIG23360_1,300971,博亚精工,2022-03-14,2022-03-15,NEW_ENTRY,-5.89303542344826,M_中位25-75%
SIG932_2,300081,恒信东方,2020-04-24,2020-04-27,ADD_ON_1,-5.89279429542011,M_中位25-75%
SIG1367_1,603808,歌力思,2020-03-16,2020-03-17,NEW_ENTRY,-5.89242690083025,M_中位25-75%
SIG47981_1,301281,科源制药,2023-11-30,2023-12-01,NEW_ENTRY,-5.8912102390363295,M_中位25-75%
SIG36760_3,300680,隆盛科技,2023-04-11,2023-04-12,ADD_ON_2,-5.89121023903632,M_中位25-75%
SIG45865_1,600827,百联股份,2023-10-09,2023-10-10,NEW_ENTRY,-5.89121023903632,M_中位25-75%
SIG8081_4,600463,空港股份,2021-01-11,2021-01-12,ADD_ON_3,-5.89121023903631,M_中位25-75%
SIG43885_3,002358,森源电气,2023-08-23,2023-08-24,ADD_ON_2,-5.89121023903631,M_中位25-75%
SIG6208_5,600221,海航控股,2021-01-11,2021-01-12,ADD_ON_4,-5.89121023903631,M_中位25-75%
SIG56672_2,600319,亚星化学,2024-06-05,2024-06-06,ADD_ON_1,-5.89121023903631,M_中位25-75%
SIG29423_2,002613,北玻股份,2022-09-16,2022-09-19,ADD_ON_1,-5.89121023903631,M_中位25-75%
SIG58285_1,301588,美新科技,2024-06-24,2024-06-25,NEW_ENTRY,-5.89056960738376,M_中位25-75%
