signal_id,stock_code,stock_name,signal_date,entry_date,entry_role,close_ret_D20_pct,tier
SIG60764_2,300489,光智科技,2024-09-06,2024-09-09,ADD_ON_1,375.0054837416515,T1_最赚0.1%
SIG42658_3,002855,捷荣技术,2023-08-25,2023-08-28,ADD_ON_2,270.5273055118256,T1_最赚0.1%
SIG50495_2,603960,克来机电,2024-01-22,2024-01-23,ADD_ON_1,253.35354300871563,T1_最赚0.1%
SIG24009_1,000736,中交地产,2022-03-16,2022-03-17,NEW_ENTRY,249.50722629805728,T1_最赚0.1%
SIG25183_2,000957,中通客车,2022-04-27,2022-04-28,ADD_ON_1,230.1782962799912,T1_最赚0.1%
SIG53155_5,300175,朗源股份,2024-04-17,2024-04-18,ADD_ON_4,220.9448779069032,T1_最赚0.1%
SIG34377_1,302132,中航电测,2022-12-21,2022-12-22,NEW_ENTRY,212.03973891720932,T1_最赚0.1%
SIG53155_4,300175,朗源股份,2024-04-15,2024-04-16,ADD_ON_3,211.67872894491606,T1_最赚0.1%
SIG21914_1,300249,依米康,2022-01-27,2022-01-28,NEW_ENTRY,200.61821792296524,T1_最赚0.1%
SIG48728_2,000017,深中华A,2023-12-25,2023-12-26,ADD_ON_1,200.17041781747662,T1_最赚0.1%
SIG24257_1,000756,新华制药,2022-04-11,2022-04-12,NEW_ENTRY,192.48729609740437,T1_最赚0.1%
SIG11699_1,002622,融钰集团,2021-04-28,2021-04-29,NEW_ENTRY,190.53072531333407,T1_最赚0.1%
SIG59989_2,300085,银之杰,2024-08-27,2024-08-28,ADD_ON_1,189.5323506010529,T1_最赚0.1%
SIG39765_1,301368,丰立智能,2023-04-25,2023-04-26,NEW_ENTRY,189.04131582703022,T1_最赚0.1%
SIG2367_2,000698,ST沈化,2020-06-29,2020-06-30,ADD_ON_1,185.38237007292383,T1_最赚0.1%
SIG51702_3,301318,维海德,2024-02-05,2024-02-06,ADD_ON_2,183.81322181861267,T1_最赚0.1%
SIG50580_5,300757,罗博特科,2024-02-02,2024-02-05,ADD_ON_4,172.85768730635658,T1_最赚0.1%
SIG39336_2,605011,杭州热电,2023-04-25,2023-04-26,ADD_ON_1,172.51274593585015,T1_最赚0.1%
SIG12153_1,600753,ST海钦,2021-05-07,2021-05-10,NEW_ENTRY,170.84027084027085,T1_最赚0.1%
SIG60764_1,300489,光智科技,2024-09-03,2024-09-04,NEW_ENTRY,169.21167822479865,T1_最赚0.1%
SIG25183_1,000957,中通客车,2022-04-25,2022-04-26,NEW_ENTRY,165.14661808779456,T1_最赚0.1%
SIG49864_2,603099,长白山,2023-12-22,2023-12-25,ADD_ON_1,164.53491183781637,T1_最赚0.1%
SIG52645_4,300781,因赛集团,2024-02-07,2024-02-08,ADD_ON_3,162.24329013173636,T1_最赚0.1%
SIG60639_2,688502,茂莱光学,2024-09-23,2024-09-24,ADD_ON_1,161.74390581170246,T1_最赚0.1%
SIG60737_1,300803,指南针,2024-09-02,2024-09-03,NEW_ENTRY,160.23617530794567,T1_最赚0.1%
SIG42658_2,002855,捷荣技术,2023-08-16,2023-08-17,ADD_ON_1,155.21846574478153,T1_最赚0.1%
SIG49348_3,000628,高新发展,2024-02-05,2024-02-06,ADD_ON_2,154.9546262121113,T1_最赚0.1%
SIG25592_2,000151,中成股份,2022-04-28,2022-04-29,ADD_ON_1,154.05628853904716,T1_最赚0.1%
SIG50580_4,300757,罗博特科,2024-01-31,2024-02-01,ADD_ON_3,152.29727779302854,T1_最赚0.1%
SIG2597_1,600834,申通地铁,2020-04-28,2020-04-29,NEW_ENTRY,151.55172696156308,T1_最赚0.1%
SIG17249_1,605286,同力日升,2021-09-29,2021-09-30,NEW_ENTRY,150.4852416565189,T1_最赚0.1%
SIG49864_1,603099,长白山,2023-12-20,2023-12-21,NEW_ENTRY,149.5806976458707,T1_最赚0.1%
