signal_id,stock_code,stock_name,signal_date,entry_date,entry_role,close_ret_D20_pct,tier
SIG51213_2,301368,丰立智能,2024-02-05,2024-02-06,ADD_ON_1,88.2205032447359,T2_赚0.1-1%
SIG21211_1,003007,直真科技,2022-01-25,2022-01-26,NEW_ENTRY,88.1784490480143,T2_赚0.1-1%
SIG51140_5,300466,赛摩智能,2024-02-02,2024-02-05,ADD_ON_4,87.91692178788955,T2_赚0.1-1%
SIG47576_1,688535,华海诚科,2023-10-23,2023-10-24,NEW_ENTRY,87.4408206862033,T2_赚0.1-1%
SIG61174_1,002457,青龙管业,2024-09-18,2024-09-19,NEW_ENTRY,87.34414200409167,T2_赚0.1-1%
SIG22991_3,002121,科陆电子,2022-04-25,2022-04-26,ADD_ON_2,87.31268731268736,T2_赚0.1-1%
SIG10053_2,603222,济民制药,2021-02-08,2021-02-09,ADD_ON_1,87.09614085336628,T2_赚0.1-1%
SIG50271_5,603533,掌阅科技,2024-02-06,2024-02-07,ADD_ON_4,87.03101409868326,T2_赚0.1-1%
SIG14195_3,300503,昊志机电,2021-07-27,2021-07-28,ADD_ON_2,86.86417552202053,T2_赚0.1-1%
SIG51140_4,300466,赛摩智能,2024-01-31,2024-02-01,ADD_ON_3,86.62439922282444,T2_赚0.1-1%
SIG27029_1,603286,日盈电子,2022-07-12,2022-07-13,NEW_ENTRY,86.6133866133866,T2_赚0.1-1%
SIG61226_1,300689,澄天伟业,2024-09-18,2024-09-19,NEW_ENTRY,86.58784272303748,T2_赚0.1-1%
SIG51254_4,600661,昂立教育,2024-02-02,2024-02-05,ADD_ON_3,86.52675995333338,T2_赚0.1-1%
SIG3185_1,000526,紫光学大,2020-06-12,2020-06-15,NEW_ENTRY,86.47857466831329,T2_赚0.1-1%
SIG61260_1,301221,光庭信息,2024-09-18,2024-09-19,NEW_ENTRY,86.13807806603005,T2_赚0.1-1%
SIG805_3,002400,省广集团,2020-03-23,2020-03-24,ADD_ON_2,86.03304822386093,T2_赚0.1-1%
SIG11318_2,600744,华银电力,2021-04-27,2021-04-28,ADD_ON_1,85.9081613682841,T2_赚0.1-1%
SIG3384_1,002625,光启技术,2020-06-29,2020-06-30,NEW_ENTRY,85.74528919356507,T2_赚0.1-1%
SIG31820_1,000721,西安饮食,2022-10-11,2022-10-12,NEW_ENTRY,85.63343746717831,T2_赚0.1-1%
SIG6149_5,600793,宜宾纸业,2020-12-16,2020-12-17,ADD_ON_4,85.51216225634832,T2_赚0.1-1%
SIG51002_4,688160,步科股份,2024-02-05,2024-02-06,ADD_ON_3,85.4960991933859,T2_赚0.1-1%
SIG49421_3,603327,福蓉科技,2024-02-02,2024-02-05,ADD_ON_2,84.9798553095257,T2_赚0.1-1%
SIG42425_4,300951,博硕科技,2023-10-20,2023-10-23,ADD_ON_3,84.28485095151763,T2_赚0.1-1%
SIG52276_1,600640,国脉文化,2024-01-22,2024-01-23,NEW_ENTRY,84.03794247102195,T2_赚0.1-1%
SIG54664_3,300391,长药控股,2024-06-06,2024-06-07,ADD_ON_2,83.8798651547656,T2_赚0.1-1%
SIG61020_1,300671,富满微,2024-09-13,2024-09-18,NEW_ENTRY,83.79871321047794,T2_赚0.1-1%
SIG52276_2,600640,国脉文化,2024-02-06,2024-02-07,ADD_ON_1,83.7921115029549,T2_赚0.1-1%
SIG10970_3,300487,蓝晓科技,2021-04-16,2021-04-19,ADD_ON_2,83.49532912639708,T2_赚0.1-1%
SIG60759_1,688126,沪硅产业,2024-09-02,2024-09-03,NEW_ENTRY,83.31456977437234,T2_赚0.1-1%
SIG1413_1,000908,景峰医药,2020-03-17,2020-03-18,NEW_ENTRY,83.15018315018318,T2_赚0.1-1%
SIG52865_3,603608,天创时尚,2024-02-07,2024-02-08,ADD_ON_2,82.94205794205796,T2_赚0.1-1%
SIG50579_5,300735,光弘科技,2024-02-05,2024-02-06,ADD_ON_4,82.57604464501019,T2_赚0.1-1%
SIG20566_4,300917,特发服务,2022-03-15,2022-03-16,ADD_ON_3,82.49607535321826,T2_赚0.1-1%
SIG55003_1,603739,蔚蓝生物,2024-04-15,2024-04-16,NEW_ENTRY,82.32525815943413,T2_赚0.1-1%
SIG44805_5,605086,龙高股份,2023-10-18,2023-10-19,ADD_ON_4,82.2359001200311,T2_赚0.1-1%
SIG20807_1,300649,杭州园林,2022-01-24,2022-01-25,NEW_ENTRY,82.08328887940543,T2_赚0.1-1%
SIG20288_4,300988,津荣天宇,2022-03-08,2022-03-09,ADD_ON_3,81.78168863100368,T2_赚0.1-1%
SIG20850_5,600693,东百集团,2022-03-15,2022-03-16,ADD_ON_4,81.31040230487744,T2_赚0.1-1%
